"Frequency (Hz)","Rel. amplitude (a.u.)"
4.082170711E-1,1.000000000E0
4.082170711E-1,9.964881775E-1
4.082170711E-1,9.948754172E-1
4.115822466E-1,9.756944934E-1
4.115822466E-1,9.729953996E-1
4.115822466E-1,9.718339469E-1
4.115822466E-1,9.698572874E-1
4.115822466E-1,9.684787376E-1
4.149998059E-1,9.535815337E-1
4.149998059E-1,9.538523073E-1
4.149998059E-1,9.541440967E-1
4.149998059E-1,9.549176589E-1
4.149998059E-1,9.563845876E-1
4.184755298E-1,9.433483988E-1
4.149998059E-1,9.602721285E-1
4.115822466E-1,9.787781245E-1
4.115822466E-1,9.809225408E-1
4.115822466E-1,9.832568905E-1
4.115822466E-1,9.840452425E-1
4.149998059E-1,9.717617337E-1
4.149998059E-1,9.735862283E-1
4.115822466E-1,9.910600547E-1
4.149998059E-1,9.760651071E-1
4.149998059E-1,9.774098621E-1
4.115822466E-1,9.962629239E-1
4.115822466E-1,9.964269070E-1
4.115822466E-1,9.955623248E-1
4.115822466E-1,9.945453766E-1
4.115822466E-1,9.905930786E-1
4.115822466E-1,9.890958949E-1
4.115822466E-1,9.859815196E-1
4.115822466E-1,9.828276912E-1
4.115822466E-1,9.812477024E-1
4.082170711E-1,9.942803297E-1
4.082170711E-1,9.926537873E-1
4.082170711E-1,9.878265000E-1
4.082170711E-1,9.846880386E-1
4.082170711E-1,9.817448488E-1
4.115822466E-1,9.631609539E-1
4.115822466E-1,9.608406497E-1
4.115822466E-1,9.598446776E-1
4.115822466E-1,9.583684691E-1
4.115822466E-1,9.574049244E-1
4.115822466E-1,9.568117325E-1
4.115822466E-1,9.568671804E-1
4.115822466E-1,9.572390009E-1
4.115822466E-1,9.579933845E-1
4.115822466E-1,9.596166564E-1
4.149998059E-1,9.451793099E-1
4.149998059E-1,9.478073781E-1
4.220094548E-1,9.185801865E-1
4.149998059E-1,9.530700871E-1
4.115822466E-1,9.719958089E-1
4.115822466E-1,9.735100931E-1
4.149998059E-1,9.612562861E-1
4.149998059E-1,9.630694777E-1
4.149998059E-1,9.639108611E-1
4.149998059E-1,9.654443754E-1
4.149998059E-1,9.655851892E-1
4.149998059E-1,9.647503671E-1
4.115822466E-1,9.797198994E-1
4.115822466E-1,9.781478501E-1
4.115822466E-1,9.770974187E-1
4.115822466E-1,9.733583608E-1
4.115822466E-1,9.707690698E-1
4.115822466E-1,9.681063164E-1
4.115822466E-1,9.654796311E-1
4.115822466E-1,9.629361694E-1
4.115822466E-1,9.605758807E-1
4.115822466E-1,9.594628266E-1
4.115822466E-1,9.573750628E-1
4.115822466E-1,9.553468275E-1
4.115822466E-1,9.543858330E-1
4.115822466E-1,9.523630343E-1
4.115822466E-1,9.519307073E-1
4.149998059E-1,9.360706756E-1
4.149998059E-1,9.369981172E-1
4.149998059E-1,9.378501852E-1
4.149998059E-1,9.399331973E-1
4.149998059E-1,9.410101693E-1
4.149998059E-1,9.428608516E-1
4.149998059E-1,9.450394797E-1
4.184755298E-1,9.314739348E-1
4.149998059E-1,9.527018867E-1
4.149998059E-1,9.535248716E-1
4.184755298E-1,9.394943609E-1
4.184755298E-1,9.408528550E-1
4.149998059E-1,9.571179147E-1
4.184755298E-1,9.418407840E-1
4.149998059E-1,9.574790650E-1
4.149998059E-1,9.563558689E-1
4.149998059E-1,9.556732887E-1
4.149998059E-1,9.540310125E-1
4.149998059E-1,9.523312870E-1
4.149998059E-1,9.503535738E-1
4.149998059E-1,9.492753244E-1
4.149998059E-1,9.470681754E-1
4.149998059E-1,9.448232858E-1
4.149998059E-1,9.425915860E-1
4.149998059E-1,9.403941760E-1
4.149998059E-1,9.382770586E-1
4.149998059E-1,9.362291076E-1
4.149998059E-1,9.344424286E-1
4.149998059E-1,9.335441103E-1
4.149998059E-1,9.318154075E-1
4.149998059E-1,9.304113126E-1
4.149998059E-1,9.287404420E-1
4.149998059E-1,9.284586040E-1
4.149998059E-1,9.272289466E-1
4.149998059E-1,9.268236976E-1
4.149998059E-1,9.268335687E-1
4.184755298E-1,9.115501222E-1
4.184755298E-1,9.124428555E-1
4.184755298E-1,9.133787259E-1
4.184755298E-1,9.145207546E-1
4.220094548E-1,9.021907548E-1
4.184755298E-1,9.191478173E-1
4.220094548E-1,9.065150526E-1
4.184755298E-1,9.245849229E-1
4.184755298E-1,9.268940821E-1
4.184755298E-1,9.328971606E-1
4.149998059E-1,9.518757643E-1
4.149998059E-1,9.514833958E-1
4.149998059E-1,9.514184456E-1
4.149998059E-1,9.513765586E-1
4.149998059E-1,9.497801735E-1
4.149998059E-1,9.480619419E-1
4.149998059E-1,9.461658610E-1
4.149998059E-1,9.442124658E-1
4.149998059E-1,9.432585583E-1
4.149998059E-1,9.414379184E-1
4.149998059E-1,9.397785140E-1
4.149998059E-1,9.382106955E-1
4.149998059E-1,9.365970990E-1
4.149998059E-1,9.350556299E-1
4.149998059E-1,9.335515912E-1
4.149998059E-1,9.335515912E-1
4.149998059E-1,9.335515912E-1
4.149998059E-1,9.335515912E-1
4.149998059E-1,9.335515912E-1
4.149998059E-1,9.335515912E-1
4.149998059E-1,9.335515912E-1
4.149998059E-1,9.335515912E-1
4.149998059E-1,9.335515912E-1
4.149998059E-1,9.335515912E-1
4.149998059E-1,9.335515912E-1
4.149998059E-1,9.335515912E-1
4.149998059E-1,9.326119449E-1
4.150027644E-1,9.295920712E-1
4.150028049E-1,9.265845269E-1
4.115870204E-1,9.381905561E-1
4.115840219E-1,9.363753681E-1
4.115852414E-1,9.331021027E-1
4.115884772E-1,9.309824742E-1
4.119240542E-1,9.285785973E-1
4.119218369E-1,9.284198624E-1
4.119208414E-1,9.283852471E-1
4.115896065E-1,9.296118689E-1
4.115881950E-1,9.286850187E-1
4.115893869E-1,9.267257557E-1
4.150090520E-1,9.092875005E-1
4.153511466E-1,9.045025844E-1
4.152925886E-1,9.013300277E-1
4.152898350E-1,8.965898333E-1
4.152925945E-1,8.908345021E-1
4.152941412E-1,8.877675020E-1
4.156376099E-1,8.800893969E-1
4.156364756E-1,8.762824703E-1
4.156361187E-1,8.740237854E-1
4.156366829E-1,8.697805950E-1
4.156353764E-1,8.662117767E-1
4.156348870E-1,8.640601014E-1
4.156381579E-1,8.614124399E-1
4.156388432E-1,8.606425181E-1
4.159823120E-1,8.577120883E-1
4.159805297E-1,8.564704015E-1
4.159850289E-1,8.542845166E-1
4.159808527E-1,8.528615962E-1
4.159814123E-1,8.524232478E-1
4.159830213E-1,8.520138449E-1
4.125475063E-1,8.660803670E-1
4.125470926E-1,8.658944151E-1
4.125446643E-1,8.657885127E-1
4.125460372E-1,8.657607347E-1
4.125457421E-1,8.657428824E-1
4.125455777E-1,8.657395992E-1
4.125480116E-1,8.657360687E-1
4.125490726E-1,8.657401141E-1
4.125506100E-1,8.657153628E-1
4.125486417E-1,8.656357079E-1
