"Time (s)","Rotation x (rad/s)","Rotation y (rad/s)","Rotation z (rad/s)"
1.653499771E2,3.872885704E-1,-1.343903504E-2,5.375614017E-2
1.653800062E2,4.703662395E-1,-2.199114859E-2,0.000000000E0
1.654099896E2,5.424483418E-1,-2.809980139E-2,-6.597344577E-2
1.654399942E2,4.654793143E-1,-2.076941915E-2,-1.026253626E-1
1.654699958E2,5.009095073E-1,-6.108652335E-3,-1.209513173E-1
1.654999953E2,4.679227769E-1,3.054326214E-2,-1.441642046E-1
1.655299968E2,5.070181489E-1,3.298672289E-2,-1.893682331E-1
1.655599937E2,7.305948138E-1,2.321287990E-2,-1.832595766E-1
1.655899677E2,1.527163148E0,-1.221730490E-3,-1.637118906E-1
1.656099880E2,2.128254414E0,0.000000000E0,-1.514945775E-1
1.656400041E2,3.057991505E0,-9.773843922E-3,-1.148426682E-1
1.656699916E2,8.879537582E0,-1.576032341E-1,1.514945775E-1
1.656999932E2,2.064724565E-1,-3.127630055E-1,6.023131609E-1
1.657299640E2,-2.802649736E0,-2.174680233E-1,5.131267905E-1
1.657499849E2,-4.475198746E0,-1.453859210E-1,4.715879560E-1
1.657699937E2,-6.120869637E0,-1.050688252E-1,4.288274050E-1
1.657999755E2,-8.493470192E0,-7.330382615E-2,3.384193480E-1
1.658299833E2,8.411614418E0,-5.131268129E-2,3.176499307E-1
1.658599953E2,-7.909482956E0,-3.909537569E-2,4.263839424E-1
1.658899968E2,-5.242445469E0,-1.221730467E-2,5.998696685E-1
1.659200000E2,5.308418751E0,4.886921868E-2,1.191187263E0
1.659499843E2,1.053131700E0,1.588249579E-2,9.896016717E-1
1.659799979E2,-3.502701283E0,-3.176499158E-2,7.892379165E-1
1.660099828E2,-6.813591003E0,-7.819075137E-2,6.462954283E-1
1.660299974E2,-8.592430115E0,-9.162978828E-2,5.558874011E-1
1.660599802E2,7.082371712E0,-9.529497474E-2,4.764748812E-1
1.660899870E2,5.293758392E0,-1.197295859E-1,4.166100919E-1
1.661199885E2,4.276056767E0,-1.343903542E-1,3.738495409E-1
1.661499916E2,3.467271090E0,-1.429424733E-1,3.530801237E-1
1.661701495E2,3.062878370E0,-1.441642046E-1,3.433062732E-1
1.661999864E2,2.289522886E0,-1.270599663E-1,3.115412891E-1
1.662299896E2,1.731192112E0,-1.136209369E-1,2.773328125E-1
1.662600067E2,1.302364707E0,-1.099557430E-1,2.553416789E-1
1.662900088E2,1.025031924E0,-9.407325089E-2,2.296853364E-1
1.663200047E2,8.100073338E-1,-8.429940045E-2,2.101376504E-1
1.663499614E2,4.838052690E-1,-5.009094998E-2,1.698205322E-1
1.663699906E2,2.528982162E-1,-2.809980139E-2,1.441642046E-1
1.663999864E2,6.230825558E-2,-3.420845419E-2,8.552113175E-2
1.664200021E2,1.221730467E-2,-5.497787148E-2,1.233947799E-1
1.664499880E2,-4.764748737E-2,-4.398229718E-2,9.040805697E-2
1.664799838E2,-9.651670605E-2,-2.809980139E-2,4.764748737E-2
1.664999896E2,-7.574728876E-2,-1.954768784E-2,-4.886921961E-3
1.665300021E2,-1.258382350E-1,-1.832595654E-2,-4.764748737E-2
1.665500047E2,-1.087340117E-1,-3.543018550E-2,-7.330382615E-2
1.665799791E2,-8.674286306E-2,-4.031710699E-2,-1.221730486E-1
1.666000088E2,-6.597344577E-2,-4.520402849E-2,-1.551597714E-1
1.666299911E2,2.443460980E-3,-3.543018550E-2,-2.052507252E-1
1.666499974E2,1.588249579E-2,-2.932153270E-2,-2.186897546E-1
1.666800067E2,2.932153270E-2,-1.710422710E-2,-2.052507252E-1
1.667099838E2,5.375614017E-2,-1.343903504E-2,-2.284636050E-1
1.667399937E2,9.162978828E-2,-3.420845419E-2,-2.406809032E-1
1.667699974E2,2.015855312E-1,-2.809980139E-2,-2.504547536E-1
1.667999698E2,2.089159191E-1,-1.832595654E-2,-2.186897546E-1
1.668199989E2,2.651155293E-1,-1.710422710E-2,-2.150245607E-1
1.668499911E2,2.907718420E-1,-1.221730467E-2,-1.942551434E-1
1.668799932E2,2.834414840E-1,-1.954768784E-2,-1.514945775E-1
1.668999953E2,2.956587672E-1,-1.466076635E-2,-1.282816976E-1
1.669299948E2,4.105014503E-1,-8.552113548E-3,-9.407325089E-2
1.669599843E2,5.937610269E-1,7.330383174E-3,-6.597344577E-2
1.669899890E2,6.633996367E-1,3.176499158E-2,-4.276056588E-2
1.670199922E2,7.086036801E-1,3.787364438E-2,9.773843922E-3
1.670499911E2,7.929030657E-1,5.253441259E-2,7.086037099E-2
1.670699989E2,8.857545853E-1,6.597344577E-2,9.896016866E-2
1.670999823E2,1.112996459E0,8.185594529E-2,1.576032341E-1
1.671299833E2,1.372003317E0,6.719517708E-2,1.771509200E-1
1.671599958E2,1.489289522E0,5.009094998E-2,2.162462920E-1
1.671899880E2,1.562593341E0,5.619960278E-2,2.614503205E-1
1.672199984E2,1.811826348E0,5.375614017E-2,3.029891551E-1
1.672499927E2,2.047620296E0,2.809980139E-2,3.249803185E-1
1.672799750E2,2.487443209E0,-9.773843922E-3,3.518583775E-1
1.672999880E2,2.897944689E0,-4.886921868E-2,3.628539443E-1
1.673300177E2,2.950479031E0,-7.819075137E-2,3.543018401E-1
1.673599942E2,3.142290831E0,-1.014036313E-1,3.457497358E-1
1.673901510E2,3.455053806E0,-1.392772794E-1,3.457497358E-1
1.674199692E2,3.183829546E0,-1.539380401E-1,2.944370508E-1
1.674399958E2,2.789210796E0,-1.392772794E-1,2.492330223E-1
1.674600031E2,2.321287870E0,-1.160643995E-1,2.052507252E-1
1.674899859E2,1.635897160E0,-7.574728876E-2,1.319468915E-1
