"Frequency (Hz)","Rel. amplitude (a.u.)"
5.208342518E-1,7.044460007E-1
5.208342518E-1,7.030326771E-1
5.208342518E-1,7.023261746E-1
5.208342518E-1,7.016199439E-1
5.208342518E-1,7.002156810E-1
5.194813629E-1,7.038630146E-1
5.181342258E-1,7.075254447E-1
5.181349948E-1,7.075264610E-1
5.167997606E-1,7.111873384E-1
5.167959353E-1,7.111970205E-1
5.167959353E-1,7.111970205E-1
5.167923882E-1,7.112115181E-1
5.141402632E-1,7.185754912E-1
5.141396437E-1,7.185794837E-1
5.128211978E-1,7.222781069E-1
5.128229784E-1,7.222765402E-1
5.128177051E-1,7.223073406E-1
5.115067710E-1,7.260235946E-1
5.102023870E-1,7.297601339E-1
5.115114044E-1,7.260454368E-1
5.115081339E-1,7.260574967E-1
5.128235263E-1,7.223301579E-1
5.128265397E-1,7.223067805E-1
5.141452196E-1,7.185876200E-1
5.141421906E-1,7.185864178E-1
5.141406073E-1,7.185823734E-1
5.154653016E-1,7.148844666E-1
5.154649555E-1,7.148776034E-1
5.141439805E-1,7.185407602E-1
5.154681385E-1,7.148369203E-1
5.141441869E-1,7.185141018E-1
5.141416400E-1,7.185152012E-1
5.167978827E-1,7.111376207E-1
5.167981609E-1,7.111311376E-1
5.167971873E-1,7.111337211E-1
5.167948224E-1,7.111426556E-1
5.154637100E-1,7.148229283E-1
5.154644020E-1,7.148270898E-1
5.154662010E-1,7.148198560E-1
5.168133238E-1,7.111011426E-1
5.167948224E-1,7.111612061E-1
5.154646096E-1,7.148455078E-1
5.167957962E-1,7.111675862E-1
5.167961439E-1,7.111672062E-1
5.167979523E-1,7.111666297E-1
5.154632256E-1,7.148644338E-1
5.141434986E-1,7.185450091E-1
5.141511399E-1,7.185317480E-1
5.154640560E-1,7.148837267E-1
5.167982304E-1,7.112061133E-1
5.181355541E-1,7.075510149E-1
5.168038643E-1,7.112115194E-1
5.167977436E-1,7.112149386E-1
5.167977436E-1,7.111405192E-1
5.167939878E-1,7.111103845E-1
5.167970481E-1,7.111071403E-1
5.167743752E-1,7.110773041E-1
5.168003171E-1,7.105512229E-1
5.167793825E-1,7.102357251E-1
5.141412269E-1,7.167118127E-1
5.128131166E-1,7.200151052E-1
5.141427414E-1,7.154646898E-1
5.141420530E-1,7.151459767E-1
5.101979809E-1,7.259716071E-1
5.115103823E-1,7.222192854E-1
5.115052721E-1,7.222003522E-1
5.115085427E-1,7.221807418E-1
5.102056409E-1,7.258805968E-1
5.089003896E-1,7.296170760E-1
5.089065269E-1,7.296057535E-1
5.089076061E-1,7.295917381E-1
5.076272985E-1,7.332712919E-1
5.076208565E-1,7.332967035E-1
5.102053018E-1,6.910653044E-1
5.128229098E-1,6.500332401E-1
5.194822061E-1,5.706456537E-1
5.221965490E-1,5.409834563E-1
5.263160060E-1,5.148093326E-1
5.333345926E-1,4.845068732E-1
6.493527357E-1,3.228286063E-1
6.493345083E-1,3.219135144E-1
6.514709928E-1,3.190269423E-1
6.514636983E-1,3.188252146E-1
6.514644718E-1,3.187482045E-1
6.493553711E-1,3.205965870E-1
6.493532847E-1,3.204919545E-1
6.493530652E-1,3.204453750E-1
6.514729823E-1,3.182672253E-1
6.514657980E-1,3.182005785E-1
4.338371268E-1,7.172018423E-1
4.328889647E-1,7.197390926E-1
4.329010674E-1,7.195887679E-1
4.338402147E-1,7.164781144E-1
4.366765053E-1,7.049110881E-1
4.366804779E-1,7.025278107E-1
4.357293532E-1,7.010407067E-1
4.357289576E-1,6.982628454E-1
4.366792365E-1,6.944263867E-1
4.376326718E-1,6.908426714E-1
4.366664745E-1,6.932543299E-1
4.366820173E-1,6.931084013E-1
4.385856710E-1,6.870917996E-1
4.385968921E-1,6.870302563E-1
4.395673834E-1,6.838478499E-1
4.385942370E-1,6.864994783E-1
4.376228963E-1,6.886841716E-1
4.376354150E-1,6.879625201E-1
4.494350988E-1,6.513995759E-1
4.524873550E-1,6.420063404E-1
6.593386971E-1,2.981677416E-1
6.607893888E-1,2.882476473E-1
6.666495376E-1,2.577448607E-1
6.622531025E-1,2.521041455E-1
5.290981963E-1,3.809349826E-1
5.347569753E-1,3.700588106E-1
5.376295913E-1,3.632950436E-1
