"Time shift (s)","Autocorrelation of sum"
0.000000000E0,2.476608122E-1
3.000052100E-2,2.424787067E-1
5.001979200E-2,2.295354416E-1
7.999583300E-2,2.116941671E-1
1.099989580E-1,1.904832522E-1
1.400140630E-1,1.664278457E-1
1.700052080E-1,1.398032190E-1
2.000291670E-1,1.118481789E-1
2.300177080E-1,8.400693785E-2
2.600125000E-1,5.732136879E-2
2.900213540E-1,3.229271581E-2
3.100213540E-1,8.707653089E-3
3.401703130E-1,-1.390744828E-2
3.700130210E-1,-3.533481356E-2
4.000104170E-1,-5.540912913E-2
4.200109380E-1,-7.381725625E-2
4.400145830E-1,-9.004516473E-2
4.600151040E-1,-1.038623197E-1
4.800161460E-1,-1.150630632E-1
5.100864580E-1,-1.236175188E-1
5.400130210E-1,-1.297977897E-1
5.700343750E-1,-1.337832689E-1
6.000166670E-1,-1.358702854E-1
6.300130210E-1,-1.359712948E-1
6.600052080E-1,-1.343574952E-1
6.800250000E-1,-1.312441529E-1
7.100244790E-1,-1.267023565E-1
7.400291670E-1,-1.207269908E-1
7.700156250E-1,-1.135154640E-1
8.000255210E-1,-1.048588639E-1
8.300145830E-1,-9.489945537E-2
8.599916670E-1,-8.409371918E-2
8.800177080E-1,-7.270456163E-2
9.100130210E-1,-6.132227398E-2
9.400208330E-1,-5.038225398E-2
9.600515620E-1,-3.995611191E-2
9.800541670E-1,-3.018458834E-2
1.010009375E0,-2.094345578E-2
1.040012500E0,-1.264111560E-2
1.070001562E0,-5.524025378E-3
1.090013542E0,6.190273608E-4
1.110026562E0,6.280990333E-3
1.140003646E0,1.145844517E-2
1.160011458E0,1.634162218E-2
1.190014583E0,2.088735816E-2
1.220041146E0,2.490483563E-2
1.250020833E0,2.854889729E-2
1.279996875E0,3.173941745E-2
1.300014062E0,3.482571156E-2
1.330011979E0,3.795590539E-2
1.350024479E0,4.106931293E-2
1.370159375E0,4.424101153E-2
1.399995312E0,4.745904086E-2
1.420028125E0,5.066114858E-2
1.449986458E0,5.402500054E-2
1.470021354E0,5.757146034E-2
1.500019792E0,6.133261952E-2
1.530016667E0,6.504906611E-2
1.560030729E0,6.816412900E-2
1.589989583E0,7.093454069E-2
1.610041666E0,7.374622395E-2
1.640012500E0,7.684686947E-2
1.660013541E0,7.995238685E-2
1.690284896E0,8.250476239E-2
1.720017187E0,8.433349861E-2
1.740027083E0,8.552375270E-2
1.770003646E0,8.617995935E-2
1.800005729E0,8.614870435E-2
1.830011458E0,8.487758259E-2
1.850037500E0,8.208966177E-2
1.880001041E0,7.761438488E-2
1.910001562E0,7.138143363E-2
1.940011979E0,6.342914305E-2
1.970003646E0,5.389626217E-2
2.000025000E0,4.306860479E-2
2.030006771E0,3.095510784E-2
2.060013021E0,1.746400871E-2
2.090014583E0,2.631508650E-3
2.120012500E0,-1.321136561E-2
2.150010416E0,-2.931722265E-2
2.180018229E0,-4.541236691E-2
2.200020312E0,-6.134680727E-2
2.230175521E0,-7.687980962E-2
2.260029687E0,-9.190919578E-2
2.290017187E0,-1.060120066E-1
2.320018229E0,-1.188607915E-1
2.350026041E0,-1.301511181E-1
2.379992187E0,-1.396567461E-1
2.400013541E0,-1.472314415E-1
2.429998437E0,-1.525414117E-1
2.450002604E0,-1.553592725E-1
2.480007812E0,-1.555313571E-1
2.509998958E0,-1.528931156E-1
2.540002083E0,-1.471212554E-1
2.570016146E0,-1.381216927E-1
2.600008333E0,-1.259623760E-1
2.630017708E0,-1.109948451E-1
2.650022396E0,-9.435426520E-2
2.680009375E0,-7.675159893E-2
2.710004687E0,-5.823137316E-2
2.730012500E0,-3.882430535E-2
2.760052083E0,-1.876379704E-2
2.790006770E0,1.198338509E-3
2.810011979E0,2.016989216E-2
2.840015104E0,3.762892015E-2
2.870001041E0,5.396500542E-2
2.900019791E0,6.946222046E-2
2.930031250E0,8.385046047E-2
2.960019791E0,9.631467620E-2
2.990006250E0,1.063820106E-1
3.010006770E0,1.142628879E-1
3.040035416E0,1.200162668E-1
3.070012500E0,1.237514318E-1
3.100003645E0,1.253925968E-1
3.130010937E0,1.251818895E-1
3.160008333E0,1.231789601E-1
3.190016145E0,1.194354636E-1
3.220013020E0,1.141863992E-1
3.250020312E0,1.073435456E-1
3.279994270E0,9.920867430E-2
3.300020833E0,9.051373028E-2
3.330014583E0,8.123118598E-2
3.360020833E0,7.152098123E-2
3.390010937E0,6.203613570E-2
3.410013541E0,5.253364115E-2
3.430015104E0,4.254929288E-2
3.460005729E0,3.227164656E-2
3.489997916E0,2.170395369E-2
3.510166666E0,1.161851572E-2
3.539994791E0,1.861963729E-3
3.560044270E0,-7.750501454E-3
3.589992708E0,-1.679250451E-2
3.610013020E0,-2.516131964E-2
3.640016145E0,-3.272136182E-2
3.670016145E0,-3.887568466E-2
3.690021354E0,-4.348367757E-2
3.719998437E0,-4.658366095E-2
3.750000000E0,-4.813232443E-2
3.780002083E0,-4.859298810E-2
3.810016666E0,-4.803094814E-2
3.840016145E0,-4.688470656E-2
3.870129166E0,-4.538019805E-2
3.899994270E0,-4.374366750E-2
3.920004687E0,-4.230815301E-2
3.940004687E0,-4.114188771E-2
3.970004166E0,-4.059018157E-2
4.000005729E0,-4.099244327E-2
4.030153645E0,-4.190804980E-2
4.060019791E0,-4.347219713E-2
4.080173958E0,-4.554336441E-2
4.110008333E0,-4.836206919E-2
4.140010416E0,-5.159997002E-2
4.169997395E0,-5.507648297E-2
4.190114062E0,-5.843388382E-2
4.219994791E0,-6.190483065E-2
4.249992187E0,-6.552416513E-2
4.280003124E0,-6.872935519E-2
4.310008854E0,-7.127299310E-2
4.340020833E0,-7.255312910E-2
4.370129166E0,-7.272643420E-2
4.390910416E0,-7.213070035E-2
4.420004687E0,-7.027079103E-2
4.450010937E0,-6.680016168E-2
4.480016145E0,-6.140094346E-2
4.510006249E0,-5.390852453E-2
4.530113020E0,-4.496249684E-2
4.560001041E0,-3.451008399E-2
4.589989583E0,-2.240856044E-2
4.609993749E0,-8.499026468E-3
4.630005208E0,6.921313419E-3
4.650119270E0,2.327605050E-2
4.679998958E0,3.991430500E-2
4.710001041E0,5.705737150E-2
4.730011458E0,7.469520152E-2
4.759998437E0,9.237501412E-2
4.790010937E0,1.086331611E-1
4.820002604E0,1.226012781E-1
4.840146354E0,1.341886353E-1
4.870008333E0,1.433938094E-1
4.899998437E0,1.497167017E-1
4.930006249E0,1.530320430E-1
4.960013020E0,1.530245912E-1
4.990018749E0,1.496575262E-1
