"Time shift (s)","Autocorrelation of sum"
0.000000000E0,1.029222308E0
3.000364600E-2,1.015270248E0
5.001822900E-2,9.761492080E-1
8.001979200E-2,9.151306770E-1
1.100010420E-1,8.350222351E-1
1.399979170E-1,7.396424053E-1
1.700302080E-1,6.320730187E-1
1.900817710E-1,5.159078311E-1
2.200083330E-1,3.962361811E-1
2.500098960E-1,2.779373280E-1
2.800031250E-1,1.657702134E-1
3.100369790E-1,6.206541169E-2
3.400041670E-1,-3.157181869E-2
3.600083330E-1,-1.137414828E-1
3.900026040E-1,-1.840291821E-1
4.200453120E-1,-2.414898803E-1
4.500020830E-1,-2.861473402E-1
4.800052080E-1,-3.192102667E-1
5.100125000E-1,-3.422277277E-1
5.399843750E-1,-3.567483013E-1
5.600140620E-1,-3.647456927E-1
5.900119790E-1,-3.677462695E-1
6.200125000E-1,-3.669122809E-1
6.500093750E-1,-3.633505820E-1
6.808317710E-1,-3.578550508E-1
7.099755210E-1,-3.513888492E-1
7.299968750E-1,-3.454862738E-1
7.600031250E-1,-3.407119562E-1
7.900119790E-1,-3.372940134E-1
8.200093750E-1,-3.352895086E-1
8.499760420E-1,-3.354202361E-1
8.699937500E-1,-3.385711151E-1
8.899953120E-1,-3.446480466E-1
9.201651040E-1,-3.540578274E-1
9.499880210E-1,-3.656278382E-1
9.799890620E-1,-3.784052192E-1
1.010005729E0,-3.915162460E-1
1.040116146E0,-4.045207798E-1
1.070001562E0,-4.166091454E-1
1.090014062E0,-4.260393735E-1
1.119995312E0,-4.322652162E-1
1.149996875E0,-4.338207191E-1
1.180083854E0,-4.298561130E-1
1.210004687E0,-4.198027669E-1
1.240010937E0,-4.028052342E-1
1.270004166E0,-3.774310931E-1
1.299983333E0,-3.425790591E-1
1.320043750E0,-2.979749063E-1
1.350016666E0,-2.438360575E-1
1.380006771E0,-1.798632309E-1
1.410138541E0,-1.061530318E-1
1.440003646E0,-2.283540516E-2
1.469979166E0,6.866988124E-2
1.490009375E0,1.667259424E-1
1.520089062E0,2.696806309E-1
1.550557812E0,3.747150332E-1
1.580001041E0,4.785244806E-1
1.600003125E0,5.774703021E-1
1.620034375E0,6.685014590E-1
1.649991666E0,7.484394465E-1
1.680884896E0,8.141552502E-1
1.709988541E0,8.629468206E-1
1.740021875E0,8.919001619E-1
1.770007812E0,8.990665667E-1
1.799999479E0,8.841641197E-1
1.820000000E0,8.478557773E-1
1.849984896E0,7.934232164E-1
1.870008333E0,7.224285554E-1
1.899993229E0,6.373271017E-1
1.920020833E0,5.414458060E-1
1.949990104E0,4.384243585E-1
1.969995833E0,3.331299051E-1
1.989996875E0,2.298983393E-1
2.019996354E0,1.316967598E-1
2.050023958E0,4.031409836E-2
2.080010937E0,-4.251582516E-2
2.110008333E0,-1.148706536E-1
2.130009896E0,-1.757830819E-1
2.150557291E0,-2.250973260E-1
2.179988021E0,-2.634327794E-1
2.200004687E0,-2.921337641E-1
2.220036979E0,-3.123364881E-1
2.250676041E0,-3.256198297E-1
2.280012500E0,-3.329267159E-1
2.309994791E0,-3.356094331E-1
2.329999479E0,-3.351836865E-1
2.360006250E0,-3.325648494E-1
2.390032812E0,-3.289415081E-1
2.419998437E0,-3.252545525E-1
2.440001041E0,-3.224653758E-1
2.470185937E0,-3.207293874E-1
2.500002604E0,-3.203569756E-1
2.520059375E0,-3.215185510E-1
2.549994791E0,-3.244847413E-1
2.570024479E0,-3.296419821E-1
2.599981770E0,-3.373722452E-1
2.620031250E0,-3.478128752E-1
2.650020312E0,-3.595555513E-1
2.680800520E0,-3.714737379E-1
2.709982812E0,-3.837029020E-1
2.729996354E0,-3.951073013E-1
2.750002604E0,-4.050992847E-1
2.780009895E0,-4.123959820E-1
2.810007812E0,-4.160864815E-1
2.839996875E0,-4.151763588E-1
2.869989583E0,-4.077925023E-1
2.889995833E0,-3.932794245E-1
2.919986979E0,-3.716097195E-1
2.939989062E0,-3.410537427E-1
2.960010416E0,-3.016666820E-1
2.990006770E0,-2.531811374E-1
3.019973958E0,-1.960195840E-1
3.040140625E0,-1.301741053E-1
3.070129687E0,-5.641187384E-2
3.100002604E0,2.431349205E-2
3.120031250E0,1.105913374E-1
3.149988020E0,2.008685305E-1
3.169996354E0,2.928694226E-1
3.199978645E0,3.851017069E-1
3.229984895E0,4.746837777E-1
3.250379166E0,5.582414825E-1
3.279971875E0,6.326657640E-1
3.300015104E0,6.963932196E-1
3.329967708E0,7.468913811E-1
3.349986979E0,7.815210711E-1
3.369991145E0,7.988847156E-1
3.399997395E0,7.977765376E-1
3.420040104E0,7.784907680E-1
3.450126562E0,7.420877215E-1
3.479977604E0,6.907424156E-1
3.499978124E0,6.263303498E-1
3.519999479E0,5.502833134E-1
3.549996874E0,4.653754845E-1
3.579992708E0,3.749075454E-1
3.609995312E0,2.823674391E-1
3.639968229E0,1.917424843E-1
3.659986979E0,1.049172149E-1
3.680766666E0,2.358138210E-2
3.709991666E0,-5.098897993E-2
3.740143749E0,-1.168381980E-1
3.770004687E0,-1.728397318E-1
3.800001562E0,-2.192094605E-1
3.820013020E0,-2.560598699E-1
3.850395312E0,-2.843303366E-1
3.879997395E0,-3.053641790E-1
3.909994270E0,-3.199478013E-1
3.939999999E0,-3.290644004E-1
3.970002604E0,-3.339231035E-1
3.990124999E0,-3.353653877E-1
4.020036458E0,-3.343240562E-1
4.050751041E0,-3.317238599E-1
4.080026562E0,-3.282485913E-1
4.110005208E0,-3.244960994E-1
4.140002083E0,-3.217114523E-1
4.169999999E0,-3.195920533E-1
4.200001041E0,-3.183628743E-1
4.220003645E0,-3.186212746E-1
4.250005729E0,-3.205441575E-1
4.280009374E0,-3.250802414E-1
4.309993749E0,-3.313501738E-1
4.329997395E0,-3.385018971E-1
4.350182291E0,-3.454933187E-1
4.379993229E0,-3.522749113E-1
4.409992187E0,-3.591221874E-1
4.439990624E0,-3.654146325E-1
4.459992708E0,-3.691900851E-1
4.480003645E0,-3.697388920E-1
4.510002083E0,-3.662928341E-1
4.539989062E0,-3.576161925E-1
4.560002083E0,-3.429464478E-1
4.589999999E0,-3.217667654E-1
4.620043228E0,-2.930510164E-1
4.650569270E0,-2.556605072E-1
4.680888020E0,-2.093819326E-1
4.709967187E0,-1.540909609E-1
4.730007291E0,-9.088115936E-2
4.759988541E0,-1.986119027E-2
4.789996874E0,5.763235593E-2
4.809996874E0,1.405378988E-1
4.839993228E0,2.274796068E-1
4.860017708E0,3.157891895E-1
4.889993749E0,4.032503889E-1
4.910114583E0,4.869771060E-1
4.939978645E0,5.639101701E-1
4.960002603E0,6.311198013E-1
4.990015624E0,6.864676267E-1
