"Time shift (s)","Autocorrelation of sum"
0.000000000E0,7.207560362E-1
3.000520800E-2,7.159150126E-1
6.000937500E-2,7.026663999E-1
9.000572900E-2,6.818260600E-1
1.100119790E-1,6.537710266E-1
1.399947910E-1,6.190607790E-1
1.699984370E-1,5.780538457E-1
1.999963540E-1,5.312089246E-1
2.300390620E-1,4.794786450E-1
2.599776040E-1,4.237608564E-1
2.800052080E-1,3.648782466E-1
3.100114580E-1,3.033816529E-1
3.399932290E-1,2.393531030E-1
3.700135410E-1,1.735950989E-1
4.000046870E-1,1.066604316E-1
4.299677080E-1,3.951541138E-2
4.501234370E-1,-2.703824235E-2
4.801192710E-1,-9.239008119E-2
5.099942710E-1,-1.559058588E-1
5.299963540E-1,-2.167701541E-1
5.599895830E-1,-2.745158550E-1
5.801635410E-1,-3.287433558E-1
6.099880210E-1,-3.791659096E-1
6.300104160E-1,-4.254126147E-1
6.599875000E-1,-4.670818478E-1
6.800104160E-1,-5.041704101E-1
7.099994790E-1,-5.367100319E-1
7.300000000E-1,-5.643527397E-1
7.600182290E-1,-5.870979002E-1
7.803270830E-1,-6.047441053E-1
8.101515620E-1,-6.170561011E-1
8.400036460E-1,-6.239640899E-1
8.699921870E-1,-6.257869851E-1
8.900005210E-1,-6.228430021E-1
9.101218750E-1,-6.150523372E-1
9.399875000E-1,-6.023084386E-1
9.600104160E-1,-5.848665793E-1
9.900171870E-1,-5.627700928E-1
1.020020312E0,-5.364845258E-1
1.049984375E0,-5.059450424E-1
1.069994791E0,-4.716635519E-1
1.099995833E0,-4.335063979E-1
1.129996354E0,-3.913061499E-1
1.150000520E0,-3.453942914E-1
1.180375520E0,-2.960155084E-1
1.210001041E0,-2.435851672E-1
1.239992708E0,-1.882786172E-1
1.269992708E0,-1.304512783E-1
1.299996354E0,-7.052185714E-2
1.329998437E0,-9.122088496E-3
1.350080729E0,5.331751192E-2
1.380185937E0,1.160773257E-1
1.410011458E0,1.784645901E-1
1.440005208E0,2.399032662E-1
1.470144791E0,2.997991800E-1
1.499981770E0,3.575352706E-1
1.520001041E0,4.124761977E-1
