number,x,y
1,0,0
2,0,1
3,-1,0
4,-2,0
5,0,-1
6,-1,1
7,-2,-1
8,1,1
9,-3,-1
10,-3,-2
11,1,0
12,0,2
13,0,3
14,-4,-2
15,1,3
16,2,1
17,-3,-3
18,-4,-3
19,-3,0
20,-2,-3
21,2,2
22,1,4
23,-3,-4
24,-4,-1
25,-5,-1
26,-1,-3
27,1,5
28,1,-1
29,-1,-4
30,2,5
31,2,6
32,-1,2
33,3,2
34,-5,-3
35,-3,1
36,3,6
37,-6,-1
38,-2,-2
39,-5,-4
40,2,7
41,3,5
42,-6,-4
43,4,2
44,-5,-5
45,-4,-5
46,0,5
47,1,-2
48,3,1
49,-2,2
50,-7,-1
51,-7,0
52,2,-2
53,3,4
54,4,6
55,-7,1
56,4,1
57,-6,-2
58,-8,-1
59,-1,-2
60,-9,-1
61,-6,-5
62,0,6
63,-8,0
64,-5,-6
65,-6,1
66,2,8
67,-1,3
68,-10,-1
69,-6,0
70,-6,2
71,5,6
72,3,8
73,-9,-2
74,0,7
75,-2,-4
76,-9,0
77,5,1
78,-5,-7
79,2,3
80,-6,-7
81,-7,-5
82,5,5
83,-8,-2
84,0,-2
85,0,8
86,-5,1
87,-6,-6
88,0,4
89,-4,-6
90,-6,3
91,6,1
92,5,4
93,2,-3
94,4,0
95,4,3
96,1,8
97,0,-4
98,6,6
99,2,-1
100,-11,-1
101,-11,0
102,1,-4
103,-5,3
104,4,-1
105,-12,0
106,-1,7
107,-10,0
108,4,-2
109,-6,-8
110,-3,-6
111,-2,-6
112,3,-2
113,4,-3
114,5,0
115,5,7
116,-2,7
117,-12,1
118,-3,7
119,-12,2
120,-13,0
121,-1,8
122,-13,-1
123,5,8
124,-7,2
125,-7,-2
126,-3,-7
127,-3,6
128,-7,-7
129,0,-5
130,6,2
131,6,5
132,-3,-8
133,3,9
134,3,10
135,6,0
136,-7,-8
137,7,6
138,5,-2
139,-1,-6
140,7,7
141,-3,-9
142,-4,-8
143,-8,1
144,6,-1
145,-13,-2
146,5,9
147,-1,6
148,0,-6
149,7,8
150,5,-3
151,-14,-1
152,8,6
153,6,4
154,4,10
155,-13,2
156,-8,-5
157,-1,-7
158,-3,2
159,-5,4
160,-3,-10
161,6,3
162,-8,-6
163,-8,-8
164,-6,-9
165,6,-3
166,8,7
167,7,3
168,6,-2
169,-2,-9
170,7,1
171,7,-2
172,2,10
173,-13,3
174,-8,-9
175,6,9
176,-3,5
177,-14,0
178,-1,9
179,-5,-9
180,-6,-10
181,8,5
182,5,10
183,-14,2
184,-5,0
185,-8,-10
186,-14,3
187,5,-4
188,9,5
189,-1,-9
190,9,7
191,-15,-1
192,7,-3
193,-9,-6
194,-9,-7
195,-16,-1
196,-15,-2
197,-11,2
198,-4,4
199,10,5
200,0,-7
201,-1,-10
202,-15,0
203,-13,4
204,2,11
205,-4,5
206,-8,-11
207,-9,-3
208,-15,-3
209,-9,-5
210,5,11
211,-5,5
212,8,1
213,-10,1
214,8,-2
215,4,11
216,-4,6
217,11,5
218,11,6
219,-15,2
220,-14,-2
221,7,0
222,10,7
223,-16,-2
224,-7,-11
225,8,0
226,-13,5
227,-5,-10
228,4,-4
229,-10,-2
230,-5,-11
231,1,9
232,-8,-4
233,-9,-10
234,-12,-1
235,-15,1
236,-15,-4
237,-12,-2
238,-12,-3
239,-16,-3
240,3,-4
241,-10,-3
242,7,-4
243,-10,-7
244,-9,-11
245,9,1
246,-11,-7
247,-10,-4
248,-2,8
249,-10,2
250,-10,-6
251,-5,6
252,-13,6
253,-6,5
254,-8,2
255,-16,2
256,1,-7
257,-10,3
258,8,-3
259,4,12
260,-16,3
261,-9,2
262,-14,-3
263,-8,3
264,8,8
265,-9,-12
266,1,11
267,4,-5
268,-8,-12
269,9,4
270,-17,-2
271,-7,5
272,7,-5
273,-15,3
274,1,12
275,-8,-13
276,-16,4
277,8,-5
278,-4,-10
279,-9,-8
280,-2,-8
281,-16,-4
282,-7,-12
283,-15,4
284,3,12
285,-8,-14
286,-8,5
287,-17,4
288,4,13
289,-12,-7
290,2,-4
291,-12,-8
292,-6,-12
293,9,3
294,-15,5
295,-10,-8
296,-18,-2
297,1,-6
298,-14,6
299,1,10
300,10,4
301,6,-5
302,-10,-9
303,-16,1
304,-9,-14
305,-12,3
306,-3,8
307,-19,-2
308,-8,6
309,-2,-10
310,4,14
311,-9,6
312,-18,-3
313,-11,-9
314,-6,-13
315,3,14
316,8,-1
317,9,-2
318,-10,-12
319,-9,-15
320,0,10
321,-3,9
322,8,-6
323,10,1
324,-18,-4
325,-10,4
326,-6,4
327,10,0
328,7,-6
329,-20,-2
330,-7,-13
331,-1,-8
332,-3,10
333,-11,-3
334,-14,7
335,-12,-9
336,-12,6
337,-14,8
338,-19,-1
339,-11,-12
340,-4,8
341,-17,1
342,-13,-7
343,-17,2
344,-4,10
345,11,4
346,10,8
347,-7,-14
348,-17,-1
349,7,-7
350,5,13
351,11,0
352,-18,4
353,2,12
354,3,13
355,8,9
356,11,-1
357,-5,7
358,10,9
359,-15,7
360,0,12
361,-21,-2
362,6,-7
363,-21,-3
364,-2,-11
365,4,-6
366,-2,10
367,-10,-13
368,-20,-1
369,-2,11
370,11,7
371,1,-8
372,11,3
373,4,15
374,-12,-4
375,-20,0
376,-4,11
377,-16,7
378,-6,-14
379,-1,11
380,9,-6
381,-13,-8
382,-11,-10
383,-18,-1
384,-20,-3
385,-1,-11
386,11,9
387,-11,-13
388,12,9
389,-12,5
390,-19,0
391,0,-10
392,-9,7
393,-12,-10
394,-10,-11
395,-9,-16
396,-11,-6
397,-17,-3
398,9,-1
399,10,-6
400,-10,-15
401,12,3
402,-9,4
403,11,10
404,-18,5
405,-12,7
406,-11,3
407,2,14
408,0,13
409,-1,12
410,0,-9
411,-10,6
412,-11,5
413,11,-6
414,12,7
415,-9,-17
416,-6,7
417,-6,6
418,2,-6
419,5,-7
420,13,9
421,13,3
422,-11,-15
423,6,11
424,3,-5
425,9,2
426,10,-7
427,11,11
428,-8,-16
429,1,13
430,-11,-11
431,-16,6
432,13,7
433,-22,-2
434,8,10
435,11,8
436,-12,-5
437,11,-5
438,12,4
439,-13,-10
440,-14,-7
441,-5,-12
442,-5,11
443,-13,-11
444,-5,-14
445,8,11
446,-6,11
447,14,3
448,-6,8
449,-18,-5
450,-11,7
451,-21,-1
452,-16,-5
453,2,-8
454,-7,-15
455,11,2
456,8,12
457,-1,13
458,10,-2
459,1,14
460,-7,11
461,4,16
462,12,-1
463,9,-7
464,13,8
465,11,-4
466,-10,-17
467,-14,-8
468,1,15
469,9,11
470,-7,-16
471,-7,-17
472,11,12
473,-19,5
474,-2,13
475,-7,6
476,-11,-14
477,-17,7
478,10,12
479,-14,-11
480,1,-10
481,4,17
482,-14,9
483,12,11
484,5,14
485,-3,-11
486,12,-5
487,-13,-5
488,-14,-9
489,0,14
490,-19,6
491,-15,9
492,14,8
493,-16,9
494,3,-6
495,11,13
496,-6,-17
497,13,11
498,11,14
499,5,17
500,-14,-12
501,-15,10
502,-22,-3
503,12,-2
504,2,15
505,5,-8
506,14,11
507,-11,8
508,-11,-16
509,8,-7
510,13,12
511,-6,-18
512,5,-9
513,-6,-16
514,-5,-17
515,13,10
516,-12,-16
517,-13,-12
518,-23,-2
519,-18,2
520,0,15
521,15,8
522,-20,6
523,6,13
524,2,-7
525,12,12
526,-19,-5
527,4,18
528,-12,8
529,15,11
530,8,-8
531,7,13
532,-24,-2
533,-8,7
534,14,4
535,-24,-3
536,-12,-14
537,-14,-5
538,3,16
539,15,9
540,-11,9
541,-19,4
542,11,1
543,11,15
544,10,14
545,-18,6
546,-6,10
547,7,14
548,15,4
549,9,14
550,12,5
551,14,10
552,13,-5
553,-15,-5
554,-20,1
555,-1,-12
556,16,11
557,-20,-5
558,11,-3
559,-7,8
560,-13,9
561,-10,-18
562,-19,2
563,8,-9
564,12,14
565,3,-8
566,5,-10
567,-20,7
568,-15,-12
569,12,-6
570,9,15
571,-15,-11
572,13,-2
573,16,8
574,13,-6
575,-9,8
576,-20,4
577,-23,-3
578,-12,-6
579,-17,9
580,-21,1
581,-11,-17
582,16,4
583,-13,-14
584,-5,-15
585,3,17
586,-15,-8
587,15,5
588,16,10
589,8,15
590,-22,1
591,-22,-4
592,6,17
593,14,5
594,-4,-17
595,15,12
596,14,12
597,7,-9
598,14,-5
599,-13,10
600,-14,-6
601,12,-4
602,-4,-12
603,-14,-10
604,-14,-13
605,6,16
606,-7,9
607,13,5
608,9,16
609,8,-10
610,0,-11
611,16,3
612,5,16
613,13,-7
614,6,-9
615,6,15
616,2,17
617,-16,-12
618,-18,9
619,-4,-13
620,-3,-13
621,-17,-12
622,-4,-18
623,-5,12
624,-7,10
625,-3,13
626,14,-6
627,14,13
628,-3,-17
629,-13,-16
630,4,-9
631,-22,2
632,9,-8
633,15,-6
634,9,-9
635,-9,9
636,-16,-8
637,-18,-12
638,-1,14
639,7,16
640,-11,10
641,-8,10
642,5,-11
643,17,3
644,-24,-4
645,-10,9
646,-15,-7
647,-17,-13
648,8,-11
649,17,2
650,-18,-6
651,-18,-11
652,-20,-4
653,-3,-16
654,1,-11
655,-16,-11
656,-3,12
657,6,18
658,-6,12
659,15,13
660,2,-11
661,-4,-19
662,-14,-16
663,-23,-1
664,15,14
665,11,-7
666,-4,-15
667,1,17
668,17,11
669,-18,-7
670,-4,13
671,-19,-7
672,1,18
673,16,13
674,-2,-16
675,15,6
676,11,16
677,-12,-17
678,9,-11
679,18,3
680,-25,-4
681,-5,13
682,1,19
683,14,2
684,-2,-13
685,-20,3
686,13,13
687,0,18
688,-6,13
689,-21,-5
690,-7,-18
691,4,19
692,-7,-19
693,12,2
694,-21,6
695,17,4
696,-8,-18
697,-20,8
698,1,20
699,-15,-13
700,-21,5
701,-22,6
702,11,-8
703,2,19
704,15,-5
705,-18,-10
706,13,-3
707,9,-10
708,-12,9
709,8,16
710,0,16
711,-21,-6
712,-20,9
713,0,19
714,-14,-15
715,16,-6
716,4,-11
717,2,-9
718,8,17
719,0,-12
720,-21,8
721,-1,18
722,14,-7
723,13,-1
724,16,12
725,5,19
726,1,21
727,10,15
728,-25,-3
729,0,17
730,14,-8
731,-8,-19
732,-4,14
733,4,20
734,-17,-14
735,-19,7
736,16,-7
737,14,-4
738,-14,-14
739,-15,-16
740,3,20
741,11,-9
742,2,21
743,-17,-8
744,17,-7
745,16,14
746,-12,10
747,-16,-16
748,10,-10
749,17,10
750,-3,-18
751,-19,-11
752,-18,10
753,-20,-7
754,-3,-15
755,-23,1
756,-15,-15
757,-24,1
758,-16,-9
759,-23,-4
760,-5,-19
761,-4,15
762,-17,8
763,7,18
764,-18,-13
765,-23,6
766,15,2
767,12,-8
768,17,9
769,-22,5
770,10,-11
771,0,21
772,-24,-1
773,-21,4
774,-9,-18
775,-2,-18
776,12,1
777,15,7
778,15,1
779,-23,-5
780,-22,0
781,-19,-13
782,6,-10
783,-24,2
784,19,3
785,4,21
786,-4,16
787,-26,-4
788,15,0
789,12,16
790,-16,-14
791,-12,11
792,-1,21
793,16,6
794,-24,0
795,-26,-3
796,18,-7
797,15,-8
798,11,-10
799,-25,-1
800,-6,14
801,10,-12
802,18,-8
803,-16,-17
804,-26,-5
805,19,4
806,-5,16
807,-24,6
808,10,-13
809,-18,-9
810,-3,16
811,0,-13
812,4,22
813,11,-11
814,16,0
815,4,-12
816,5,-12
817,9,-13
818,-12,-18
819,-3,-19
820,5,-13
821,-7,13
822,-20,10
823,1,-12
824,8,-12
825,1,22
826,2,22
827,-20,-8
828,-22,-6
829,-25,0
830,-18,-14
831,-1,-16
832,-9,-19
833,19,-7
834,-4,-20
835,5,22
836,-20,-11
837,17,5
838,3,-11
839,-27,-3
840,13,-8
841,-16,-18
842,-20,-13
843,16,2
844,16,15
845,18,5
846,18,6
847,18,7
848,-9,-20
849,15,-1
850,7,-11
851,-10,-20
852,17,0
853,17,12
854,-6,15
855,10,-14
856,-26,0
857,2,23
858,17,13
859,-11,-20
860,-26,-2
861,-23,7
862,10,-15
863,18,10
864,19,6
865,11,-15
866,10,-16
867,-1,19
868,20,-7
869,-11,-19
870,0,20
871,-19,10
872,-1,17
873,8,-13
874,-17,-18
875,11,17
876,-17,10
877,-28,-3
878,12,17
879,2,-12
880,17,7
881,-26,-1
882,-9,10
883,-26,1
884,13,17
885,0,-16
886,-19,-12
887,-2,19
888,-20,11
889,-21,10
890,20,3
891,-9,-21
892,11,-13
893,-24,7
894,-24,3
895,9,-15
896,-24,8
897,12,-15
898,6,22
899,-21,3
900,-19,-14
901,-25,-5
902,12,-14
903,11,-12
904,-9,11
905,16,-5
906,-11,-21
907,-18,11
908,8,-15
909,-9,12
910,-27,-1
911,-23,5
912,16,16
913,18,8
914,-1,-15
915,-3,17
916,-12,12
917,-24,4
918,-7,14
919,16,-1
920,-14,-17
921,-3,-14
922,-6,16
923,-12,13
924,-13,-17
925,-27,-5
926,-3,19
927,12,-13
928,-17,11
929,-16,11
930,4,-13
931,-1,-13
932,19,7
933,-28,-2
934,-22,-7
935,-17,-19
936,-14,-18
937,-25,1
938,-19,-15
939,-19,-10
940,-12,-20
941,18,-9
942,-25,-6
943,-6,17
944,21,3
945,18,9
946,-23,-6
947,7,22
948,0,22
949,13,-15
950,-20,-15
951,13,2
952,14,14
953,-25,7
954,14,-15
955,14,-9
956,15,16
957,19,9
958,-9,13
959,17,-9
960,19,-8
961,-20,12
962,-1,-17
963,-21,-11
964,2,24
965,18,11
966,3,24
967,-22,10
968,14,-14
969,-9,-22
970,21,4
971,0,-17
972,-7,-20
973,13,-9
974,-11,13
975,-8,12
976,-11,11
977,7,-13
978,14,-13
979,-20,-16
980,6,21
981,19,2
982,13,-13
983,-12,-21
984,18,-10
985,20,-8
986,-7,17
987,-20,-14
988,-17,-16
989,-21,-8
990,13,16
991,15,-13
992,-17,-20
993,-10,13
994,3,22
995,-22,7
