number,x,y
1,0,0
2,1,0
3,1,-1
4,0,1
5,1,1
6,2,-1
7,2,1
8,3,-1
9,2,2
10,2,-2
11,3,1
12,-1,0
13,4,-1
14,3,0
15,1,2
16,-1,1
17,4,-2
18,1,-2
19,4,-3
20,5,-1
21,2,3
22,-1,-1
23,3,3
24,-1,2
25,4,1
26,4,0
27,-1,3
28,5,-3
29,0,-2
30,-2,2
31,3,4
32,-2,-1
33,-2,1
34,4,2
35,6,-3
36,-3,1
37,5,0
38,-1,4
39,1,-3
40,-2,4
41,-3,2
42,2,4
43,5,-4
44,-2,5
45,-3,0
46,6,-1
47,-4,2
48,-3,5
49,-1,-2
50,0,3
51,3,-3
52,7,-3
53,3,-4
54,4,-4
55,6,-4
56,2,5
57,-1,5
58,-5,2
59,-4,1
60,8,-3
61,-3,6
62,-4,3
63,6,0
64,8,-4
65,7,0
66,5,-5
67,-4,6
68,5,-6
69,-1,-3
70,1,3
71,7,-2
72,1,4
73,7,-1
74,-3,4
75,6,1
76,9,-4
77,1,-4
78,6,2
79,10,-4
80,8,0
81,8,1
82,-1,-4
83,3,-5
84,9,-5
85,2,6
86,4,3
87,10,-5
88,-5,6
89,-1,-5
90,-4,5
91,-2,-5
92,5,-7
93,0,5
94,5,2
95,-2,-6
96,-2,-3
97,-4,0
98,11,-4
99,-2,-7
100,4,4
101,10,-6
102,5,3
103,-4,-1
104,-2,-4
105,10,-3
106,7,2
107,1,6
108,8,-1
109,-4,-2
110,0,6
111,-4,7
112,-5,-2
113,-4,8
114,3,-6
115,10,-7
116,9,1
117,-5,-3
118,3,6
119,-6,2
120,-1,-6
121,-3,-1
122,0,-3
123,4,6
124,-5,-4
125,-5,8
126,-3,-7
127,4,-7
128,-3,-6
129,5,6
130,-3,-3
131,11,-3
132,12,-4
133,-5,3
134,5,-8
135,9,2
136,-6,3
137,2,7
138,5,7
139,-4,-4
140,-6,4
141,-4,-6
142,9,-7
143,9,-1
144,-1,6
145,9,-8
146,5,-9
147,6,3
148,-5,7
149,11,-5
150,8,-5
151,-6,6
152,6,-8
153,-7,6
154,8,2
155,0,-5
156,9,0
157,10,1
158,5,-10
159,6,-10
160,7,3
161,-1,7
162,4,-8
163,-3,-8
164,10,2
165,-6,-4
166,6,-9
167,7,-8
168,4,5
169,5,8
170,-3,-5
171,12,-5
172,10,0
173,-7,-4
174,7,-7
175,13,-5
176,12,-3
177,10,3
178,-7,3
179,2,-5
180,12,-6
181,-8,6
182,6,7
183,-7,7
184,11,0
185,-9,6
186,7,-10
187,11,2
188,10,4
189,13,-6
190,9,4
191,7,-5
192,14,-5
193,9,-2
194,-5,0
195,9,-6
196,-9,5
197,12,-7
198,11,1
199,-8,3
200,-3,7
201,3,-8
202,8,4
203,6,-11
204,4,8
205,5,5
206,-5,-5
207,12,2
208,-7,5
209,-6,1
210,10,5
211,-7,8
212,11,5
213,-8,8
214,12,-2
215,-7,1
216,6,8
217,7,-11
218,-8,7
219,-8,-4
220,-5,-1
221,-9,3
222,-9,7
223,11,-1
224,3,7
225,8,-10
226,12,0
227,-8,-5
228,-8,-3
229,0,-6
230,10,6
231,11,-7
232,6,-12
233,-3,-9
234,3,8
235,7,8
236,6,9
237,4,-10
238,-10,3
239,6,4
240,-8,9
241,7,9
242,8,9
243,-8,10
244,0,7
245,0,-7
246,1,-7
247,5,-11
248,9,6
249,9,-10
250,11,-8
251,-8,11
252,-3,-10
253,11,6
254,12,3
255,-8,12
256,8,5
257,-9,4
258,-8,-2
259,7,7
260,-4,-7
261,-10,6
262,-9,-5
263,-7,11
264,12,4
265,-8,-6
266,13,4
267,12,6
268,12,7
269,-5,-7
270,-5,-8
271,-8,1
272,8,-8
273,-7,-3
274,12,8
275,3,-10
276,13,-4
277,10,-10
278,11,-10
279,9,7
280,-9,12
281,-8,13
282,9,8
283,-4,-10
284,-11,3
285,-4,-8
286,-6,-7
287,-9,8
288,-9,1
289,13,3
290,12,5
291,14,4
292,2,8
293,14,-6
294,11,-9
295,-9,-6
296,15,-5
297,7,-12
298,-8,0
299,10,7
300,-6,-1
301,-9,10
302,9,-11
303,-9,0
304,-12,3
305,-9,9
306,-10,1
307,-8,-1
308,15,4
309,16,-5
310,4,-11
311,-7,-7
312,16,4
313,-10,4
314,-2,-9
315,-8,14
316,16,3
317,7,-13
318,-10,9
319,-11,6
320,-9,-1
321,5,9
322,12,9
323,13,6
324,13,8
325,13,0
326,-2,6
327,10,-11
328,-10,5
329,-10,-6
330,2,-6
331,-9,-2
332,1,7
333,-7,10
334,9,-12
335,3,9
336,14,5
337,15,3
338,-11,7
339,-3,8
340,5,10
341,13,-3
342,-7,14
343,16,2
344,-11,8
345,6,-13
346,15,5
347,11,9
348,-10,-5
349,-3,9
350,-9,-7
351,12,-10
352,2,-10
353,3,-11
354,-11,2
355,-10,-1
356,17,-5
357,15,-4
358,9,-13
359,-12,7
360,-5,-9
361,7,10
362,-9,-3
363,14,-7
364,13,-1
365,16,1
366,0,8
367,7,11
368,13,9
369,-6,10
370,6,11
371,-3,10
372,-7,12
373,-10,10
374,14,-8
375,-10,-2
376,-6,12
377,-11,-6
378,15,-8
379,-12,4
380,13,-8
381,-7,-8
382,14,-9
383,8,10
384,5,-13
385,15,-9
386,-5,-10
387,2,-11
388,9,10
389,14,-3
390,-9,13
391,-6,8
392,13,-10
393,9,-14
394,5,11
395,2,-12
396,4,-13
397,9,11
398,-5,12
399,16,-4
400,14,8
401,17,-6
402,-11,-1
403,10,-14
404,15,-3
405,7,-14
406,13,7
407,-5,-11
408,14,9
409,15,1
410,10,-15
411,14,0
412,-6,-8
