number,x,y
451,22,1
452,23,2
453,-10,9
454,-19,-2
455,17,6
456,-24,-7
457,-28,-4
458,-5,14
459,-22,-3
460,-17,-13
461,11,-17
462,24,2
463,-29,-4
464,18,-6
465,5,33
466,0,-16
467,21,-3
468,20,-13
469,-27,-5
470,-7,-19
471,-25,-7
472,-6,29
473,0,33
474,19,-5
475,-27,-6
476,-25,-8
477,-10,25
478,-30,-4
479,22,3
480,-7,-20
481,17,7
482,-7,-21
483,-30,-3
484,20,-10
485,-8,-20
486,-9,-15
487,-7,10
488,-30,-2
489,-27,-7
490,3,22
491,21,-11
492,22,4
493,13,-16
494,-9,20
495,-28,-7
496,-8,-17
497,16,7
498,25,2
499,-10,10
500,22,-3
501,-9,-20
502,22,5
503,-31,-2
504,23,4
505,-31,-4
506,0,34
507,22,0
508,6,33
509,-26,-8
510,-7,-22
511,-5,-18
512,-32,-2
513,-31,-5
514,-4,-18
515,3,35
516,-7,28
517,21,-12
518,-9,-21
519,-8,26
520,-1,34
521,-24,-2
522,3,36
523,-30,-5
524,-6,-22
525,-15,0
526,-19,-12
527,18,-13
528,-2,32
529,-33,-2
530,22,-11
531,-32,-1
532,10,-17
533,18,7
534,1,27
535,-6,15
536,-6,-23
537,14,-16
538,14,-17
539,-30,-6
540,-6,-24
541,24,1
542,-30,-1
543,-32,0
544,6,34
545,-8,-22
546,-6,-25
547,23,-3
548,-5,31
549,-31,-6
550,-6,31
551,10,-18
552,-33,-3
553,-34,-2
554,-32,-6
555,-31,-7
556,23,-11
557,-6,32
558,-32,-7
559,-7,-25
560,21,4
561,-10,-15
562,7,34
563,23,-10
564,3,37
565,-32,1
566,-34,-3
567,-7,29
568,24,4
569,5,32
570,24,-11
571,-1,-15
572,-7,32
573,6,21
574,24,-12
575,-18,-13
576,25,-12
577,11,1
578,-7,33
579,4,35
580,6,8
581,-8,-23
582,0,-17
583,-33,-7
584,-8,-25
585,26,-12
586,15,-17
587,5,7
588,-17,2
589,22,6
590,-9,23
591,-31,-8
592,-4,16
593,8,34
594,-31,-9
595,18,-14
596,-22,-10
597,26,2
598,19,-14
599,-6,-26
600,8,33
601,2,36
602,26,-11
603,25,-13
604,4,37
605,27,-11
606,-31,1
607,27,2
608,14,-18
609,10,2
610,-8,-19
611,28,2
612,-10,-16
613,28,-11
614,-7,34
615,-32,2
616,8,32
617,28,3
618,-8,-26
619,7,21
620,4,38
621,21,6
622,24,5
623,0,35
624,-1,35
625,-8,33
626,-5,-26
627,28,4
628,28,-12
629,27,1
630,28,5
631,9,-17
632,-24,-1
633,-9,-25
634,-28,-8
635,5,37
636,24,-3
637,-5,-27
638,-31,2
639,-10,24
640,21,-13
641,-5,-28
642,5,35
643,-17,-14
644,-5,-29
645,29,3
646,-6,34
647,-10,26
648,-9,-24
649,26,-13
650,-30,2
651,0,36
652,-35,-3
653,-7,35
654,-2,35
655,10,-19
656,25,-14
657,-33,2
658,0,37
659,-32,-9
660,-9,19
661,-34,-1
662,26,-14
663,-5,-30
664,29,-12
665,-10,-21
666,26,-15
667,-28,-9
668,29,2
669,-8,18
670,27,0
671,9,33
672,10,-20
673,-18,-14
674,-11,-21
675,5,18
676,-11,26
677,8,35
678,0,38
679,16,-17
680,-6,35
681,24,6
682,-33,3
683,-30,3
684,3,38
685,-1,38
686,28,6
687,-2,38
688,-8,34
689,22,-12
690,-5,-31
691,29,5
692,27,-15
693,27,-14
694,29,-11
695,-10,20
696,4,39
697,-35,-4
698,-11,27
699,-10,-24
700,30,5
701,-9,10
702,29,-13
703,-4,-26
704,-6,-31
705,22,7
706,0,39
707,-16,-13
708,-35,-5
709,-30,4
710,28,-15
711,10,-21
712,-23,-2
713,-4,-30
714,-12,27
715,27,6
716,-31,-10
717,30,-13
718,15,-18
719,-32,-8
720,-34,2
721,-17,3
722,-29,4
723,10,-22
724,11,-22
725,1,39
726,-4,-31
727,-7,36
728,-8,-27
729,-1,39
730,-9,34
731,-13,27
732,19,-15
733,30,6
734,13,4
735,-8,36
736,-1,40
737,31,-13
738,4,40
739,-20,-12
740,11,-20
741,-36,-4
742,27,-16
743,5,39
744,30,2
745,9,35
746,-35,-1
747,-11,-24
748,9,32
749,-7,-31
750,-6,-30
751,-9,18
752,-4,-32
753,-3,-32
754,0,40
755,31,-14
756,-33,-8
757,-2,-32
758,-7,37
759,12,-22
760,32,-13
761,0,41
762,16,8
763,11,-23
764,28,0
765,31,5
766,1,41
767,-7,-32
768,-25,-1
769,-29,5
770,29,0
771,-34,-7
772,10,35
773,10,36
774,15,-19
775,-2,40
776,4,22
777,16,-19
778,28,-1
779,5,40
780,-5,-32
781,16,-20
782,33,-13
783,28,1
784,-6,37
785,-36,-5
786,-9,35
787,23,-9
788,-33,-9
789,9,36
790,-9,-17
791,-17,4
792,-11,28
793,25,6
794,9,-20
795,-12,-24
796,-11,25
797,11,-24
798,-34,3
799,-12,-21
800,-29,6
801,10,37
802,-28,4
803,-31,4
804,2,28
805,-35,3
806,-5,-33
807,-36,-3
808,30,7
809,-4,-17
810,29,7
811,30,3
812,-9,-27
813,29,-1
814,-8,-32
815,-37,-3
816,31,-15
817,-29,7
818,-8,-33
819,32,5
820,2,27
821,-29,-9
822,30,8
823,31,2
824,31,1
825,18,8
826,-13,28
827,10,34
828,-28,7
829,-3,-33
830,-4,-29
831,1,-17
832,-37,-5
833,30,9
834,10,38
835,32,-15
836,-36,3
837,-4,-25
838,31,9
839,-1,41
840,-27,7
841,-37,-2
842,-38,-2
843,21,7
844,28,-10
845,-29,8
846,-3,-34
847,-35,2
848,31,8
849,-2,-34
850,11,-25
851,6,37
852,-1,42
853,-27,8
854,-2,-35
855,30,10
856,-30,-9
857,-39,-2
858,32,4
859,6,38
860,-1,43
861,-8,-34
862,-12,26
863,-40,-2
864,8,21
865,-10,11
866,34,-13
867,9,31
868,33,5
869,5,41
870,-1,-34
871,2,41
872,11,38
873,-4,-34
874,-33,-10
875,-33,-11
876,-38,-3
877,0,-34
878,5,42
879,34,5
880,35,-13
881,-9,36
882,-30,7
883,24,7
884,-36,4
885,-5,-34
886,23,-12
887,5,43
888,34,6
889,10,39
890,30,11
891,-40,-1
892,-18,-15
893,-34,-8
894,-34,-11
895,4,42
896,-41,-1
897,-38,-4
898,-2,41
899,28,-16
900,-8,37
901,-42,-1
902,36,-13
903,11,39
904,-3,-35
905,23,-13
906,35,5
907,10,33
908,-3,-36
909,-12,28
910,-37,4
911,37,-13
912,-33,-12
913,6,19
914,-29,-10
915,6,41
916,-2,-33
917,8,-20
918,11,33
919,-12,25
920,4,43
921,12,-25
922,-35,-11
923,-43,-1
924,-44,-1
925,27,-17
926,1,-34
927,38,-13
928,-32,-12
929,1,-35
930,-45,-1
931,-9,-33
932,39,-13
933,32,-16
934,-1,-35
935,-1,44
936,30,12
937,-43,0
938,27,-18
939,-10,-33
940,-28,8
941,9,21
942,-33,-13
943,-4,-36
944,1,-36
945,-45,-2
946,-2,44
947,25,7
948,2,-36
949,-11,20
950,-3,44
951,-11,21
952,18,9
953,11,40
954,2,-37
955,-8,29
956,-31,7
957,2,-38
958,-14,27
959,-3,-37
960,-9,37
961,5,44
962,-45,0
963,28,-9
964,-36,-11
965,10,31
966,-3,45
967,31,0
968,-4,44
969,27,-19
970,-3,41
971,-13,-24
972,1,-33
973,28,-19
974,-43,-2
975,2,-34
976,12,40
977,-43,-3
978,-36,-12
979,-33,-14
980,11,-26
981,-37,5
982,-38,5
983,34,4
984,-13,-25
985,-37,-12
986,13,40
987,-33,-15
988,-10,37
989,3,-36
990,-34,-15
991,5,45
992,-3,-38
993,26,-17
994,5,46
995,-41,0
996,-9,-34
997,3,-34
998,-40,-3
999,-13,25
1000,-5,-36
1001,29,12
1002,-30,8
1003,27,-20
1004,-34,-13
1005,-10,-32
1006,-38,6
1007,2,-39
1008,-11,-33
1009,-15,27
1010,-19,-14
1011,3,-39
1012,4,-39
1013,14,40
1014,15,40
1015,14,41
1016,-11,-15
1017,-10,18
1018,-36,-13
1019,6,46
1020,6,47
1021,35,-12
1022,-38,4
1023,28,-2
1024,0,-18
1025,-40,-4
1026,11,41
1027,-38,-12
1028,-46,-2
1029,34,7
1030,-14,-24
1031,5,47
1032,36,5
1033,17,-20
1034,-34,-16
1035,4,-40
1036,-26,8
1037,7,41
1038,37,5
1039,-36,-14
1040,16,9
1041,-15,-24
1042,-5,-37
1043,-42,-3
1044,-46,-3
1045,-46,0
1046,-39,5
1047,-3,-39
1048,-32,7
1049,10,30
1050,7,47
1051,-35,-16
1052,32,9
1053,40,-13
1054,0,14
1055,-21,-11
1056,-4,43
1057,9,20
1058,-15,-23
1059,37,6
1060,-28,9
1061,-2,45
1062,-32,-14
1063,5,-40
1064,-39,4
1065,-41,-4
1066,-40,5
1067,-16,27
1068,39,-14
1069,-3,-40
1070,41,-13
1071,32,1
1072,-4,45
1073,-18,4
1074,5,48
1075,-34,-17
1076,6,48
1077,-1,45
1078,37,-12
1079,6,49
1080,11,30
1081,-17,27
1082,-31,-14
1083,-4,46
1084,26,-18
1085,7,49
1086,-43,1
1087,31,-16
1088,4,-36
1089,-5,45
1090,36,-14
1091,7,22
1092,-6,45
1093,-29,-11
1094,4,-41
1095,4,-42
1096,-4,47
1097,-15,26
1098,9,-21
1099,-47,-2
1100,11,34
1101,6,30
1102,42,-13
1103,27,-21
1104,-9,-35
1105,10,-26
1106,-17,26
1107,11,36
1108,-43,2
1109,-5,47
1110,-10,38
1111,4,-43
1112,3,-42
1113,-4,-40
1114,-7,45
1115,-8,-35
1116,-38,7
1117,15,39
1118,41,-12
1119,41,-11
1120,12,33
1121,38,5
1122,6,-40
1123,-17,-15
1124,-37,7
1125,41,-14
1126,-41,5
1127,8,49
1128,-38,-11
1129,7,50
1130,-47,0
1131,-46,-4
1132,27,-22
1133,-48,0
1134,7,51
1135,-43,3
1136,-35,-17
1137,7,52
1138,-14,28
1139,27,-23
1140,28,12
1141,7,-40
1142,-5,48
1143,-48,-1
1144,-47,1
1145,38,4
1146,-11,-34
1147,43,-13
1148,38,6
1149,-8,45
1150,6,51
1151,8,-40
1152,4,-44
1153,-30,-14
1154,10,21
1155,-45,1
1156,-17,25
1157,-37,-14
1158,-6,48
1159,39,5
1160,33,-15
1161,38,7
1162,5,51
1163,-12,-34
1164,-36,7
1165,31,12
1166,43,-14
1167,-39,7
1168,-15,-25
1169,43,-12
1170,6,-39
1171,-48,-2
1172,-18,-16
1173,12,-26
1174,-8,-36
1175,8,-41
1176,-5,-38
1177,32,0
1178,16,39
1179,15,38
1180,-47,-4
1181,40,-11
1182,-16,-24
1183,28,-23
1184,-9,45
1185,-15,-26
1186,-9,-36
1187,27,-24
1188,-3,47
1189,43,-11
1190,-9,33
1191,12,34
1192,-16,28
1193,3,-43
1194,-36,-17
1195,-14,29
1196,-11,37
1197,28,-20
1198,29,-20
1199,-4,-41
1200,9,-41
1201,8,22
1202,-11,36
1203,2,-40
1204,10,40
1205,31,13
1206,8,47
1207,17,39
1208,-6,-36
1209,43,-15
1210,-6,49
1211,-15,-27
1212,-37,8
1213,-11,-35
1214,-49,0
1215,5,-44
1216,32,13
1217,15,37
1218,-13,-21
1219,-16,-26
1220,44,-13
1221,29,13
1222,-36,8
1223,-9,46
1224,-36,-15
1225,7,53
1226,-9,-37
1227,-42,5
1228,44,-11
1229,9,47
1230,-9,47
1231,-8,-37
1232,5,52
1233,-10,46
1234,36,4
1235,38,8
1236,29,-23
1237,-17,24
1238,7,54
1239,-12,37
1240,33,-16
1241,-11,-36
1242,35,-11
1243,6,-38
1244,-13,37
1245,8,48
1246,9,-42
1247,7,55
1248,8,54
1249,-49,-2
1250,12,30
1251,3,-44
1252,-6,50
1253,-10,-37
1254,-13,36
1255,-16,29
1256,8,51
1257,-48,1
1258,-38,-14
1259,-46,-5
1260,-39,-14
1261,-48,-4
1262,-41,6
1263,32,12
1264,8,-39
1265,27,-25
1266,33,13
1267,10,-42
1268,-39,-12
1269,34,13
1270,8,-42
1271,28,-25
1272,-16,30
1273,45,-11
1274,32,-17
1275,43,-16
1276,33,1
1277,42,-16
1278,45,-10
1279,-11,46
1280,7,56
1281,-48,2
1282,38,3
1283,-36,-18
1284,-11,47
1285,-11,35
1286,41,-10
1287,-12,-36
1288,35,6
1289,-16,31
1290,6,56
1291,6,57
1292,-49,-4
1293,32,-18
1294,17,-21
1295,42,-17
1296,10,-41
1297,-11,11
1298,-37,9
1299,9,54
1300,13,30
1301,-12,38
1302,-45,2
1303,-2,-40
1304,5,57
1305,8,-43
1306,10,-40
1307,10,-39
1308,42,-18
1309,39,8
1310,10,-43
1311,10,54
1312,6,53
1313,-46,-6
1314,-41,-5
1315,5,-43
1316,28,-26
1317,14,30
1318,-19,4
1319,13,-25
1320,-15,-28
1321,-33,-17
1322,-5,50
1323,-49,2
1324,44,-10
1325,10,-38
1326,2,-42
1327,-14,36
1328,7,23
1329,-24,-8
1330,45,-13
1331,1,-40
1332,39,9
1333,-40,-14
1334,29,-26
1335,46,-13
1336,-36,-19
1337,29,-27
1338,-37,-18
1339,44,-9
1340,46,-14
1341,-17,-26
1342,-28,10
1343,7,57
1344,-35,-7
1345,4,57
1346,41,-17
1347,10,53
1348,39,3
1349,29,-25
1350,34,14
1351,-17,31
1352,-48,3
