number,x,y
1,0,0
2,-1,0
3,0,-1
4,-2,0
5,1,-1
6,2,-1
7,3,-1
8,-1,-1
9,-3,0
10,-4,0
11,-2,-1
12,-2,-2
13,4,-1
14,0,-2
15,-2,1
16,2,0
17,5,-1
18,-2,-3
19,4,0
20,-4,-1
21,0,-3
22,4,-2
23,-1,-3
24,-1,1
25,-3,-3
26,-4,-2
27,-1,-4
28,0,-4
29,0,-5
30,-1,-5
31,4,-3
32,-3,1
33,6,-1
34,-1,2
35,6,0
36,-1,-6
37,-1,3
38,-1,-7
39,4,-4
40,-2,3
41,-2,-7
42,6,-2
43,-2,-8
44,-2,-9
45,6,-3
46,6,-4
47,-1,4
48,0,1
49,-5,0
50,7,-2
51,7,0
52,-5,-2
53,7,-3
54,-1,-8
55,8,-3
56,-2,-10
57,8,-4
58,-1,5
59,9,-4
60,-3,-10
61,9,-5
62,4,1
63,3,0
64,-3,3
65,-5,1
66,-5,2
67,1,-5
68,-2,4
69,-4,-10
70,10,-4
71,8,0
72,-6,0
73,-4,-11
74,10,-3
75,-5,-11
76,10,-2
77,-3,-4
78,2,-5
79,1,-6
80,6,1
81,-5,-12
82,2,1
83,7,1
84,-1,6
85,-5,-13
86,0,-8
87,-5,-3
88,9,-6
89,-5,3
90,9,-7
91,-1,-9
92,9,-8
93,9,0
94,-2,6
95,10,-8
96,9,-9
97,-6,3
98,-1,7
99,11,-4
100,10,0
101,-5,-14
102,-4,-14
103,-6,-3
104,11,0
105,-7,3
106,-7,4
107,-8,4
108,-7,-3
109,10,-7
110,-6,-11
111,-6,-14
112,-8,-3
113,0,-9
114,-7,-14
115,9,1
116,8,-8
117,11,-8
118,0,5
119,10,1
120,11,-5
121,-3,6
122,-6,1
123,-1,-10
124,-7,-11
125,2,-6
126,-9,-3
127,-4,-15
128,10,-1
129,0,-10
130,-8,5
131,-5,-15
132,1,-7
133,0,-11
134,-3,-7
135,0,-12
136,5,1
137,-7,-15
138,-9,5
139,-9,-4
140,-10,5
141,11,-2
142,-10,-4
143,-10,6
144,-3,7
145,1,-9
146,-9,-2
147,-11,5
148,-8,-15
149,6,2
150,-4,-16
151,-3,-16
152,12,-8
153,-12,5
154,1,-11
155,-2,-16
156,3,1
157,13,-8
158,-3,8
159,-4,-7
160,-1,-16
161,-9,4
162,-1,-15
163,10,2
164,0,-15
165,8,1
166,-1,-17
167,-9,-5
168,-12,6
169,-10,-5
170,-4,-17
171,13,-9
172,0,7
173,9,-10
174,6,3
175,-10,-2
176,-10,7
177,7,3
178,-10,-6
179,-4,7
180,3,-6
181,-12,4
182,-11,7
183,-3,9
184,12,0
185,-4,9
186,-2,8
187,9,-11
188,10,3
189,8,3
190,13,0
191,10,4
192,-1,-18
193,5,3
194,13,1
195,0,8
196,8,-9
197,-8,-14
198,9,4
199,8,4
200,9,-12
201,11,2
202,1,7
203,1,8
204,0,-14
205,-7,-16
206,-5,-17
207,13,-7
208,11,4
209,-11,-2
210,12,4
211,-8,-11
212,12,-9
213,-5,-18
214,-11,4
215,-5,-19
216,12,2
217,-11,-6
218,-12,-2
219,-4,10
220,-11,-1
221,3,-7
222,12,-4
223,-13,4
224,-9,-15
225,-8,-13
226,2,8
227,-3,10
228,-14,4
229,-10,-3
230,-13,-2
231,10,-10
232,-3,11
233,-5,9
234,0,-17
235,-6,-18
236,14,-9
237,10,-12
238,-7,5
239,-10,8
240,14,-7
241,12,3
242,-2,11
243,-6,-19
244,11,-12
245,-4,11
246,11,-13
247,13,-6
248,-4,-19
249,-9,8
250,2,9
251,-12,-1
252,-2,-18
253,-5,-20
254,-13,6
255,13,4
256,-14,-2
257,-6,9
258,1,9
259,11,-14
260,13,-10
261,-15,-2
262,-1,11
263,-6,-20
264,0,11
265,1,11
266,-14,5
267,10,-11
268,-16,-2
269,12,5
270,3,8
271,-1,-19
272,-10,9
273,10,-14
274,10,-15
275,-5,11
276,1,10
277,-4,12
278,-7,-19
279,4,8
280,-9,-14
281,15,-9
282,11,-11
283,-4,-20
284,10,5
285,13,-11
286,-17,-2
287,1,-15
288,1,-10
289,11,-10
290,13,5
291,16,-9
292,-3,12
293,-9,-11
294,16,-10
295,4,9
296,-8,-16
297,-11,9
298,13,-4
299,-17,-3
300,-1,-20
301,11,-6
302,-13,-3
303,13,2
304,17,-10
305,14,0
306,10,-16
307,-2,12
308,-7,-20
309,14,-4
310,14,5
311,-8,-19
312,-18,-2
313,-10,-15
314,-6,10
315,15,-4
316,-19,-2
317,16,-11
318,16,-4
319,-8,-20
320,4,7
321,14,1
322,-18,-3
323,17,-4
324,14,-6
325,11,-16
326,15,5
327,-3,13
328,-10,-16
329,14,-10
330,-14,6
331,1,-17
332,-3,14
333,-11,-15
334,-12,9
335,14,-11
336,18,-4
337,-12,8
338,-2,-20
339,-14,-3
340,-13,8
341,-14,-1
342,-20,-2
343,15,-11
344,11,-15
345,-4,-21
346,-3,-21
347,-8,-18
348,-12,10
349,-8,-21
350,-14,-4
351,14,6
352,16,-12
353,14,2
354,17,-9
355,15,4
356,0,-20
357,-9,-21
358,-2,-21
359,-1,12
360,15,-3
361,13,6
362,18,-10
363,-8,-22
364,-12,11
365,-8,-23
366,4,10
367,18,-3
368,-11,10
369,-20,-3
370,0,-16
371,14,7
372,-12,12
373,-10,-21
374,16,4
375,-17,-1
376,-15,4
377,-14,8
378,16,-13
379,16,-14
380,-1,13
381,-15,6
382,17,-13
383,-11,-21
384,-10,10
385,9,-16
386,-8,-24
387,-15,8
388,-12,-15
389,-11,-22
390,-21,-3
391,19,-3
392,15,-7
393,-1,14
394,-12,-14
395,-12,13
