number,x,y
1,0,0
2,-1,0
3,1,0
4,-2,0
5,1,1
6,2,1
7,3,1
8,-2,1
9,4,1
10,0,-1
11,-2,2
12,1,-1
13,-3,2
14,2,-1
15,2,-2
16,0,-2
17,5,1
18,-3,3
19,4,0
20,0,-3
21,5,2
22,-4,2
23,-3,4
24,-2,3
25,-4,4
26,6,2
27,0,-4
28,7,2
29,7,3
30,-1,-4
31,-2,-4
32,4,2
33,-2,-5
34,0,-5
35,0,-6
36,1,2
37,0,-7
38,0,2
39,8,3
40,1,-7
41,1,-8
42,7,4
43,-1,3
44,8,2
45,2,-8
46,7,5
47,-3,-5
48,2,2
49,0,-8
50,9,3
51,-2,4
52,2,-9
53,-2,-3
54,9,2
55,-5,4
56,-4,5
57,2,-10
58,7,6
59,7,1
60,-5,2
61,8,6
62,-4,6
63,9,1
64,-5,1
65,-5,5
66,3,-10
67,4,-10
68,4,-1
69,-4,-5
70,5,-10
71,-4,7
72,-4,-6
73,-5,7
74,5,-11
75,-5,3
76,6,6
77,9,6
78,-6,5
79,10,2
80,5,-12
81,8,7
82,-6,6
83,-3,-4
84,-6,7
85,6,-11
86,-6,1
87,10,1
88,8,8
89,10,6
90,-7,7
91,11,6
92,11,1
93,-8,7
94,1,-9
95,11,0
96,7,8
97,12,6
98,5,-13
99,11,7
100,6,-13
101,-5,-6
102,7,-13
103,0,-9
104,1,-10
105,7,-14
106,4,3
107,-4,-4
108,-1,-9
109,-5,-4
110,-5,0
111,4,-13
112,6,-14
113,-9,7
114,12,0
115,3,-8
116,8,-13
117,9,-13
118,8,9
119,-7,8
120,3,3
121,-5,8
122,-5,-7
123,10,-13
124,11,-13
125,8,10
126,10,-14
127,12,-13
128,11,2
129,13,0
130,7,-15
131,-7,1
132,8,11
133,12,7
134,11,-14
135,13,-13
136,9,-14
137,8,12
138,6,-15
139,-9,8
140,4,-14
141,9,11
142,-10,7
143,-1,-10
144,12,8
145,-9,9
146,-10,6
147,3,-14
148,7,12
149,13,-1
150,13,7
151,-10,5
152,13,1
153,5,-15
154,10,-15
155,9,12
156,-2,-10
157,7,-16
158,12,9
159,7,11
160,-5,-8
161,-9,10
162,-10,10
163,-10,11
164,3,-11
165,-10,4
166,8,13
167,13,-12
168,-11,7
169,10,-16
170,-7,9
171,14,7
172,7,-17
173,14,6
174,14,-12
175,11,-1
176,10,-17
177,-11,10
178,14,-1
179,7,13
180,10,-18
181,12,-14
182,14,-11
183,-2,-11
184,2,-14
185,-10,12
186,6,13
187,-12,7
188,15,6
189,5,-16
190,11,-16
191,1,-11
192,8,14
193,13,9
194,6,14
195,12,-15
196,5,-17
197,10,-19
198,-11,9
199,-12,8
200,16,6
201,8,15
202,-11,4
203,9,15
204,-12,9
205,-2,-12
206,10,15
207,7,-11
208,14,9
209,9,-19
210,14,10
211,11,15
212,14,-13
213,7,-10
214,-10,13
215,-12,4
216,-6,2
217,11,-18
218,-13,4
219,-6,-4
220,13,2
221,5,13
222,11,14
223,10,-20
224,12,15
225,-9,13
226,13,-15
227,-4,8
228,-6,-8
229,5,-18
230,11,-20
231,15,-11
232,5,14
233,5,15
234,11,16
235,-13,9
236,-11,13
237,14,1
238,4,13
239,4,-18
240,-12,13
241,-13,10
242,10,-21
243,-6,-6
244,15,-13
245,-7,10
246,16,-11
247,16,7
248,8,1
249,8,-17
250,16,8
251,17,8
252,-13,11
253,7,14
254,-14,10
255,-11,14
256,-3,-11
257,10,-22
258,-11,15
259,-12,14
260,-12,3
261,3,4
262,12,-20
263,4,-15
264,11,-22
265,11,17
266,13,15
267,7,10
268,14,-14
269,-7,-8
270,16,9
271,-9,14
272,7,7
273,-5,-9
274,13,16
275,18,8
276,-13,14
277,-11,16
278,-8,14
279,-12,12
280,-14,11
281,9,16
282,-5,-1
283,12,-22
284,-8,-8
285,-8,-9
286,-9,4
287,14,-10
288,16,-13
289,4,15
290,-11,17
291,9,-22
292,3,13
293,-3,-12
294,8,16
295,-8,15
296,13,-20
297,-9,-8
298,13,-19
299,14,-20
300,10,-23
301,-8,-10
302,13,-21
303,-15,10
304,8,-18
305,10,17
306,-13,7
307,13,-22
308,16,-12
309,15,1
310,13,3
311,17,6
312,13,-23
313,-3,-13
314,11,18
315,-12,2
316,9,-23
317,16,1
318,10,-24
319,17,1
320,16,-14
321,14,16
322,13,-24
323,-11,18
324,14,15
325,17,-11
326,14,-24
327,17,2
328,-10,18
329,13,-18
330,12,10
331,-12,6
332,-10,19
333,16,0
334,-14,4
335,-16,10
336,8,-22
337,-15,4
338,14,-2
339,15,15
340,4,-12
341,13,17
342,-10,20
343,18,9
344,12,-24
345,-14,14
346,-14,13
347,-5,-10
348,10,-25
349,15,-24
350,-16,11
351,9,-25
352,16,-24
353,17,-10
354,-12,1
355,8,17
356,-7,-7
357,16,15
358,17,-9
359,13,-17
360,-12,18
361,-16,4
362,10,18
363,-15,9
364,-17,10
365,14,17
366,8,-25
367,11,19
368,12,-25
369,-14,12
370,-16,3
371,10,-26
372,-17,3
373,-11,20
374,-18,3
375,16,14
376,9,-24
377,14,-22
378,18,2
379,-3,-14
380,-5,-11
381,15,-2
382,10,-27
383,17,3
384,11,20
385,-17,9
386,11,21
387,-9,12
388,-10,21
389,17,-14
390,11,22
391,18,-9
392,16,-1
393,-15,14
394,-12,0
395,-18,10
396,-9,21
397,-12,20
398,-9,-7
399,18,1
400,16,-23
401,12,-26
402,3,-18
403,10,21
404,-12,17
405,-5,-12
406,-18,2
407,7,-25
408,16,-15
409,17,-24
410,-19,10
411,12,22
412,7,-22
413,-12,21
414,-18,1
415,19,9
416,18,10
417,10,-28
