number,x,y
1,0,0
2,0,-1
3,-1,-1
4,-1,-2
5,1,-1
6,-1,-3
7,2,-1
8,-1,0
9,0,-3
10,1,0
11,2,0
12,2,-2
13,-1,1
14,-2,-3
15,-1,-4
16,-1,-5
17,-2,0
18,-1,2
19,-3,0
20,-2,-4
21,-1,3
22,-1,-6
23,-4,0
24,-2,-2
25,2,-3
26,0,-4
27,1,-4
28,-2,-6
29,-5,0
30,-1,-7
31,2,-4
32,-3,-4
33,0,3
34,-4,1
35,1,3
36,3,-3
37,2,3
38,0,4
39,-4,-4
40,-2,-7
41,-6,0
42,-4,-3
43,1,-5
44,2,-5
45,2,4
46,-5,-4
47,2,2
48,2,-6
49,3,3
50,0,-6
51,3,-6
52,3,-4
53,3,-2
54,4,-4
55,5,-4
56,3,-7
57,0,5
58,-4,-5
59,-3,-7
60,3,-8
61,4,-8
62,-1,-8
63,3,4
64,-2,3
65,-4,-7
66,5,-8
67,5,-9
68,5,-7
69,-6,1
70,5,-10
71,0,6
72,-5,-7
73,-6,-4
74,5,-3
75,-6,-5
76,4,4
77,1,5
78,3,0
79,-2,1
80,5,-11
81,5,4
82,-6,2
83,4,0
84,-7,-4
85,5,-5
86,3,-9
87,6,4
88,-5,1
89,6,-8
90,-6,3
91,-5,-8
92,-6,4
93,7,4
94,-6,-7
95,7,5
96,7,6
97,-7,-7
98,-5,-9
99,-8,-7
100,5,-12
101,4,-10
102,5,-13
103,-7,-6
104,3,2
105,6,-10
106,6,-3
107,1,6
108,-6,-9
109,4,1
110,5,-14
111,4,-14
112,-8,-4
113,-7,3
114,4,5
115,5,1
116,-8,-8
117,7,-3
118,7,7
119,-8,-9
120,5,-15
121,6,-15
122,8,-3
123,0,7
124,-3,3
125,7,-10
126,4,-12
127,-9,-4
128,-10,-4
129,-9,-3
130,0,-7
131,2,6
132,-9,-2
133,7,-15
134,6,-4
135,-7,4
136,5,0
137,8,7
138,-2,4
139,-8,-10
140,-10,-5
141,5,5
142,7,-11
143,4,-1
144,7,-16
145,1,-6
146,-11,-4
147,7,-12
148,-6,-10
149,-8,4
150,7,-17
151,7,-13
152,8,4
153,1,7
154,8,-13
155,8,-16
156,8,-12
157,-11,-5
158,-12,-4
159,-13,-4
160,9,-16
161,9,-12
162,5,6
163,6,0
164,5,-16
165,10,-16
166,9,7
167,9,-17
168,-9,-9
169,9,4
170,7,-18
171,-7,0
172,-6,-11
173,-13,-3
174,6,-18
175,7,-9
176,6,-19
177,9,-11
178,3,-12
179,8,-9
180,0,8
181,-1,8
182,-14,-4
183,-15,-4
184,10,-12
185,6,6
186,-9,-1
187,-8,5
188,5,-18
189,3,6
190,9,-9
191,4,-18
192,5,7
193,8,-14
194,11,-16
195,-7,1
196,10,-9
197,6,7
198,4,-16
199,9,8
200,6,-20
201,9,6
202,-4,3
203,10,8
204,-15,-3
205,0,9
206,9,-18
207,-13,-5
208,9,-14
209,-2,8
210,-8,6
211,-9,-7
212,-5,-10
213,-15,-5
214,5,8
215,11,-15
216,7,-20
217,7,-19
218,-2,5
219,-5,4
220,11,-12
221,3,-14
222,-13,-6
223,6,-1
224,11,-9
225,3,-15
226,11,8
227,8,3
228,5,-20
229,-7,-11
230,-16,-4
231,12,-9
232,4,6
233,-11,-3
234,-5,5
235,-10,-1
236,-11,-6
237,10,7
238,-13,-7
239,-9,6
240,13,-9
241,0,10
242,13,-10
243,13,-11
244,10,9
245,5,9
246,4,-20
247,3,-18
248,14,-10
249,14,-9
250,15,-10
251,7,-21
252,-10,6
253,12,-16
254,15,-11
255,9,-19
256,-9,4
257,4,9
258,6,-21
259,10,-18
260,3,9
261,-7,-12
262,16,-11
263,-8,-12
264,10,4
265,-16,-3
266,-15,-6
267,12,8
268,11,7
269,5,-21
270,3,-19
271,16,-10
272,-15,-7
273,4,10
274,1,8
275,-15,-2
276,12,9
277,13,-16
278,-16,-7
279,9,9
280,-13,-8
281,-9,7
282,-7,6
283,-14,-8
284,-11,-2
285,13,9
286,-17,-7
287,5,-22
288,13,-17
289,-9,8
290,16,-9
291,12,10
292,4,-22
293,16,-12
294,-8,-11
295,-8,-13
296,-16,-6
297,7,-4
298,0,-8
299,-12,-8
300,11,-18
301,-3,8
302,4,-23
303,-2,9
304,-17,-8
305,13,8
306,4,11
307,-9,9
308,3,-22
309,-8,-14
310,14,-16
311,-11,6
312,17,-12
313,17,-9
314,3,-21
315,5,11
316,-16,-2
317,8,2
318,17,-13
319,-7,-13
320,2,-22
321,12,-18
322,12,11
323,7,-8
324,-11,7
325,14,8
326,5,10
327,13,11
328,18,-9
329,18,-12
330,0,-9
331,15,8
332,-2,10
333,1,10
334,1,11
335,-11,8
336,1,-22
337,-9,10
338,-10,-7
339,12,-19
340,-13,-2
341,8,-21
342,-10,9
343,-8,9
344,10,-19
345,1,-21
346,-10,10
347,-12,-2
348,-9,-14
349,-16,-1
350,-17,-2
351,9,-21
352,13,7
353,5,-23
354,14,11
355,10,-21
356,18,-13
357,-12,7
358,4,-24
359,11,-19
360,-11,10
361,12,-20
362,16,8
363,-11,11
364,-11,12
365,13,-18
366,19,-9
367,1,12
368,-1,10
369,-12,11
370,16,9
371,-10,11
372,10,5
373,5,-24
374,-17,-4
375,-12,8
376,6,-23
377,13,12
378,-13,8
379,15,-16
380,17,9
381,9,10
382,17,-14
383,8,-22
384,3,-24
385,-8,7
386,9,-22
387,-12,6
388,-9,0
389,17,10
390,-9,-15
391,19,-10
392,3,-25
393,17,8
394,20,-10
395,13,-19
396,18,9
397,-11,13
398,-10,13
399,16,-16
400,-10,14
401,16,7
402,2,-23
403,12,12
404,-18,-4
405,-13,11
406,20,-9
407,16,-17
408,1,-20
409,-2,11
410,-7,-14
411,2,-18
412,19,9
413,12,-21
414,17,11
415,1,-19
416,13,13
417,-11,14
418,-9,14
419,10,3
420,-18,-5
421,16,11
422,-9,-11
423,14,-15
424,9,11
425,-15,-8
426,14,-19
427,-8,3
428,-12,13
429,-17,-6
430,12,-22
431,-13,6
432,0,-22
433,19,-12
434,-14,8
435,20,9
436,18,-8
437,17,7
438,6,10
439,-8,14
440,-14,9
441,19,-13
442,13,-21
443,-15,9
444,-19,-5
445,14,13
446,-20,-5
447,21,9
448,-16,9
449,12,-23
450,2,-12
451,15,-19
452,20,-12
453,12,-24
454,6,-24
455,21,-10
456,22,9
457,22,10
458,-20,-6
459,-17,-9
460,17,12
461,9,12
462,6,-25
463,14,-18
464,0,-23
465,3,-26
466,20,-11
467,-14,11
468,-8,15
469,-16,-9
470,19,8
471,18,-14
472,16,-15
473,0,-24
474,17,-15
475,2,-26
476,-1,11
477,0,-25
478,6,11
479,12,-25
480,-9,-16
481,22,8
482,18,12
483,-9,-17
484,12,-26
485,-20,-4
486,14,14
487,-15,8
488,17,-17
489,22,-10
490,22,11
491,14,-21
492,-10,-14
493,18,11
494,1,13
495,23,11
496,-11,15
497,-7,14
498,-17,9
499,6,-26
500,-20,-3
501,-10,-17
502,21,11
503,-1,-22
504,20,-13
505,23,12
506,-17,8
507,-21,-3
508,20,10
509,13,-26
510,0,-21
511,-17,-10
512,2,13
513,11,12
514,20,-8
515,-12,15
516,23,13
517,24,11
518,8,12
519,18,-17
520,4,-26
521,-21,-5
522,3,-27
523,-21,-2
524,-13,13
525,-18,-6
526,-22,-3
527,22,7
528,15,-21
529,-13,15
530,23,7
531,3,11
532,3,-28
533,-18,9
534,-16,0
535,23,9
536,4,-28
537,22,-11
538,1,14
539,-10,15
540,1,-26
541,-23,-3
542,24,10
543,-18,-3
544,24,13
545,-2,12
546,-24,-3
547,12,13
548,-10,-18
549,-7,-15
550,-20,-7
551,-18,-8
552,-22,-4
553,-15,11
554,-23,-4
555,-17,10
556,-21,-7
557,25,11
558,-12,-9
559,12,14
560,-9,-18
561,-17,-11
562,17,13
563,23,-10
564,22,-12
565,-10,-13
566,18,-18
567,-8,16
568,-7,16
569,-13,-9
570,-18,8
571,25,13
572,-16,-10
573,-23,-2
574,-11,-14
575,1,15
576,-20,-8
577,13,-8
578,-16,-11
579,20,-7
580,-24,-4
581,21,7
582,9,13
583,-23,-5
584,-11,-18
585,-15,12
586,-25,-4
587,4,-29
588,-14,15
589,-8,-18
590,14,-20
591,13,-23
592,16,13
593,23,14
594,-22,-7
595,-19,9
596,23,-9
597,12,-27
598,25,14
599,-14,14
600,15,-22
601,-14,16
602,-23,-1
603,-15,16
604,-11,16
605,18,-19
606,23,15
607,-3,12
608,11,-27
609,14,-26
610,23,6
611,14,-25
612,24,15
613,-12,-18
614,-11,-17
615,0,-26
616,26,14
617,-15,13
618,22,13
619,0,-27
620,2,-28
621,2,-29
622,20,-14
623,0,-28
624,17,-16
625,23,16
626,3,-16
627,-14,17
628,-18,10
629,10,-27
630,-1,-28
631,-14,18
632,-13,18
633,-13,-18
634,4,-30
635,4,-31
636,-19,8
637,21,-14
638,22,15
639,19,-18
640,24,-9
641,-16,12
642,-22,-8
643,-20,8
644,-7,-18
645,-10,-8
646,20,-15
647,-23,0
648,24,9
649,-15,15
650,-7,13
651,10,-28
652,-21,8
653,25,15
654,-16,16
655,7,-25
656,1,16
657,15,14
658,-12,-14
659,-21,9
660,9,-3
661,2,-30
662,2,-31
663,9,14
664,-21,-1
665,15,-26
666,-16,15
667,22,16
668,23,5
669,23,-12
670,23,17
671,-1,-29
672,12,-28
673,25,9
674,2,15
675,25,-9
676,25,16
677,-15,18
678,11,3
679,13,-24
680,15,15
681,-1,-25
682,-22,-9
683,3,15
684,12,-29
685,-7,17
686,26,13
687,4,12
688,2,-32
689,26,15
690,26,-9
691,27,15
692,24,-10
693,-23,1
694,-25,-3
695,23,4
696,26,-10
697,14,15
698,-16,14
699,1,-31
700,-16,-12
701,-16,17
702,26,12
703,24,16
704,-22,9
705,-14,-18
706,-2,-25
707,24,6
708,-14,19
709,27,-10
710,5,-31
711,-7,18
712,27,13
713,22,-14
714,16,-21
715,-1,-30
716,25,6
717,24,-12
718,-18,-11
719,1,-32
720,21,15
721,-17,17
722,-18,11
723,-26,-4
724,-9,-19
725,3,-32
726,1,17
727,22,17
728,-2,-28
729,18,-20
730,-18,17
731,-2,-27
732,-18,-12
733,-13,-14
734,14,16
735,0,-31
736,-21,-8
737,16,15
738,-2,-30
739,19,-20
740,-23,9
741,20,15
742,-3,-30
743,13,-27
744,16,-26
745,28,13
746,26,6
747,14,17
748,26,9
749,-12,18
750,-23,-6
751,17,-26
752,26,10
753,-24,0
754,21,17
755,-14,-19
756,10,-3
757,23,-14
758,16,-27
759,-17,18
760,27,6
761,21,13
762,24,-14
763,-25,0
764,-15,-18
765,-22,-10
766,20,16
767,20,-20
768,20,-19
769,-2,-26
770,20,-21
771,-27,-4
772,26,5
773,-8,18
774,-11,18
775,13,16
776,-11,17
777,3,-33
778,15,16
779,-10,18
780,1,-33
781,-28,-4
782,17,-27
783,1,-34
784,-3,-31
785,21,-7
786,-15,19
787,15,-18
788,11,-3
789,0,-34
790,-12,-19
791,-4,-31
792,11,-29
793,-28,-3
794,-25,-2
795,6,-31
796,13,-29
797,14,-29
798,-26,0
799,28,15
800,19,16
801,4,-33
802,28,12
803,14,-30
804,26,-8
805,21,18
806,4,-34
807,-13,19
808,23,18
809,-6,17
810,5,-34
811,5,-35
812,-3,-32
813,28,16
814,-19,17
815,-1,-34
816,2,16
817,24,18
818,-26,1
819,20,-22
820,26,-7
821,19,-22
822,3,13
823,-5,17
824,-29,-3
825,-5,-31
826,-14,-20
827,-6,-18
828,20,-23
829,-12,-17
830,-28,-5
831,-19,16
832,-13,-19
833,18,-27
834,24,19
835,-24,9
836,11,-30
837,28,17
838,6,-32
839,-19,11
840,17,15
841,28,18
842,-3,-33
843,-24,10
844,-29,-5
845,-5,-30
846,3,-34
847,-30,-5
848,-16,-13
849,-15,-19
850,19,7
851,15,17
852,-21,-9
853,27,9
854,15,-30
855,14,-22
856,-22,10
857,-13,20
858,25,17
859,3,16
860,-18,18
861,3,17
862,-18,-10
863,0,15
864,-16,-19
865,-13,21
866,-20,11
867,-12,20
868,29,13
869,-10,19
870,-23,-10
871,-31,-5
872,-12,21
873,-4,-32
874,19,-27
875,29,16
876,6,-34
877,26,17
878,15,18
879,19,17
880,22,18
881,-18,19
882,-7,-19
883,20,18
884,-30,-3
885,16,18
886,19,-26
887,-20,10
888,30,16
889,-5,18
890,0,-35
891,-6,-31
892,30,17
893,5,-36
894,-28,-6
895,0,17
896,19,-28
897,12,15
898,16,-30
899,31,16
900,20,-26
901,-23,-11
902,-19,18
903,-19,19
904,-31,-4
905,27,8
906,23,19
907,-11,21
908,28,9
909,-25,10
910,-30,-6
911,-17,12
912,-16,-14
913,29,14
914,-24,-10
915,-25,11
916,-23,-12
917,17,18
918,-23,8
919,24,7
920,7,-34
921,-15,-20
922,-26,10
923,17,-25
924,-7,19
925,21,-21
926,-19,20
927,20,19
928,-28,-2
929,21,-23
930,27,5
931,4,-36
932,-25,-10
933,27,-8
934,-23,-8
935,19,-29
936,27,-9
937,18,18
938,-12,22
939,27,18
940,28,-10
941,27,-7
942,-11,22
943,0,-33
944,-12,23
945,30,18
946,-31,-6
947,-11,19
948,-25,-5
949,0,18
950,20,-29
951,28,-11
952,21,-26
953,-24,8
954,7,-35
955,-32,-5
956,-3,-34
957,-19,15
958,-20,17
959,22,19
960,25,18
961,-32,-6
962,29,12
963,28,-9
964,-7,-31
965,-26,-10
966,-31,-7
967,-10,22
968,-12,-20
969,-22,11
970,21,-25
971,10,13
972,7,-36
973,26,-11
974,-4,18
975,24,4
976,-11,23
977,-4,-33
978,22,20
979,-20,20
980,-24,-12
981,-32,-7
982,-21,17
983,23,3
984,29,9
985,-30,-2
986,-7,-32
987,5,-33
988,23,2
989,-21,20
990,-23,-13
991,28,10
992,-21,16
993,-22,16
994,21,-15
995,-7,20
996,8,-36
997,0,-36
998,-8,-32
999,-2,-33
1000,22,-21
1001,27,-6
1002,-5,-33
1003,0,-37
