number,x,y
1,0,0
2,0,-1
3,0,-2
4,-1,-2
5,1,0
6,-2,-2
7,-3,-2
8,1,1
9,1,-2
10,1,2
11,0,2
12,-2,-3
13,1,-1
14,0,-3
15,-1,2
16,-2,2
17,1,3
18,-2,-4
19,2,-1
20,-2,-5
21,-4,-2
22,2,0
23,-1,-5
24,-5,-2
25,-1,-6
26,-3,-5
27,-2,-6
28,3,0
29,0,-5
30,-2,3
31,-3,-6
32,1,4
33,-3,2
34,-6,-2
35,-6,-3
36,3,-1
37,-1,3
38,2,4
39,-4,-6
40,-7,-3
41,4,-1
42,-2,-7
43,-3,3
44,-4,2
45,-2,-8
46,-7,-2
47,-4,-7
48,4,0
49,-4,-8
50,-5,-8
51,-4,3
52,-7,-4
53,4,1
54,-1,-8
55,-6,-8
56,-5,3
57,-7,-5
58,0,-6
59,0,-7
60,0,-8
61,-2,-9
62,-4,-9
63,0,-9
64,-4,-10
65,-7,-8
66,-8,-4
67,-1,4
68,4,-2
69,5,1
70,6,1
71,-2,-10
72,2,5
73,6,2
74,-4,4
75,1,-9
76,2,-9
77,-7,-1
78,-5,4
79,-7,0
80,-1,-10
81,-8,-8
82,7,2
83,2,-10
84,-7,1
85,2,6
86,7,3
87,-1,-11
88,8,3
89,-8,-1
90,-7,-9
91,6,0
92,-8,-9
93,9,3
94,2,-11
95,-4,-11
96,-8,1
97,2,7
98,-9,-8
99,2,8
100,-9,-4
101,3,-9
102,-10,-4
103,3,8
104,-10,-8
105,-4,-12
106,4,8
107,4,9
108,-11,-4
109,1,7
110,-4,-13
111,7,0
112,-1,-12
113,10,3
114,-7,2
115,3,-11
116,-1,-13
117,-4,5
118,-7,-6
119,3,-12
120,4,-12
121,-4,-14
122,3,9
123,10,2
124,2,-12
125,-9,-9
126,11,2
127,2,9
128,2,10
129,4,10
130,-4,-15
131,1,10
132,2,-13
133,-1,-14
134,-10,-9
135,2,-14
136,12,2
137,3,-14
138,13,2
139,-6,4
140,13,3
141,4,7
142,-5,-15
143,-12,-4
144,14,3
145,-12,-3
146,-13,-4
147,-6,5
148,1,-14
149,5,7
150,4,11
151,-6,-15
152,-4,6
153,-7,-15
154,0,-4
155,-10,-10
156,3,-15
157,-6,6
158,-8,-15
159,14,4
160,-9,-10
161,-14,-4
162,-4,-16
163,15,4
164,-15,-4
165,-11,-9
166,4,-9
167,-11,-10
168,-9,-15
169,-4,7
170,-15,-3
171,-9,-16
172,3,-16
173,-4,8
174,4,12
175,5,12
176,-16,-4
177,4,-13
178,3,12
179,4,13
180,6,12
181,-6,7
182,4,14
183,-16,-5
184,4,-3
185,5,-9
186,13,4
187,4,-15
188,5,-12
189,-6,8
190,-4,-17
191,15,3
192,-17,-5
193,16,3
194,17,3
195,5,14
196,-5,-17
197,-18,-5
198,-16,-3
199,7,12
200,17,2
201,-6,9
202,8,12
203,14,2
204,18,3
205,12,4
206,4,-16
207,-18,-6
208,-6,10
209,15,5
210,-7,8
211,-5,-18
212,-6,-18
213,-10,-15
214,8,13
215,4,15
216,-18,-7
217,4,16
218,19,3
219,-11,-15
220,20,3
221,16,5
222,6,-12
223,-11,-11
224,-10,-16
225,4,17
226,3,13
227,4,18
228,6,-9
229,16,6
230,-17,-3
231,-5,-19
232,-4,-19
233,-3,-19
234,6,-8
235,-17,-2
236,-4,-20
237,-17,-7
238,2,13
239,16,7
240,-10,-17
241,-11,-8
242,-3,-20
243,9,13
244,3,18
245,17,1
246,-11,-16
247,-18,-2
248,-3,-21
249,-3,-22
250,17,0
251,-8,8
252,20,2
253,-3,-23
254,-10,-18
255,-2,-23
256,-11,-18
257,-3,-24
258,-3,-25
259,18,0
260,7,4
261,-1,-15
262,-7,10
263,-9,8
264,-2,-25
265,-19,-5
266,16,8
267,-12,-9
268,7,-9
269,18,-1
270,18,4
271,5,-16
272,-18,-8
273,8,-9
274,19,0
275,2,18
276,-19,-6
277,21,3
278,21,2
279,6,-13
280,22,3
281,-12,-15
282,-9,9
283,-7,11
284,-10,9
285,-19,-4
286,-17,-1
287,13,1
288,1,13
289,-7,12
290,23,3
291,-3,-26
292,4,-17
293,0,13
294,1,18
295,1,17
296,-2,-26
297,-19,-2
298,-12,-18
299,20,0
300,19,-1
301,16,9
302,-9,-18
303,24,3
304,20,-1
305,-10,10
306,9,14
307,24,2
308,23,2
309,22,2
310,-18,-9
311,25,3
312,4,-18
313,24,1
314,8,14
315,-12,-11
316,-4,-26
317,4,-19
318,-19,-1
319,5,-18
320,10,13
321,-7,13
322,-17,0
323,-3,-27
324,-3,-28
325,25,1
326,16,10
327,4,19
328,4,20
329,26,3
330,11,13
331,4,21
332,-17,1
333,11,14
334,5,20
335,-2,-28
336,27,3
337,5,21
338,9,15
339,-1,-28
340,21,-1
341,18,5
342,26,1
343,0,-28
344,26,4
345,26,5
346,0,14
347,-1,-25
348,28,3
349,-19,-9
350,0,-29
351,28,4
352,-2,-29
353,-2,-30
354,28,2
355,28,5
356,-13,-18
357,11,15
358,26,6
359,25,0
360,1,-28
361,12,13
362,-14,-18
363,11,12
364,1,-29
365,-16,1
366,18,6
367,12,14
368,26,0
369,12,15
370,-10,-19
371,27,6
372,29,3
373,-4,-25
374,28,6
375,13,15
376,-18,1
377,1,16
378,29,5
379,-11,10
380,2,-29
381,0,-25
382,6,21
383,29,6
384,8,-10
385,7,21
386,2,-30
387,1,-30
388,5,-19
389,11,16
390,3,21
391,26,-1
392,-20,-6
393,29,2
394,-5,-26
395,8,21
396,-19,-10
397,-21,-6
398,-19,-8
399,26,-2
400,-5,-27
401,8,22
402,-15,-18
403,-5,-25
404,21,-2
405,-15,-17
406,5,-15
407,1,-25
408,2,-25
409,1,19
410,13,16
411,16,11
412,-14,-19
413,9,22
414,29,7
415,3,-25
416,25,6
417,3,-29
418,-17,2
419,-14,-20
420,-20,-1
421,-7,14
422,-6,-26
423,-14,-21
424,25,7
425,29,8
426,29,9
427,30,5
428,-14,-22
429,20,-2
430,1,20
431,-17,-9
432,-22,-6
433,16,12
434,22,-2
435,27,-2
436,-21,-1
437,-23,-6
438,4,-25
439,-6,-27
440,-24,-6
441,9,16
442,3,-30
443,30,3
444,30,4
445,31,3
446,17,12
447,7,22
448,-14,-23
449,-21,0
450,-16,-17
451,29,10
452,31,4
453,26,-3
454,-15,-23
455,-11,11
456,31,2
457,30,10
458,-14,-24
459,-17,-17
460,26,-4
461,-23,-5
462,9,23
463,-2,-31
464,9,24
465,32,2
466,32,1
467,5,-25
468,8,24
469,0,15
470,27,-4
471,-20,-10
472,25,-4
473,9,17
474,5,22
475,31,5
476,8,0
477,31,6
478,-21,-10
479,-25,-6
480,28,10
481,33,1
482,25,-5
483,-26,-6
484,32,6
485,2,-31
486,7,24
487,-21,1
488,-7,15
489,-22,1
490,19,6
491,-26,-7
492,6,-16
493,-8,15
494,-13,-24
495,-26,-5
496,-12,11
497,31,10
498,33,0
499,-22,-1
500,-26,-8
501,-23,1
502,6,24
503,5,24
504,-15,-24
505,7,25
506,-7,-27
507,32,0
508,28,-2
509,4,-30
510,-27,-5
511,34,1
512,-28,-5
513,9,25
514,-16,-23
515,24,-5
516,-1,-31
517,3,-31
518,33,-1
519,31,11
520,-3,-31
521,-17,-18
522,6,-19
523,-8,16
524,-29,-5
525,4,-26
526,-26,-4
527,28,-4
528,-15,-25
529,-26,-3
530,-6,-28
531,9,26
532,7,26
533,5,-30
534,-9,16
535,35,1
536,6,-18
537,-21,-11
538,-23,0
539,-24,1
540,20,-3
541,-3,-32
542,-25,1
543,2,-32
544,-15,-26
545,7,27
546,-3,-33
547,10,23
548,4,24
549,-3,-34
550,31,12
551,25,-6
552,-6,-29
553,10,26
554,-3,-35
555,7,28
556,30,12
557,11,17
558,19,-3
559,11,26
560,28,-5
561,-27,-7
562,-25,2
563,-2,-35
564,7,-16
565,-23,2
566,-30,-5
567,29,-4
568,11,27
569,11,28
570,32,11
571,-25,3
572,-16,-22
573,-2,-36
574,-25,4
575,-22,-11
576,-4,-34
577,-24,4
578,6,28
579,7,29
580,32,10
581,0,17
582,33,6
583,29,-5
584,0,12
585,-8,17
586,-8,-27
587,34,6
588,32,12
589,-7,17
590,12,26
591,5,-26
592,-16,-26
593,-17,-26
594,-27,-3
595,5,-31
596,-26,-9
597,7,30
598,32,13
599,7,31
600,-26,2
601,-3,-36
602,33,11
603,9,-9
604,5,-24
605,-18,-18
606,34,5
607,-2,-34
608,-22,-10
609,-9,-27
610,-23,3
611,35,6
612,-30,-6
613,-25,5
614,6,31
615,29,12
616,-9,17
617,7,-17
618,-26,-10
619,5,-29
620,8,31
621,-5,-34
622,-27,-10
623,-19,1
624,10,-9
625,32,14
626,33,10
627,-26,-11
628,-28,-3
629,30,-5
630,-25,0
631,-31,-5
632,-27,2
633,-3,-37
634,36,1
635,-31,-6
636,6,-20
637,37,1
638,14,16
639,-17,3
640,30,-6
641,5,31
642,-17,4
643,5,32
644,4,31
645,6,-24
646,8,32
647,-3,-38
648,9,0
649,28,-6
650,3,31
651,3,32
652,25,-7
653,-7,16
654,9,31
655,-6,-34
656,-15,-27
657,-26,4
658,5,33
659,31,-5
660,38,1
661,33,9
662,8,33
663,34,11
664,32,-5
665,-3,-39
666,8,34
667,7,-24
668,34,12
669,29,13
670,3,33
671,5,-27
672,39,1
673,-32,-6
674,-15,-28
675,34,10
676,31,14
677,-33,-6
678,11,29
679,12,27
680,8,-24
681,6,-27
682,12,29
683,35,11
684,39,0
685,-17,-27
686,2,33
687,-27,1
688,11,30
689,36,6
690,-1,-36
691,0,-36
692,-6,17
693,11,31
694,-2,-38
695,-15,-29
696,-4,-36
697,9,33
698,36,5
699,-4,-38
700,31,15
701,25,-8
702,35,12
703,-12,12
704,11,32
705,2,31
706,-25,6
707,-6,-30
708,1,33
709,37,5
710,9,-24
711,1,-36
712,20,-4
713,9,34
714,36,12
715,13,27
716,-18,-26
717,-10,17
718,13,29
719,26,-8
720,-25,7
721,-27,0
722,5,34
723,-15,-30
724,-16,-21
725,32,-6
726,-28,2
727,-18,-27
728,39,-1
729,-26,6
730,-19,-26
731,-19,-25
732,9,35
733,5,35
734,-3,-40
735,36,11
736,5,36
737,-5,-38
738,11,33
739,-3,-41
740,6,-31
741,-3,-42
742,37,11
743,40,-1
744,24,-8
745,-13,11
746,-26,-12
747,-3,-43
748,16,13
749,38,11
750,-28,0
751,-4,-42
752,-2,-41
753,40,1
754,5,37
755,41,-1
756,39,11
757,-19,-27
758,41,1
759,0,33
760,36,13
761,-34,-6
762,41,2
763,-25,8
764,10,35
765,-10,18
766,-27,-12
767,37,13
768,-34,-7
769,29,14
770,-3,-44
771,-1,33
772,0,-37
773,32,-7
774,-2,33
775,-35,-7
776,13,30
777,-3,-45
778,14,30
779,-2,-45
780,-14,11
781,42,-1
782,-19,-28
783,9,36
784,25,-9
785,0,-38
786,-29,0
787,-1,-41
788,7,-20
789,-3,33
790,-28,-10
791,28,-7
792,9,37
793,-31,-4
794,7,-27
795,-1,-45
796,-4,33
797,-28,-12
798,24,-7
799,43,-1
800,11,18
801,41,3
802,-19,-29
803,40,-2
804,-2,34
805,-33,-5
806,-2,-46
807,8,37
808,39,12
809,-4,32
810,-5,32
811,7,-18
812,-1,-46
813,-24,8
814,-16,-30
815,-27,6
816,-20,-25
817,38,13
818,6,-32
819,-5,31
820,-20,-26
821,41,-2
822,7,-32
823,-6,32
824,-3,-46
825,5,38
826,-28,-13
827,-1,-47
828,42,-2
829,-1,-48
830,30,-7
831,33,14
832,-29,1
833,-19,-18
834,-35,-8
835,-19,-30
836,-36,-8
837,8,38
838,34,-1
839,30,-8
840,0,-45
841,-28,-2
842,5,39
843,40,12
844,18,-3
845,-3,-47
846,38,5
847,-33,-4
848,-7,32
849,30,-9
850,41,12
851,-20,-30
852,11,35
853,39,13
854,-5,-39
855,-1,-49
856,-5,30
857,42,3
858,-25,9
859,39,10
860,41,13
861,-11,18
862,-15,-31
863,-26,9
864,-21,-25
865,38,14
866,-3,-48
867,42,2
868,42,-3
869,12,35
870,1,-45
871,-8,32
872,-20,-31
873,43,-3
874,33,-7
875,33,15
876,-31,-7
877,9,38
878,-35,-6
879,-8,33
880,-7,33
881,-36,-9
882,14,31
883,-36,-7
884,-9,33
885,-19,-17
886,41,14
887,1,-44
888,44,-1
889,-29,-13
890,-37,-8
891,3,34
892,34,-7
893,10,37
894,45,-1
895,-1,-50
896,-21,-31
897,2,-33
898,5,40
899,42,14
900,8,39
901,8,-18
902,1,-46
903,42,-4
904,-26,10
905,13,31
906,2,-44
907,42,15
908,6,-29
909,-29,2
910,-4,-48
911,-34,-4
912,-8,34
913,35,-7
914,-22,-31
915,-15,11
916,1,34
917,2,-43
918,13,35
919,14,35
920,-15,-32
921,-5,29
922,3,-44
923,-16,11
924,-11,19
925,-30,-13
926,-30,2
927,-5,-48
928,43,15
929,41,11
930,9,-18
931,-24,9
932,-5,33
933,6,40
934,42,11
935,-26,11
936,15,31
937,-37,-7
938,6,41
939,-6,-48
940,-1,-51
941,-8,35
942,34,-8
943,-22,-30
944,-21,-32
945,-31,-13
946,-2,-51
947,-1,-52
948,46,-1
949,-17,11
950,-9,35
951,-6,-49
952,1,-47
953,23,-8
954,41,15
955,40,15
956,15,35
957,47,-1
958,-20,-27
959,15,36
960,20,-5
961,-7,-49
962,-35,-4
963,-28,6
964,44,15
965,-31,2
966,-22,-25
967,36,14
968,11,37
969,-23,-31
970,42,-5
971,-37,-9
972,-23,-30
973,-36,-6
974,-34,-3
975,-27,11
976,33,16
977,27,-8
978,4,40
979,-11,20
980,-7,34
981,0,-50
982,2,-42
983,-5,-42
984,-31,-14
985,-32,-14
986,-10,35
987,-10,33
988,-1,-53
989,-32,-15
990,9,-25
991,-28,5
992,0,-53
993,-22,-32
994,1,-50
995,-23,-32
996,-33,-3
997,2,-34
998,4,41
999,-33,-2
1000,43,3
1001,22,-8
1002,-2,-53
1003,10,-25
1004,42,-6
