number,x,y
1,0,0
2,0,1
3,-1,0
4,1,0
5,2,0
6,2,-1
7,0,2
8,2,-2
9,3,-1
10,-1,-1
11,-1,2
12,4,-1
13,-1,3
14,2,1
15,-2,2
16,5,-1
17,-2,-1
18,-1,4
19,-3,2
20,-1,5
21,1,-2
22,-1,6
23,2,2
24,-1,7
25,0,4
26,-4,2
27,-3,-1
28,-4,-1
29,1,-3
30,-3,-2
31,0,7
32,-5,2
33,-6,2
34,-1,-2
35,6,-1
36,6,-2
37,4,-2
38,-7,2
39,2,-3
40,-2,7
41,-7,3
42,-3,7
43,-1,-3
44,6,-3
45,-5,-1
46,3,2
47,-2,8
48,6,-4
49,-8,3
50,-1,8
51,-1,-4
52,7,-4
53,-6,1
54,7,-5
55,0,8
56,6,0
57,6,1
58,7,-2
59,8,-5
60,8,-6
61,8,-2
62,0,-2
63,-9,3
64,-2,-4
65,8,-7
66,7,-6
67,7,1
68,-10,3
69,1,8
70,8,-8
71,-1,9
72,-9,2
73,7,-8
74,9,-7
75,-1,10
76,-10,4
77,10,-7
78,8,-9
79,-1,11
80,-1,-5
81,0,9
82,-3,-4
83,9,-8
84,0,11
85,-6,-1
86,-9,1
87,-11,3
88,1,11
89,10,-6
90,-2,11
91,-12,3
92,11,-7
93,-11,2
94,8,1
95,9,-2
96,-12,4
97,-2,12
98,12,-7
99,0,-5
100,8,-10
101,-12,5
102,1,12
103,13,-7
104,8,-3
105,14,-7
106,2,8
107,15,-7
108,1,13
109,12,-8
110,-3,12
111,1,14
112,-4,12
113,-4,13
114,15,-8
115,1,15
116,-12,2
117,12,-9
118,16,-8
119,-8,1
120,8,2
121,12,-10
122,7,-9
123,-4,14
124,8,-11
125,16,-7
126,-5,13
127,-3,-5
128,17,-8
129,13,-10
130,-3,-6
131,-4,15
132,-4,-6
133,16,-6
134,17,-9
135,17,-10
136,0,15
137,-3,15
138,2,12
139,-13,4
140,-5,-6
141,7,2
142,12,-11
143,0,6
144,-13,2
145,0,5
146,-13,1
147,1,16
148,3,12
149,3,13
150,2,15
151,-6,-6
152,16,-10
153,7,-11
154,-1,-6
155,-5,-7
156,1,17
157,8,-1
158,16,-11
159,12,-6
160,-14,1
161,17,-7
162,16,-5
163,16,-4
164,10,-2
165,-5,-8
166,11,-2
167,-5,15
168,2,17
169,13,-11
170,-3,16
171,-14,4
172,13,-12
173,18,-10
174,-1,15
175,10,-1
176,-13,0
177,11,-1
178,3,8
179,4,13
180,-5,16
181,-15,4
182,-7,-6
183,18,-11
184,-4,7
185,19,-11
186,6,-11
187,-14,5
188,-3,17
189,-5,-9
190,19,-10
191,-4,-9
192,19,-9
193,16,-12
194,2,18
195,20,-10
196,18,-12
197,-14,0
198,-4,17
199,-10,5
200,2,19
201,20,-11
202,19,-8
203,8,-12
204,-15,0
205,4,14
206,18,-13
207,0,16
208,-16,0
209,8,-13
210,-6,-8
211,11,-11
212,1,19
213,-6,13
214,-12,6
215,18,-14
216,21,-11
217,6,-12
218,0,19
219,18,-15
220,-6,15
221,1,20
222,8,-14
223,-3,18
224,3,7
225,22,-11
226,-4,-10
227,2,20
228,-15,5
229,-5,17
230,19,-15
231,17,-6
232,2,21
233,15,-6
234,3,21
235,2,22
236,4,15
237,6,-13
238,-16,5
239,-1,19
240,-1,20
241,18,-16
242,13,-13
243,22,-12
244,22,-10
245,5,15
246,12,-2
247,-12,0
248,-17,0
249,18,-17
250,9,-13
251,-3,-10
252,20,-15
253,-6,16
254,-17,1
255,22,-13
256,8,-15
257,-6,17
258,-17,-1
259,6,15
260,3,22
261,-17,5
262,3,18
263,-7,-8
264,5,-13
265,-4,-11
266,10,-13
267,22,-14
268,19,-16
269,6,16
270,4,22
271,17,-13
272,7,-15
273,-2,20
274,15,-4
275,18,-18
276,-7,17
277,18,-19
278,-18,5
279,12,-3
280,4,21
281,3,23
282,17,-4
283,3,9
284,-17,2
285,-12,7
286,-18,-1
287,23,-14
288,16,-3
289,-6,-7
290,4,20
291,-5,18
292,-5,-2
293,5,21
294,-18,0
295,-19,-1
296,-4,-12
297,-2,21
298,6,-15
299,22,-9
300,7,15
301,-11,7
302,-19,0
303,-4,-13
304,-8,17
305,-9,17
306,16,-2
307,8,3
308,-5,-13
309,14,-13
310,-19,5
311,20,-8
312,-7,-1
313,-17,-2
314,17,-16
315,-7,-5
316,4,23
317,22,-15
318,-18,6
319,-18,7
320,23,-12
321,-8,-8
322,5,-11
323,-17,-3
324,-20,0
325,17,-3
326,-20,5
327,-20,1
328,-16,-2
329,16,-1
330,13,-3
331,-18,-3
332,19,-19
333,-5,-12
334,-21,0
335,-9,18
336,16,0
337,11,-13
338,-22,0
339,-19,-3
340,5,23
341,4,19
342,17,-19
343,5,19
344,3,24
345,-21,-1
346,-13,7
347,-21,5
348,1,22
349,-10,18
350,-21,-2
351,-3,-11
352,-23,0
353,23,-15
354,22,-8
355,-21,4
356,-5,19
357,18,-3
358,-6,18
359,-11,8
360,-21,-3
361,-21,6
362,5,24
363,7,-16
364,-10,19
365,8,15
366,5,25
367,7,-17
368,5,26
369,0,22
370,10,-14
371,13,-14
372,17,0
373,-9,19
374,-21,7
375,-11,19
376,16,1
377,19,-20
378,-21,-4
379,20,-20
380,24,-15
381,25,-15
382,7,-18
383,20,-21
384,-22,5
385,-4,-14
386,-24,0
387,-20,7
388,16,-19
389,-21,-5
390,19,-21
391,18,-21
392,-23,5
393,20,-22
394,-21,-6
395,-6,-13
396,6,24
397,6,26
398,15,0
399,6,-18
400,-23,6
401,26,-15
402,-25,0
403,5,-18
404,20,-7
405,4,-18
406,16,2
407,0,23
408,25,-14
409,-22,-3
410,-21,-7
411,9,15
412,0,24
413,-21,8
414,-21,1
415,-26,0
416,-5,20
417,26,-14
418,5,27
419,-6,-12
420,-23,4
421,17,2
422,-22,-5
423,-6,20
424,6,19
425,-22,8
426,5,28
427,20,-23
428,8,-18
429,24,-16
430,21,-22
431,-24,5
432,7,19
433,-20,-7
434,-5,-14
435,-11,20
436,21,-7
437,19,-22
438,4,-19
439,-23,-5
440,7,18
441,-23,-3
442,6,28
443,17,3
444,-3,-14
445,8,18
446,21,-6
447,7,28
448,17,-21
449,-4,-15
450,18,2
451,26,-13
452,27,-14
453,12,-14
454,3,25
455,3,26
456,-20,-8
457,-5,21
458,27,-13
459,16,-18
460,8,-19
461,4,-20
462,7,-19
463,-27,0
464,28,-13
465,10,15
466,-27,-1
467,8,19
468,-6,21
469,-7,21
470,-27,-2
471,-23,8
472,-12,19
473,7,24
474,6,29
475,16,3
476,9,16
477,6,23
478,18,3
479,28,-14
480,15,-18
481,9,18
482,17,-22
483,10,18
484,8,28
485,-2,22
486,-19,-8
487,4,-13
488,-24,-1
489,4,-21
490,26,-16
491,-21,9
492,-13,19
493,3,27
494,-21,10
495,15,3
496,11,15
497,20,-24
498,7,26
499,2,26
500,-24,8
501,-20,-9
502,-14,19
503,21,-20
504,6,30
505,-7,-12
506,18,4
507,-11,21
508,-3,22
509,0,25
510,-14,20
511,29,-14
512,-4,-16
513,-4,-17
514,5,29
515,11,18
516,-21,-9
517,-25,1
518,-21,-10
519,28,-12
520,-3,-17
521,18,-7
522,-25,-1
523,-5,-15
524,-28,0
525,21,-24
526,11,19
527,-5,-10
528,-24,-3
529,-22,-10
530,-2,23
531,-8,-9
532,-11,18
533,29,-12
534,7,30
535,8,24
536,5,30
537,30,-12
538,-24,9
539,21,-25
540,26,-17
541,31,-12
542,22,-20
543,12,15
544,-25,-3
545,-21,-11
546,-3,-18
547,-25,-4
548,-5,-17
549,-25,-5
550,22,-7
551,8,27
552,-15,20
553,8,30
554,26,-18
555,6,31
556,22,-24
557,9,24
558,16,-22
559,12,19
560,-26,-4
561,-21,11
562,-21,-12
563,21,-26
564,31,-13
565,4,-22
566,-25,-6
567,31,-14
568,4,-23
569,-29,0
570,-29,-1
571,3,-21
572,-24,4
573,25,-13
574,7,31
575,-12,18
576,32,-13
577,21,-27
578,-1,25
579,32,-12
580,-20,-11
581,21,-28
582,-29,1
583,8,25
584,-11,0
585,8,31
586,21,-29
587,21,-30
588,-16,20
589,16,-20
590,-22,-12
591,-17,20
592,-3,23
593,22,-26
594,9,30
595,-30,1
596,11,20
597,-20,-12
598,12,18
599,31,-15
600,-24,6
601,-26,-6
602,13,18
603,22,-29
604,19,3
605,-7,22
606,-31,1
607,27,-12
608,-32,1
609,-25,8
610,9,31
611,30,-15
612,-27,-4
613,19,-3
614,20,-30
615,7,32
616,31,-16
617,-30,0
618,33,-13
619,34,-13
620,19,4
621,1,25
622,-1,26
623,-8,-12
624,22,-30
625,10,30
626,-33,1
627,-18,20
628,-8,-5
629,7,33
630,19,-30
631,9,32
632,35,-13
633,-28,-2
634,-2,26
635,-23,-6
636,-26,8
637,9,-18
638,31,-17
639,-2,-18
640,-2,27
641,-30,2
642,8,-20
643,-26,9
644,-30,3
645,23,-7
646,11,30
647,-26,10
648,-15,21
649,18,-30
650,18,-29
651,35,-14
652,-21,-13
653,7,34
654,-12,20
655,0,26
656,6,34
657,10,32
658,-19,20
659,-34,1
660,21,-31
661,-34,2
662,-3,-19
663,16,4
664,23,-30
665,-15,22
666,-9,-9
667,-19,21
668,32,-17
669,-26,7
670,-3,27
671,8,34
672,-20,20
673,-1,-18
674,9,34
675,-26,11
676,-23,-12
677,5,-23
678,7,35
679,17,-30
680,27,-18
681,-1,-19
682,9,3
683,15,4
684,31,-11
685,-7,-13
686,-22,10
687,-35,1
688,3,-23
689,-19,-11
690,6,35
691,-36,1
692,-36,0
693,-3,-20
694,-32,2
695,12,30
696,32,-18
697,-8,-13
698,-27,10
699,-24,10
700,-10,21
701,23,-31
702,13,30
703,-11,22
704,-14,22
705,-21,20
706,-26,12
707,-24,-12
708,19,-31
709,36,-13
710,19,5
711,-15,23
712,14,30
713,24,-31
714,23,-29
715,35,-12
716,6,-23
717,20,4
718,-1,-20
719,23,-32
720,33,-18
721,-26,13
722,24,-32
723,-28,10
724,35,-15
725,9,35
726,23,-24
727,10,35
728,20,-3
729,17,-31
730,-4,-19
731,2,27
732,-7,-4
733,-20,-13
734,23,-33
735,37,-13
736,13,19
737,24,-7
738,-32,0
739,8,-21
740,-30,4
741,24,-30
742,3,-24
743,-36,2
744,25,-32
745,-27,1
746,-23,-7
747,-37,1
748,19,6
749,-36,-1
750,13,15
751,7,36
752,-20,-14
753,32,-14
754,-19,-14
755,-6,22
756,9,-20
757,19,7
758,37,-14
759,-5,-19
760,-36,3
761,-9,-13
762,38,-14
763,39,-14
764,15,30
765,16,30
766,17,30
767,-28,9
768,-20,-15
769,-22,20
770,40,-14
771,2,-24
772,-20,-16
773,-21,21
774,-29,10
775,-38,1
776,-38,2
777,-21,22
778,41,-14
779,-23,20
780,-3,-21
781,-23,21
782,9,36
783,15,-22
784,20,7
785,-21,23
786,25,-30
787,-24,20
788,5,35
789,21,4
790,23,-34
791,16,-31
792,6,-24
793,24,-34
794,37,-12
795,-21,24
796,18,30
797,-39,2
798,14,18
799,41,-13
800,7,37
801,-22,24
802,-3,28
803,-25,-12
804,17,-32
805,-14,23
806,33,-12
807,-6,23
808,2,-23
809,15,31
810,10,36
811,32,-19
812,-24,-13
813,-31,4
814,-36,-2
815,24,-35
816,-19,-16
817,-26,-12
818,-19,-12
819,-24,21
820,-40,2
821,-22,25
822,-36,-3
823,-18,-16
824,-41,2
825,-18,-8
826,-37,3
827,32,-20
828,-4,28
829,-20,21
830,15,-31
831,14,19
832,-18,-17
833,-17,-17
834,21,5
835,-39,1
836,-16,-17
837,14,-31
838,24,-36
839,33,-20
840,-17,-18
841,6,37
842,-20,24
843,25,-36
844,6,38
845,-41,1
846,11,36
847,-35,-2
848,39,-15
849,-3,29
850,-38,3
851,-3,30
852,37,-11
853,-41,3
854,-21,25
855,-21,26
856,-20,26
857,-18,-18
858,-34,3
859,3,-25
860,39,-16
861,-42,3
862,12,36
863,4,-25
864,42,-13
865,12,37
866,-19,-18
867,26,-32
868,27,-19
869,-22,26
870,13,36
871,0,-20
872,1,-24
873,6,39
874,34,-18
875,-11,23
876,7,39
877,-30,-1
878,26,-36
879,28,-19
880,11,21
881,-5,-20
882,42,-14
883,-23,24
884,-23,-13
885,26,-35
886,22,-33
887,15,32
888,11,29
889,-12,23
890,22,-34
891,43,-14
892,5,34
893,-42,1
894,32,-21
895,-4,-21
896,25,-37
897,15,-32
898,18,31
899,-43,1
900,15,-33
901,15,19
902,40,-16
903,19,31
904,21,7
905,23,-36
906,-36,-4
907,-27,-6
908,26,-37
909,16,29
910,-18,19
911,-41,0
912,35,-18
913,-42,4
914,-26,-13
915,-44,1
916,1,-25
917,41,-16
918,-9,-14
919,26,-38
920,-26,14
921,-34,-2
922,-6,-20
923,-19,-19
924,-22,27
925,7,-24
926,27,-37
927,13,37
928,27,-20
929,41,-17
930,-27,-12
931,-43,3
932,25,-38
933,20,3
934,42,-16
935,-19,-20
936,22,-35
937,-43,4
938,-20,27
939,1,-26
940,13,-31
941,15,-34
942,20,31
943,27,-32
944,-34,4
945,6,40
946,-20,-18
947,28,-37
948,-27,14
949,-34,-3
950,43,-16
951,-45,1
952,21,-3
953,31,-21
954,-18,-20
955,33,-11
956,-21,-18
957,28,-38
958,-41,-1
959,22,7
960,-35,-3
961,25,-39
962,5,38
963,-5,28
964,21,31
965,-14,24
966,-45,0
967,5,36
968,14,20
969,-5,29
970,-24,22
971,-44,4
972,13,38
973,27,-38
974,42,-12
975,5,39
976,-22,28
977,13,-32
978,23,-6
979,7,40
980,6,41
981,28,-32
982,22,4
983,-36,-5
984,-36,-6
985,21,-35
986,13,-33
987,-10,-14
988,0,-19
989,-42,5
990,43,-12
991,14,-34
992,-25,22
993,33,-10
994,24,-6
995,23,-28
996,-28,14
997,30,-21
998,-4,-22
999,-43,5
1000,-44,3
1001,-22,29
1002,-6,28
1003,42,-17
1004,-43,0
1005,-30,10
1006,-37,-6
1007,29,-32
