number,x,y
455,12,19
456,4,-24
457,1,-29
458,-6,17
459,6,22
460,13,18
461,6,23
462,24,-1
463,-11,-30
464,-8,16
465,8,-22
466,-21,-16
467,-18,-18
468,-10,-30
469,23,-3
470,10,-8
471,-9,13
472,6,24
473,6,25
474,-10,-31
475,-11,-29
476,26,2
477,8,-23
478,-16,-9
479,5,25
480,24,-3
481,8,-21
482,2,-27
483,-10,-27
484,-10,-32
485,25,-3
486,4,-25
487,-8,17
488,-9,12
489,-16,-25
490,7,25
491,11,19
492,26,-3
493,-17,-25
494,23,-4
495,-20,-17
496,-22,-16
497,-11,3
498,-22,-17
499,27,2
500,-22,-15
501,7,26
502,28,2
503,-17,-28
504,-1,-24
505,2,-29
506,-23,-17
507,-8,18
508,21,6
509,29,2
510,11,-6
511,20,7
512,5,-25
513,0,-27
514,8,25
515,-22,-18
516,-13,-31
517,-18,-9
518,8,26
519,12,17
520,-9,-31
521,-14,-19
522,6,26
523,-15,2
524,9,26
525,-18,-8
526,-12,4
527,-10,12
528,-11,12
529,12,-6
530,-12,12
531,30,2
532,28,1
533,25,-4
534,10,26
535,11,-7
536,-20,-14
537,8,-20
538,2,-30
539,-9,18
540,11,26
541,-18,-25
542,-23,-15
543,-22,-19
544,-23,-18
545,21,7
546,6,27
547,-13,-32
548,3,-29
549,-8,19
550,-17,1
551,0,20
552,0,-29
553,-19,-25
554,0,21
555,12,26
556,-9,17
557,5,24
558,-13,-33
559,30,3
560,-10,-29
561,-12,13
562,30,1
563,-9,-32
564,-14,-31
565,-8,20
566,6,28
567,-8,21
568,13,17
569,27,-3
570,12,27
571,12,28
572,-9,-33
573,-10,17
574,25,5
575,13,28
576,7,28
577,14,18
578,18,10
579,31,1
580,-14,-33
581,15,18
582,22,-3
583,-20,-25
584,-13,-34
585,9,-23
586,-21,-15
587,9,-24
588,10,27
589,31,2
590,-11,17
591,-1,20
592,3,-30
593,31,0
594,9,-22
595,14,19
596,26,-2
597,4,-30
598,-11,16
599,-1,-25
600,7,29
601,23,-5
