number,x,y
1,0,0
2,-1,0
3,-2,0
4,-3,0
5,-4,0
6,-4,-1
7,-1,1
8,-4,1
9,1,0
10,2,0
11,-5,-1
12,0,-1
13,2,1
14,1,-1
15,2,2
16,-1,2
17,-5,-2
18,3,2
19,4,2
20,3,0
21,-5,-3
22,-6,-2
23,-6,-1
24,4,3
25,-7,-1
26,-4,2
27,-5,2
28,4,0
29,-5,-4
30,2,3
31,-6,2
32,3,-1
33,-1,3
34,2,4
35,1,-2
36,2,5
37,5,0
38,-1,4
39,-6,-3
40,3,5
41,5,-1
42,-6,-4
43,-8,-1
44,6,-1
45,-9,-1
46,1,-3
47,-7,-3
48,-1,5
49,-5,-5
50,1,5
51,2,6
52,-10,-1
53,-6,3
54,6,-2
55,1,-4
56,4,5
57,-11,-1
58,4,4
59,-5,-6
60,-6,-6
61,2,-4
62,2,-5
63,-6,4
64,2,-6
65,-12,-1
66,-7,4
67,5,5
68,-1,6
69,-6,-7
70,-7,-6
71,-7,5
72,6,-3
73,-4,-6
74,6,0
75,-13,-1
76,-11,-2
77,-5,4
78,-14,-1
79,4,6
80,6,5
81,-15,-1
82,-6,-8
83,-7,-8
84,6,-4
85,-8,-8
86,-15,0
87,-8,-3
88,3,-5
89,-13,-2
90,7,-3
91,7,5
92,3,-6
93,8,-3
94,3,-7
95,-8,0
96,8,-4
97,-14,0
98,-5,-8
99,-2,6
100,7,4
101,-15,1
102,-4,-8
103,7,3
104,8,-5
105,-16,0
106,-1,7
107,-8,-9
108,3,6
109,4,7
110,3,7
111,-16,-1
112,-17,-1
113,4,8
114,9,-4
115,-5,5
116,8,5
117,5,-4
118,8,3
119,-5,6
120,10,-4
121,4,9
122,4,10
123,10,-3
124,-8,4
125,-6,-9
126,-18,-1
127,-15,2
128,-6,-10
129,-14,-2
130,3,10
131,7,-5
132,-6,-11
133,11,-4
134,9,-5
135,-15,3
136,-6,-12
137,8,-6
138,8,2
139,-18,0
140,-18,-2
141,-18,1
142,-15,4
143,12,-4
144,8,6
145,12,-5
146,-19,-2
147,7,-6
148,-3,-6
149,9,6
150,-8,-4
151,9,7
152,-19,0
153,-9,-8
154,-1,8
155,-18,-3
156,-18,2
157,-19,-3
158,-16,4
159,-20,-3
160,-14,4
161,9,2
162,-15,5
163,-20,0
164,-20,-4
165,-9,-9
166,-17,4
167,-20,-5
168,8,7
169,12,-3
170,3,11
171,12,-2
172,-21,0
173,-7,-12
174,-22,0
175,-1,9
176,9,8
177,9,3
178,-14,5
179,9,9
180,-6,-13
181,-7,6
182,-7,7
183,10,9
184,7,-7
185,-5,-13
186,13,-3
187,-1,10
188,-22,1
189,-18,-4
190,-6,-14
191,10,6
192,-20,-6
193,10,5
194,3,12
195,-3,-8
196,-16,5
197,7,-8
198,10,3
199,-21,-3
200,11,9
201,-23,1
202,-23,2
203,10,10
204,-8,-12
205,11,5
206,3,13
207,-24,2
208,-14,6
209,14,-3
210,-16,-2
211,-11,-3
212,-18,-5
213,-21,-5
214,10,11
215,-8,7
216,-10,-9
217,12,9
218,14,-4
219,12,-1
220,14,-5
221,13,9
222,11,6
223,9,11
224,-23,0
225,-20,-7
226,11,11
227,9,12
228,14,-2
229,14,-1
230,15,-2
231,-24,1
232,12,11
233,-2,10
234,-3,-9
235,-9,-12
236,14,9
237,-22,-5
238,-20,-8
239,-11,-9
240,2,12
241,15,9
242,7,-9
243,3,-8
244,-4,-13
245,16,9
246,-23,-5
247,-2,-8
248,-6,-15
249,-24,3
250,-22,2
251,-20,-9
252,-4,-12
253,-9,7
254,-21,-9
255,11,12
256,15,-5
257,14,0
258,-5,-15
259,-7,-15
260,-8,-15
261,12,12
262,17,9
263,-22,-3
264,6,-9
265,16,-5
266,-5,-16
267,-25,2
268,-9,-15
269,2,13
270,-16,6
271,-4,-16
272,6,-10
273,9,13
274,15,0
275,9,14
276,-3,-16
277,-10,-12
278,18,9
279,-22,-9
280,8,-8
281,1,13
282,9,-8
283,-26,2
284,19,9
285,20,9
286,0,13
287,-3,-17
288,-23,-4
289,-9,-16
290,-27,2
291,-14,7
292,-5,-17
293,9,15
294,12,-6
295,-2,11
296,-20,-10
297,-10,-16
298,-22,-10
299,-24,-5
300,0,14
301,6,-11
302,-3,-18
303,-27,3
304,13,12
305,-22,-11
306,-3,-13
307,21,9
308,-19,-10
309,-27,4
310,-28,2
311,-10,-17
312,8,-9
313,-9,-17
314,0,15
315,-1,13
316,-3,11
317,22,9
318,6,-12
319,-11,-17
320,12,5
321,16,-6
322,-29,2
323,20,8
324,-22,3
325,-9,4
326,4,13
327,-24,-6
328,-18,-10
329,10,15
330,-9,8
331,-10,8
332,-11,-18
333,-8,-17
334,17,-6
335,-24,-4
336,0,16
337,19,10
338,-8,-18
339,6,-13
340,-8,-19
341,-23,-11
342,-2,-16
343,-25,-4
344,-3,-19
345,17,-5
346,15,-6
347,-4,-19
348,16,-4
349,0,17
350,-24,-11
351,-22,-12
352,9,16
353,0,18
354,-10,9
355,-29,3
356,23,9
357,-9,-19
358,-27,1
359,-1,15
360,21,10
361,14,-6
362,-12,-18
363,1,18
364,-27,5
365,23,10
366,-24,-10
367,-29,1
368,-23,-12
369,-26,-4
370,-12,-17
371,-1,-16
372,24,9
373,-30,1
374,-27,6
375,-9,-20
376,-27,-4
377,24,10
378,-9,-21
379,24,11
380,18,-5
381,10,-8
382,10,-9
383,-27,7
384,25,11
385,-26,5
386,19,-5
387,-24,4
388,2,18
389,-27,-5
390,-30,3
391,-3,-20
392,14,12
393,-25,-11
394,16,-7
395,2,19
396,25,12
397,8,-10
398,24,8
399,-3,-21
