number,x,y
1,0,0
2,1,0
3,1,-1
4,1,-2
5,-1,0
6,-1,1
7,0,-2
8,1,1
9,0,-3
10,2,0
11,0,1
12,0,-4
13,0,-5
14,-1,2
15,-1,3
16,-1,-3
17,-1,-2
18,-1,-5
19,-2,-5
20,-2,-4
21,2,-1
22,3,-1
23,-1,4
24,0,3
25,1,-4
26,0,4
27,3,0
28,4,-1
29,0,5
30,-2,2
31,4,0
32,1,-3
33,4,-2
34,-1,-6
35,0,2
36,1,5
37,1,-5
38,-1,5
39,-2,-2
40,2,1
41,5,-1
42,-2,5
43,-3,2
44,1,2
45,-2,3
46,1,4
47,2,-4
48,4,1
49,-4,2
50,2,5
51,2,-3
52,5,0
53,-2,4
54,6,0
55,0,6
56,-2,6
57,1,6
58,3,-3
59,-3,-2
60,5,1
61,5,-2
62,4,-3
63,-3,6
64,6,1
65,-3,5
66,-3,-5
67,4,-4
68,0,7
69,-3,4
70,-4,4
71,-4,-5
72,5,-4
73,1,7
74,-4,-4
75,3,1
76,-5,-5
77,-5,4
78,4,-5
79,2,7
80,5,-5
81,-2,-6
82,-6,4
83,-5,5
84,-3,-6
85,4,2
86,6,-4
87,-4,6
88,-2,-7
89,6,-5
90,4,3
91,7,1
92,2,6
93,-3,7
94,-7,4
95,-5,-6
96,-7,3
97,3,6
98,6,-2
99,7,-2
100,-5,-4
101,-7,2
102,7,2
103,-4,7
104,-4,-2
105,-2,-8
106,7,-5
107,-2,-9
108,-6,-6
109,-3,-8
110,1,8
111,-8,4
112,1,-6
113,-6,-4
114,7,-3
115,-3,8
116,4,4
117,-7,-6
118,-2,8
119,-6,-7
120,-7,1
121,-1,8
122,3,7
123,-7,0
124,-5,-2
125,-5,7
126,-3,9
127,-6,-8
128,8,-2
129,5,-6
130,-2,9
131,1,9
132,-3,10
133,7,-6
134,-9,4
135,-2,-10
136,5,2
137,5,4
138,-7,5
139,7,-7
140,-8,5
141,-8,6
142,-2,-11
143,4,7
144,0,9
145,-10,4
146,-9,6
147,-4,-8
148,8,1
149,-1,-9
150,-2,1
151,-1,-7
152,9,1
153,3,8
154,1,10
155,-4,9
156,-7,-7
157,-11,4
158,-6,2
159,-4,-9
160,6,-7
161,8,-7
162,-1,-10
163,-2,-12
164,7,-8
165,-3,3
166,-5,9
167,7,0
168,-6,9
169,-7,-8
170,8,-1
171,-2,-13
172,0,-7
173,1,11
174,9,-1
175,-8,2
176,-8,1
177,4,5
178,1,-7
179,-9,1
180,7,-4
181,-7,9
182,-2,-14
183,9,-2
184,-6,8
185,2,-6
186,-12,4
187,2,9
188,10,1
189,4,8
190,8,-4
191,9,-4
192,-11,5
193,-8,-6
194,5,8
195,6,4
196,-5,10
197,-10,5
198,8,2
199,0,-10
200,6,5
201,6,-8
202,-9,2
203,-5,11
204,-7,-5
205,9,-5
206,-5,12
207,10,-4
208,-2,-15
209,-10,1
210,7,4
211,-5,13
212,3,9
213,-10,2
214,-1,-13
215,-10,0
216,-7,-4
217,0,-11
218,-13,4
219,-1,-12
220,-2,-16
221,6,-9
222,2,11
223,8,-5
224,-3,-14
225,9,0
226,-4,-14
227,8,3
228,-8,-8
229,9,-6
230,-6,11
231,8,4
232,-6,-9
233,6,-10
234,10,-6
235,10,-3
236,9,4
237,-12,3
238,1,12
239,5,5
240,10,-1
241,6,8
242,6,9
243,10,4
244,-11,0
245,2,-7
246,-12,5
247,-11,-1
248,-3,11
249,-9,-8
250,4,9
251,7,-10
252,-3,-12
253,6,-11
254,-4,13
255,6,10
256,-7,10
257,0,-13
258,11,1
259,-8,-9
260,5,-10
261,-6,-3
262,-1,-16
263,-4,14
264,-8,7
265,8,-10
266,-12,-1
267,9,-10
268,-1,-17
269,11,-1
270,2,12
271,-6,13
272,-11,2
273,-1,-1
274,7,-11
275,-10,-8
276,11,-2
277,0,-8
278,-12,2
279,2,13
280,-4,11
281,10,-7
282,-5,14
283,-12,0
284,11,-4
285,11,-7
286,-5,-9
287,-3,13
288,-9,-7
289,8,-11
290,-11,-8
291,-4,-10
292,7,10
293,-1,-18
294,-4,-11
295,-7,13
296,6,11
297,-11,-7
298,11,2
299,12,2
300,-3,14
301,8,-12
302,0,-18
303,0,-14
304,-2,14
305,5,11
306,5,-9
307,-13,0
308,9,-9
309,7,-9
310,1,-18
311,-11,-6
312,-7,12
313,-11,6
314,-9,-9
315,1,-14
316,-12,-2
317,9,3
318,-11,-9
319,-11,-5
320,-8,9
321,3,-7
322,-2,15
323,3,11
324,2,14
325,3,12
326,3,14
327,7,9
328,-14,0
329,-2,16
330,-2,11
331,7,11
332,-4,-13
333,10,-10
334,6,12
335,1,14
336,6,6
337,11,4
338,1,15
339,11,-3
340,2,15
341,4,11
342,0,-19
343,-12,-5
344,11,-6
345,0,-17
346,11,0
347,11,5
348,0,15
349,-13,2
350,10,-9
351,-14,4
352,-12,-7
353,-15,0
354,-5,-13
355,-2,-18
356,-15,1
357,-11,-10
358,10,3
359,7,5
360,5,12
361,12,-3
362,-1,-15
363,12,-1
364,6,13
365,-14,-1
366,-2,-19
367,-3,16
368,-8,12
369,1,-11
370,12,-6
371,-2,-20
372,-9,12
373,6,-12
374,11,3
375,-9,11
376,-8,13
377,12,0
378,8,-13
379,-1,-20
380,-5,-14
381,-9,10
382,7,13
383,-11,-11
384,13,-3
385,4,14
386,-13,-7
387,-9,13
388,-5,-11
389,-12,-9
390,-7,-1
391,9,-13
392,9,-12
393,-2,-21
394,2,16
395,-3,-19
396,-11,-12
397,-13,-6
398,2,17
399,1,-17
400,-11,-13
401,-12,-4
402,-4,16
403,-2,12
404,12,3
405,8,-14
