number,x,y
1,0,0
2,0,1
3,1,1
4,0,2
5,0,-1
6,0,3
7,-1,-1
8,2,1
9,0,4
10,-1,0
11,1,4
12,-1,3
13,2,2
14,2,3
15,3,1
16,3,0
17,0,5
18,3,2
19,3,3
20,-2,0
21,-3,0
22,4,0
23,-1,-2
24,1,5
25,1,0
26,2,5
27,1,6
28,3,-1
29,0,-2
30,0,-3
31,1,7
32,3,4
33,-1,4
34,2,6
35,-4,0
36,-2,-1
37,1,-1
38,2,7
39,-2,3
40,-4,1
41,0,-4
42,1,8
43,-1,5
44,-2,-2
45,0,8
46,-2,-3
47,0,-5
48,4,3
49,-2,5
50,3,-2
51,1,-4
52,5,0
53,-3,5
54,4,2
55,-2,-4
56,-1,6
57,-3,-1
58,-2,6
59,0,6
60,-3,-3
61,-2,7
62,-4,-1
63,5,3
64,-1,-4
65,0,-6
66,2,-4
67,5,1
68,3,6
69,-2,2
70,-5,1
71,3,7
72,-1,-5
73,4,-2
74,5,-1
75,5,2
76,3,8
77,3,-4
78,1,9
79,4,-3
80,-4,-3
81,-5,-1
82,-2,8
83,-3,8
84,-5,2
85,-6,1
86,1,-5
87,-2,9
88,-3,9
89,6,2
90,-7,1
91,-7,0
92,-7,-1
93,-6,-1
94,-8,-1
95,-5,-2
96,-7,2
97,-8,1
98,4,8
99,-9,-1
100,3,-5
101,2,9
102,3,9
103,-4,-4
104,5,-3
105,5,4
106,-10,-1
107,0,-7
108,4,7
109,4,-5
110,6,0
111,-7,-2
112,-9,-2
113,3,10
114,1,-7
115,5,8
116,-1,7
117,1,-8
118,0,9
119,1,-9
120,6,8
121,-1,-7
122,5,-4
123,-9,-3
124,6,3
125,3,-6
126,6,-4
127,-8,-2
128,-4,9
129,1,10
130,1,11
131,1,12
132,-4,10
133,7,-4
134,2,-9
135,7,0
136,-10,-2
137,6,-5
138,7,1
139,6,-3
140,0,-9
141,-4,8
142,-8,2
143,3,11
144,6,-1
145,-11,-2
146,0,-10
147,2,-6
148,6,-6
149,6,4
150,-9,-4
151,8,-4
152,-10,0
153,2,12
154,7,-5
155,8,-3
156,-10,1
157,3,12
158,-9,-5
159,1,13
160,-9,2
161,9,-4
162,-3,-4
163,-10,2
164,-3,7
165,10,-4
166,-9,-6
167,-4,11
168,2,13
169,1,14
170,6,9
171,5,-2
172,-3,11
173,-3,-5
174,3,-7
175,7,3
176,-5,-4
177,-11,-1
178,-1,-10
179,-6,-4
180,-11,2
181,-9,3
182,1,15
183,-10,-5
184,-12,2
185,8,-2
186,2,14
187,-6,-5
188,11,-4
189,3,-9
190,-3,12
191,11,-5
192,-8,-6
193,5,9
194,7,2
195,-4,12
196,-9,-7
197,-3,3
198,-5,11
199,11,-3
200,5,10
201,8,1
202,-6,11
203,-11,-3
204,1,16
205,0,16
206,0,11
207,-2,11
208,2,15
209,-12,1
210,12,-4
211,-13,1
212,5,-5
213,2,-10
214,-5,-5
215,5,-6
216,4,-7
217,-12,-2
218,-13,2
219,-5,-6
220,4,11
221,-10,-6
222,0,17
223,5,5
224,-14,2
225,12,-5
226,2,16
227,7,-6
228,7,9
229,0,15
230,12,-3
231,-5,10
232,-4,2
233,-11,3
234,-6,12
235,-2,-10
236,-14,3
237,-12,3
238,12,-2
239,6,10
240,-10,-7
241,-11,-6
242,0,14
243,-15,3
244,13,-2
245,-9,-8
246,11,-2
247,-12,-1
248,-5,-7
249,-2,-7
250,6,7
251,-12,0
252,-6,-7
253,-13,-1
254,8,0
255,-7,-6
256,1,17
257,-4,7
258,-12,4
259,-5,8
260,7,-7
261,14,-2
262,13,-5
263,11,-1
264,-10,-8
265,-15,4
266,13,-1
267,0,12
268,-14,-1
269,4,-8
270,10,-2
271,15,-2
272,8,-7
273,-11,4
274,3,16
275,3,13
276,-16,4
277,-1,17
278,-9,-9
279,-1,-11
280,-10,-9
281,6,-7
282,-15,5
283,2,-11
284,6,11
285,12,-6
286,5,-8
287,-1,18
288,-17,4
289,-15,-1
290,7,11
291,4,16
292,-17,3
293,-10,-10
294,-11,-4
295,14,-3
296,15,-1
297,16,-2
298,8,-8
299,7,4
300,-7,11
301,4,-9
302,3,-11
303,-10,-11
304,-17,2
305,8,-6
306,-11,5
307,-14,4
308,3,15
309,3,-10
310,-12,-4
311,1,18
312,4,13
313,-11,-10
314,-1,16
315,4,14
316,13,0
317,9,1
318,9,-7
319,-1,19
320,-2,19
321,-15,6
322,8,11
323,-3,13
324,8,9
325,-3,19
326,5,16
327,9,9
328,-2,-9
329,3,-12
330,-9,-11
331,-13,4
332,-9,-12
333,3,-13
334,-11,-7
335,-18,2
336,8,12
337,-15,7
338,4,17
339,4,-12
340,6,12
341,9,-8
342,2,-12
343,9,11
344,-11,-8
345,-2,20
346,10,-5
347,14,0
348,9,-9
349,9,2
350,-9,-13
351,13,1
352,15,0
353,-11,-11
354,-14,6
355,8,13
356,-19,2
357,3,-14
358,-15,8
359,-1,11
360,9,13
361,-17,5
362,9,12
363,0,-11
364,-16,-1
365,9,10
366,-15,-2
367,-8,-8
368,-12,-10
369,-11,-12
370,4,-13
371,-15,-3
372,8,14
373,13,-6
374,-2,17
375,-16,7
376,-1,-12
377,-12,-8
378,6,16
379,7,16
380,-15,9
381,-19,1
382,16,-3
383,8,4
384,-10,-13
385,-15,-4
386,-18,4
387,14,-6
388,-10,5
389,9,4
390,0,19
391,-13,-4
392,2,17
393,-9,-14
394,-6,13
395,-4,19
396,9,8
397,-2,21
398,-15,-5
399,-16,-5
400,14,-4
401,-16,9
402,17,-3
403,-12,-9
404,14,1
405,16,0
406,-1,21
407,-3,17
408,-10,3
409,4,18
410,-2,22
411,-15,10
412,-8,-14
413,14,-7
414,4,19
415,8,8
416,-8,-13
417,-3,21
418,-4,5
419,-7,12
420,3,19
421,3,20
422,10,10
423,14,-8
424,-9,-15
425,5,-13
426,10,8
427,0,21
428,-8,11
429,-16,5
430,4,20
431,-19,0
432,-19,3
433,-2,23
434,-9,-16
435,9,-10
436,0,22
437,-19,4
438,6,-13
439,-16,-4
440,-20,4
441,-2,24
442,10,13
443,-6,14
444,7,15
445,-12,-12
446,-9,-17
447,-10,-16
448,4,21
449,-19,-1
450,-7,13
451,-8,13
452,-13,-12
453,10,-8
454,-17,6
455,5,-12
456,-1,23
457,-1,24
458,5,20
459,-8,-17
460,-3,24
461,17,0
462,-2,25
463,10,-9
464,16,-4
465,-8,14
466,-1,-13
467,-3,22
468,-3,-10
469,-7,-17
470,-6,-17
471,11,10
472,15,-7
473,-9,13
474,-1,20
475,-5,-17
476,9,7
477,-11,-16
478,10,-10
479,6,-12
480,17,1
481,-12,-16
482,18,0
483,-4,-10
484,-20,1
485,-16,-6
486,-17,-6
487,9,14
488,-19,5
489,-18,6
490,18,-1
491,-3,20
492,-17,7
493,9,5
494,-14,10
495,-4,21
496,-12,-15
497,18,-2
498,17,2
499,6,17
500,-4,20
501,-13,10
502,-11,-17
503,-17,8
504,-18,-6
505,-4,22
506,8,3
507,7,7
508,-19,-6
509,-12,-5
510,-13,-13
511,11,9
512,-20,2
513,15,-8
514,7,-12
515,-21,4
516,10,4
517,-9,-18
518,9,6
519,15,-6
520,6,-14
521,-4,23
522,-15,11
523,-16,-7
524,-5,23
525,15,-9
526,-19,-7
527,16,-8
528,2,-14
529,-20,-1
530,17,3
531,-7,-18
532,-13,-14
533,0,24
534,-5,-16
535,10,14
536,-21,5
537,-19,-8
538,-20,-8
539,-20,-9
540,16,-7
541,-21,-8
542,-17,-7
543,-17,-8
544,0,-13
545,17,-8
546,19,-1
547,11,14
548,-4,24
549,12,9
550,-4,-17
551,-6,23
552,-19,-2
553,-12,-17
554,-12,-18
555,6,18
556,-8,15
557,11,-8
558,-21,1
559,-5,21
560,-5,19
561,19,0
562,-16,11
563,-21,2
564,-14,-13
565,-9,12
566,16,-9
567,-22,-8
568,-22,2
569,-22,-7
570,-21,6
571,18,2
572,0,25
573,19,-2
574,-6,8
575,-20,-10
576,-21,-10
577,-12,10
578,-22,3
579,15,-5
580,-13,-18
581,5,-14
582,-17,-4
583,11,11
584,-6,22
585,-16,-8
586,18,3
587,-5,-18
588,20,-2
589,-9,14
590,-3,25
591,11,8
592,9,15
593,-6,24
594,-23,-7
595,6,20
596,-5,-19
597,-13,-11
598,20,0
599,-10,14
600,6,-15
601,2,19
602,-3,26
603,-4,26
604,-5,-20
605,-19,-10
606,20,1
607,-4,13
608,19,3
609,19,-3
610,-6,-20
611,2,-15
612,21,0
613,7,-14
614,-18,7
615,-12,-19
616,-2,26
617,-4,-18
618,1,24
619,-19,7
620,-20,5
621,-6,21
622,16,-10
623,-23,3
624,17,-9
625,18,-8
626,-10,12
627,18,-9
628,-20,-11
629,-6,-21
630,-4,27
631,21,-1
632,-22,-9
633,3,21
634,-4,-11
635,-1,25
636,21,1
637,-11,12
638,-3,27
639,17,-10
640,-22,-6
641,7,20
642,7,21
643,-1,26
644,8,-14
645,10,-11
646,-9,15
647,-19,-3
648,-13,-16
649,-4,28
650,16,1
651,-2,-11
652,-17,9
653,-19,-5
654,-6,20
655,-7,14
656,5,21
657,13,9
658,-21,-11
659,-4,-19
660,-4,29
661,-12,-20
662,-6,-16
663,-23,4
664,22,0
665,8,21
666,-20,6
667,-16,12
668,6,-16
669,-23,2
670,20,2
671,-21,-12
672,-21,7
673,21,-2
674,-21,-13
675,1,25
676,-20,7
677,-3,-18
678,10,7
679,-12,-21
680,11,7
681,-3,29
682,22,-1
683,-3,30
684,7,19
685,-7,24
686,-6,-18
687,-7,25
688,20,3
689,7,-16
690,-23,5
691,-19,8
692,4,22
693,5,22
694,1,26
695,19,-9
696,11,15
697,-10,15
698,-3,31
699,1,22
700,23,-1
701,8,16
702,12,-8
703,-4,30
704,-5,14
705,-6,15
706,1,27
707,-15,12
708,-10,16
709,-3,-19
710,8,-16
711,-18,-10
712,-2,31
713,-2,29
714,-24,4
715,-5,26
716,8,19
717,18,-10
718,24,-1
719,-24,-7
720,21,3
721,9,-14
722,-22,6
723,19,-4
724,-8,25
725,-7,23
726,17,-11
727,11,-11
728,9,16
729,20,-3
730,-17,12
731,16,-11
732,1,28
733,-6,26
734,19,-8
735,23,-2
736,-8,23
737,-22,7
738,14,2
739,-7,-21
740,20,-4
741,8,20
742,6,21
743,16,-12
744,0,28
745,3,-15
746,-5,-21
747,-11,-21
748,20,-8
749,-13,-17
750,-11,11
751,20,-5
752,-13,-20
753,-14,-20
754,-14,-21
755,-22,-13
756,5,-16
757,-20,-2
758,21,-5
759,4,-14
760,-24,3
761,10,-12
762,-13,-21
763,-2,32
764,-14,-22
765,21,4
766,-17,-9
767,-5,28
768,20,-6
769,12,15
770,11,4
771,-15,-21
772,7,17
773,-1,31
774,-21,-14
775,-23,-9
776,-21,-2
777,-8,26
778,1,-13
779,-9,23
780,12,16
781,-4,-21
782,-10,17
783,-15,-22
784,-18,12
785,-24,-9
786,-15,-23
787,3,22
788,-24,-10
789,8,18
790,-18,-4
791,-16,-22
792,-10,-21
793,0,29
794,9,18
795,-15,-24
796,-11,15
797,21,-6
798,-24,-11
799,9,-16
800,22,-5
801,-9,25
802,10,-13
803,2,26
804,-21,8
805,-8,16
806,-23,-13
807,-4,31
808,-21,9
809,-25,-9
810,2,-16
811,-21,-6
812,11,-12
813,1,29
814,-3,32
815,-1,32
816,-21,-15
817,2,28
818,21,-8
819,10,-16
820,-22,-14
821,-25,-10
822,13,16
823,24,0
824,18,-11
825,2,29
826,-8,24
827,19,-7
828,-6,28
829,-14,12
830,-12,15
831,-4,32
832,11,-13
833,-14,-23
834,-24,-8
835,-14,-14
836,-26,-9
837,-15,-14
838,21,2
839,23,-3
840,-18,11
841,-4,-22
842,-3,28
843,-4,33
844,-3,-22
845,-10,-20
846,-18,9
847,15,1
848,-14,13
849,24,-3
850,-15,-25
851,-1,30
852,-23,7
853,-23,8
854,15,-10
855,-25,3
856,22,2
857,-5,29
858,22,-4
859,-10,25
860,3,-16
861,-25,2
862,-5,30
863,-10,24
864,18,-12
865,-5,33
866,-11,25
867,15,2
868,-16,-25
869,-21,-3
870,15,-12
871,-15,-26
872,22,-8
873,-25,-11
874,15,3
875,13,17
876,-19,11
877,-26,3
878,-20,-6
879,-15,13
880,5,-17
881,5,-18
882,-23,-6
883,19,-12
884,-24,-13
885,-5,31
886,-12,25
887,3,26
888,-5,34
889,24,-4
890,-20,-12
891,0,30
892,11,6
893,0,32
894,-24,5
895,-12,-22
896,12,14
897,-20,-14
898,-3,33
899,-14,-19
900,-17,10
901,-25,-13
902,-26,-13
903,-13,-10
904,-24,7
905,13,15
906,-6,33
907,-8,17
908,25,-3
909,-10,26
910,-14,-25
911,-15,-19
912,-16,-19
913,-6,31
914,-8,22
915,12,6
916,-22,8
917,12,5
918,-18,13
919,22,-6
920,-23,9
921,-25,5
922,23,-4
923,-26,-12
924,-16,-24
925,26,-3
926,19,4
927,-16,-20
928,-25,-7
929,2,-17
930,1,23
931,-3,-23
932,-25,1
933,4,-16
934,-14,-26
935,2,21
936,13,18
937,-7,31
938,4,26
939,-26,-14
940,-27,3
941,-7,-19
942,-27,-14
943,-20,9
944,11,-16
945,-7,33
946,25,-4
947,14,-12
948,13,19
949,-17,-24
950,-21,-1
951,7,-17
952,-27,2
953,-13,25
954,-3,-21
955,-13,24
956,-3,-20
957,-8,18
958,18,-13
959,-26,-8
960,-13,-26
961,-12,-26
962,-7,34
963,-8,34
964,-9,17
965,14,15
966,23,0
967,17,-12
968,4,-17
969,12,-16
970,-4,-23
971,27,-3
972,-13,-23
973,13,-16
974,-4,34
975,-27,-12
976,10,18
977,23,-6
978,14,17
979,-8,31
980,19,-10
981,-25,0
982,-26,5
983,-12,24
984,6,22
985,-12,12
986,-23,10
987,-27,-8
988,-13,11
989,24,-5
990,-27,-15
991,-12,13
992,-28,-8
993,-17,-19
994,-2,-21
995,-16,-26
996,-4,35
997,4,27
998,-7,35
999,22,-7
1000,-7,36
