number,x,y
1,0,0
2,1,0
3,0,-1
4,2,0
5,-1,0
6,-2,0
7,2,-1
8,3,-1
9,1,-1
10,0,-2
11,1,1
12,0,-3
13,4,-1
14,-3,0
15,5,-1
16,-2,1
17,3,0
18,1,-2
19,-3,-1
20,5,0
21,4,-2
22,3,1
23,-2,2
24,-3,-2
25,-2,3
26,-3,2
27,-4,-2
28,-1,3
29,-3,1
30,1,2
31,-4,2
32,3,-2
33,6,0
34,-2,4
35,0,-4
36,0,-5
37,-4,-3
38,0,-6
39,-4,0
40,0,-7
41,-1,-7
42,-5,-3
43,4,-3
44,4,1
45,-1,-5
46,1,-7
47,1,3
48,7,0
49,-2,-7
50,6,1
51,1,-8
52,-2,-8
53,8,0
54,-5,2
55,7,1
56,8,-1
57,-3,-7
58,7,2
59,7,3
60,8,1
61,-4,-7
62,-2,-9
63,9,-1
64,1,-4
65,8,-2
66,-5,-2
67,-5,-7
68,1,-9
69,-5,-8
70,-5,-6
71,-3,4
72,8,-3
73,10,-1
74,9,-2
75,10,0
76,-3,-9
77,-3,5
78,-1,-9
79,11,-1
80,4,2
81,-5,-1
82,-3,6
83,5,-3
84,12,-1
85,4,3
86,8,3
87,-6,-3
88,-4,-9
89,-3,7
90,-7,-3
91,8,-4
92,2,-8
93,-2,7
94,-3,8
95,-3,9
96,-3,10
97,2,-7
98,-6,2
99,-7,-4
100,-6,-8
101,-2,8
102,-8,-4
103,8,4
104,-4,-10
105,-6,-9
106,4,4
107,8,2
108,-6,-1
109,8,-5
110,-4,-11
111,1,-10
112,-4,8
113,9,3
114,-6,-10
115,9,4
116,10,1
117,-3,-11
118,-4,5
119,-5,5
120,-4,10
121,9,-3
122,-1,-10
123,-2,10
124,-7,-10
125,-8,-10
126,-5,10
127,8,-6
128,-6,1
129,-9,-4
130,-3,11
131,-3,12
132,12,-2
133,-3,13
134,2,-10
135,-4,-12
136,-2,13
137,-4,12
138,12,0
139,-7,2
140,-7,3
141,2,-11
142,-2,14
143,-9,-3
144,-2,6
145,-2,15
146,8,-7
147,-2,12
148,-7,-1
149,-2,16
150,0,-10
151,-7,-8
152,-1,12
153,-1,15
154,-2,5
155,-3,15
156,12,-3
157,-1,14
158,9,-7
159,-6,-11
160,-9,-10
161,7,4
162,1,-11
163,-6,10
164,-8,3
165,-6,11
166,-3,14
167,-3,16
168,13,0
169,-6,-12
170,-7,-11
171,14,0
172,4,5
173,0,-11
174,-10,-10
175,-2,17
176,14,-1
177,15,0
178,-4,-13
179,-10,-3
180,-10,-11
181,1,-12
182,2,-12
183,-11,-10
184,-7,10
185,7,-5
186,14,-2
187,15,-2
188,3,-10
189,-5,-13
190,14,-3
191,0,15
192,2,-13
193,-5,8
194,-6,8
195,-10,-12
196,10,-7
197,4,6
198,-4,16
199,-2,18
200,-10,-13
201,-5,-14
202,-8,10
203,-5,16
204,-6,16
205,-10,-14
206,0,12
207,-10,-15
208,-11,-14
209,-1,18
210,3,-13
211,16,-2
212,-10,-4
213,-6,15
214,9,-4
215,11,0
216,-6,17
217,4,-10
218,16,0
219,11,-7
220,14,-4
221,-8,9
222,17,-2
223,17,0
224,-10,-16
225,-10,-2
226,9,-8
227,1,15
228,-8,4
229,18,0
230,8,-8
231,-7,17
232,-11,-9
233,1,16
234,1,-13
235,0,-12
236,-12,-14
237,-11,-3
238,-12,-15
239,18,1
240,17,-3
241,19,0
242,-5,17
243,-1,19
244,-9,9
245,-3,18
246,-9,3
247,-10,9
248,2,-14
249,2,-15
250,-9,4
251,17,-1
252,0,18
253,-10,3
254,-2,-11
255,4,7
256,-4,-14
257,0,19
258,-10,8
259,10,4
260,-12,-10
261,-7,16
262,-11,-13
263,15,1
264,10,5
265,3,-15
266,3,7
267,19,1
268,-11,9
269,-10,-5
270,-12,-9
271,4,8
272,19,2
273,-9,-16
274,-10,4
275,-10,-17
276,7,-8
277,-5,18
278,0,20
279,20,2
280,9,-9
281,-11,10
282,2,-16
283,0,14
284,19,3
285,19,4
286,-11,-16
287,19,5
288,-11,-8
289,-8,16
290,1,-15
291,-13,-10
292,13,-2
293,2,-17
294,15,-4
295,-10,-1
296,-10,-18
297,19,6
298,19,7
299,19,8
300,-4,18
301,-5,-15
302,11,5
303,-1,20
304,-8,-16
305,-14,-10
306,16,-4
307,0,21
308,-13,-15
309,0,17
310,-15,-10
311,18,-3
312,-12,9
313,-13,9
314,-4,19
315,-12,-16
316,-9,-18
317,3,-16
318,19,9
319,10,-9
320,-9,16
321,20,5
322,20,8
323,0,22
324,20,0
325,19,10
326,-16,-10
327,-11,-18
328,-8,-18
329,-4,20
330,-2,20
331,12,-7
332,-7,-18
333,20,-1
334,12,-8
335,-8,17
336,-9,17
337,-12,-17
338,-12,8
339,-15,-11
340,-13,-9
341,1,-17
342,0,23
343,-10,17
344,1,23
345,-10,-19
346,-13,-16
347,2,23
348,-17,-10
349,20,10
350,0,24
351,-10,16
352,4,-15
353,3,-17
354,-17,-11
355,-11,16
356,18,-4
357,-13,-8
358,2,24
359,3,23
360,12,-9
361,-11,-19
362,18,-5
363,2,25
364,-10,7
365,4,-17
366,-11,11
367,4,23
368,-1,23
369,-5,20
370,7,-9
371,-13,8
372,3,24
373,19,11
374,1,-18
375,-10,5
376,21,10
377,-14,9
378,-18,-11
379,-5,-16
380,0,25
381,5,23
382,5,-17
383,20,3
384,-5,-17
385,-14,-15
386,16,-5
387,21,8
388,2,26
389,-6,-17
390,19,-5
391,18,-6
392,-1,25
393,21,3
394,-10,18
395,-11,18
396,-12,16
397,20,11
398,-15,-15
399,0,-18
400,20,-5
401,-1,26
402,20,-6
