number,x,y
1,0,0
2,-1,0
3,-1,1
4,-1,2
5,-2,1
6,1,0
7,-3,1
8,0,2
9,0,1
10,-2,0
11,-2,-1
12,-3,-1
13,0,3
14,1,2
15,-4,-1
16,-3,2
17,-1,-1
18,-3,3
19,2,2
20,-4,2
21,1,-1
22,-5,2
23,-3,-2
24,-3,-3
25,-3,4
26,-2,2
27,-1,-2
28,-2,4
29,0,-2
30,0,4
31,-5,3
32,-5,4
33,0,5
34,-4,1
35,3,2
36,0,-3
37,-6,4
38,-2,-2
39,4,2
40,4,1
41,0,-4
42,4,3
43,3,1
44,0,-5
45,-5,5
46,-4,-3
47,4,0
48,-4,-4
49,1,-3
50,0,6
51,0,-6
52,2,0
53,1,-2
54,-5,-4
55,5,3
56,-6,3
57,2,-2
58,1,3
59,3,-2
60,5,0
61,6,0
62,-4,-5
63,-5,-1
64,5,4
65,0,-7
66,-1,-5
67,-6,2
68,6,-1
69,-4,5
70,6,-2
71,-5,1
72,1,5
73,-1,-3
74,3,3
75,-7,3
76,1,-5
77,2,-5
78,-8,3
79,-2,-5
80,5,5
81,-1,6
82,-4,-6
83,6,3
84,-1,5
85,-4,-7
86,6,1
87,-2,6
88,-5,-5
89,0,-8
90,-5,6
91,-8,4
92,-5,-2
93,-6,-4
94,-2,5
95,-1,-6
96,7,1
97,6,5
98,7,2
99,1,-8
100,3,-3
101,-9,3
102,-9,2
103,-6,5
104,-5,-7
105,7,3
106,-6,6
107,-7,4
108,-5,-8
109,7,4
110,-8,2
111,-6,7
112,-5,7
113,0,7
114,2,-3
115,5,-2
116,-6,-7
117,-1,-7
118,8,4
119,-6,-8
120,-3,-5
121,0,-9
122,-7,-8
123,-6,-3
124,8,1
125,-6,-9
126,-9,4
127,-7,6
128,0,-10
129,-8,5
130,-7,7
131,5,6
132,4,-1
133,1,-10
134,2,-10
135,3,-4
136,-6,-2
137,2,-8
138,-9,1
139,4,5
140,-9,0
141,7,-2
142,-5,-9
143,9,1
144,-7,-4
145,8,-2
146,5,7
147,0,8
148,10,1
149,6,7
150,3,-8
151,-7,-2
152,8,0
153,7,-3
154,-6,-10
155,-1,-8
156,-7,-5
157,-2,-8
158,3,-10
159,1,-11
160,4,6
161,9,-2
162,8,5
163,-7,-10
164,5,8
165,-1,8
166,-10,4
167,-8,-8
168,-6,-11
169,0,9
170,-6,-6
171,-10,0
172,-8,-10
173,-6,-12
174,-9,5
175,-9,6
176,10,-2
177,-5,-12
178,-7,-12
179,-11,4
180,3,-11
181,11,-2
182,-8,-2
183,-8,1
184,-10,-1
185,1,-6
186,4,-8
187,1,6
188,7,0
189,-11,3
190,11,1
191,-9,-2
192,7,7
193,-5,-13
194,2,5
195,2,-7
196,-12,4
197,-8,-11
198,-8,-12
199,1,9
200,11,-1
201,-9,-10
202,-5,-14
203,-8,6
204,-10,-10
205,-1,9
206,9,0
207,12,-1
208,-8,-9
209,1,10
210,3,-5
211,-9,7
212,-10,7
213,-6,8
214,-9,8
215,8,6
216,4,-10
217,-11,-10
218,-9,-12
219,9,4
220,-13,4
221,-12,5
222,10,0
223,5,9
224,-10,-9
225,-12,6
226,13,-1
227,13,0
228,4,-3
229,-6,-13
230,-12,-10
231,-12,-11
232,13,1
233,-9,9
234,-12,7
235,-13,3
236,-9,-13
237,9,6
238,11,-3
239,9,3
240,14,-1
241,14,-2
242,-1,-9
243,-14,4
244,-3,-8
245,-13,-11
246,12,-2
247,-15,4
248,-1,10
249,11,2
250,-10,8
251,-8,-13
252,-8,7
253,-14,5
254,6,-3
255,-8,-7
256,-9,10
257,9,-3
258,-1,11
259,10,4
260,11,4
261,15,-2
262,-3,-9
263,3,-6
264,-11,2
265,-11,1
266,-8,9
267,-11,-9
268,-11,-1
269,-12,3
270,4,-4
271,6,9
272,-14,6
273,6,8
274,4,-9
275,-10,9
276,-12,-12
277,-12,8
278,-2,10
279,-11,-12
280,-2,9
281,16,-2
282,2,10
283,-5,-15
284,-8,-14
285,-2,11
286,-10,5
287,12,2
288,7,-4
289,5,-8
290,-4,-15
291,4,-6
292,5,-10
293,11,5
294,-14,3
295,5,10
296,-14,2
297,6,-10
298,-9,11
299,-11,-8
300,-12,-1
301,-10,-12
302,-15,5
303,5,-7
304,-2,7
305,-13,7
306,16,-3
307,1,11
308,-15,2
309,-12,-8
310,5,-4
311,16,-1
312,-8,-15
313,-7,-15
314,-8,11
315,-7,9
316,-12,2
317,6,10
318,1,12
319,2,11
320,16,-4
321,12,4
322,-3,9
323,-16,2
324,7,-10
325,-11,-7
326,-15,6
327,-17,2
328,-12,-2
329,7,-9
330,5,11
331,1,-12
332,-3,11
333,-4,11
334,12,5
335,17,-4
336,-7,-16
337,6,11
338,17,-5
339,17,-6
340,-15,7
341,-9,12
342,-3,8
343,-10,-13
344,-16,4
345,-16,6
346,5,-5
347,11,6
348,17,-1
349,6,-11
350,1,-13
351,-5,-16
352,-4,12
353,2,-13
354,14,-3
355,-17,6
356,14,1
357,-2,12
358,9,7
359,-10,-14
360,-12,9
361,-10,11
362,14,2
363,15,-1
364,-4,13
365,-7,-14
366,13,5
367,14,5
368,-4,-12
369,-16,7
370,-4,14
371,3,-13
372,4,-11
373,18,-4
374,-13,-12
375,13,-2
376,19,-4
377,-5,-17
378,17,-7
379,-10,12
380,1,-14
381,-12,-13
382,17,0
383,-3,12
384,-10,10
385,-6,-16
386,-18,6
387,16,-7
388,-11,-6
389,-5,-18
390,0,-13
391,-3,14
392,0,10
393,-11,-14
394,-17,4
395,-3,13
396,18,-6
397,12,3
398,14,3
399,2,-14
400,19,-3
401,7,10
402,17,1
