"Time shift (s)","Autocorrelation of sum"
0.000000000E0,6.638244929E-1
3.000625000E-2,6.495131144E-1
6.000416600E-2,6.207333012E-1
9.000104100E-2,5.811123915E-1
1.200062500E-1,5.324551700E-1
1.499890620E-1,4.753741599E-1
1.700015620E-1,4.111939029E-1
1.900057290E-1,3.415081550E-1
2.200015620E-1,2.689171927E-1
2.500020830E-1,1.961857652E-1
2.800026040E-1,1.252572939E-1
3.100151040E-1,5.776479574E-2
3.400114580E-1,-5.452085012E-3
3.700072910E-1,-6.312676085E-2
3.901510410E-1,-1.147328964E-1
4.200046870E-1,-1.597212180E-1
4.500109370E-1,-1.978257884E-1
4.799989580E-1,-2.288734211E-1
5.001552080E-1,-2.530269991E-1
5.300838540E-1,-2.705997652E-1
5.600057290E-1,-2.817545224E-1
5.900177080E-1,-2.873827967E-1
6.201510410E-1,-2.887274717E-1
6.500130200E-1,-2.874124813E-1
6.800078120E-1,-2.847821648E-1
7.100098950E-1,-2.807756057E-1
7.400109370E-1,-2.764731244E-1
7.601354160E-1,-2.720994988E-1
7.801390620E-1,-2.694723576E-1
8.099994790E-1,-2.693842825E-1
8.399947910E-1,-2.719406760E-1
8.699937500E-1,-2.769084088E-1
8.899973950E-1,-2.833956351E-1
9.100109370E-1,-2.911941357E-1
9.399776040E-1,-2.991397573E-1
9.600072910E-1,-3.059525130E-1
9.800197910E-1,-3.118120841E-1
1.009998958E0,-3.161392496E-1
1.029998958E0,-3.183721906E-1
1.050033854E0,-3.178834047E-1
1.079995312E0,-3.134131840E-1
1.100004166E0,-3.031438124E-1
1.130016666E0,-2.869617629E-1
1.160010937E0,-2.644976138E-1
1.190009895E0,-2.374040213E-1
1.220016145E0,-2.047751791E-1
1.249984375E0,-1.662767942E-1
1.270012500E0,-1.218803185E-1
1.300004687E0,-7.128923791E-2
1.330001562E0,-1.568309413E-2
1.350010937E0,4.329676085E-2
1.370021874E0,1.049682590E-1
1.399990104E0,1.668884891E-1
1.419993749E0,2.261007364E-1
1.440009895E0,2.837123300E-1
1.470019270E0,3.383343993E-1
1.500017187E0,3.887572264E-1
1.530009895E0,4.331824683E-1
1.560105729E0,4.707731886E-1
1.589986458E0,5.017324741E-1
1.610019791E0,5.246806288E-1
1.640010416E0,5.387899755E-1
1.670013541E0,5.439405997E-1
1.699974999E0,5.408581500E-1
1.719993229E0,5.292187310E-1
1.749999479E0,5.082918882E-1
1.780005208E0,4.786200691E-1
1.810019270E0,4.406880890E-1
1.840001041E0,3.954977314E-1
1.869982291E0,3.450972954E-1
1.890015624E0,2.904838251E-1
1.919994270E0,2.327732104E-1
1.950020312E0,1.725237632E-1
1.980033854E0,1.117927798E-1
2.009976562E0,5.199384727E-2
2.030006770E0,-5.379252239E-3
2.059995833E0,-5.902699976E-2
2.079999999E0,-1.078213815E-1
2.109995833E0,-1.514426052E-1
2.139995833E0,-1.892922861E-1
2.159996354E0,-2.212506407E-1
2.189989583E0,-2.467209400E-1
2.209996874E0,-2.658567768E-1
2.230007812E0,-2.795165024E-1
2.259993229E0,-2.881417569E-1
2.280007812E0,-2.924142286E-1
2.309991145E0,-2.924227554E-1
2.339989062E0,-2.898390308E-1
2.370005729E0,-2.858027533E-1
2.400117708E0,-2.803853499E-1
2.430003124E0,-2.746074230E-1
2.459970833E0,-2.688933396E-1
2.479990624E0,-2.638725866E-1
2.509997395E0,-2.601398393E-1
2.540021874E0,-2.582749673E-1
2.560119791E0,-2.580885994E-1
2.590007812E0,-2.596868064E-1
2.620041666E0,-2.622742000E-1
2.650001562E0,-2.655297952E-1
2.670008333E0,-2.685673486E-1
2.700003645E0,-2.712521210E-1
2.729998958E0,-2.726423058E-1
2.760003124E0,-2.711164624E-1
2.790004687E0,-2.676682734E-1
2.810006249E0,-2.612741609E-1
2.839996874E0,-2.496523769E-1
2.870008333E0,-2.319202796E-1
2.900023958E0,-2.074263974E-1
2.930029687E0,-1.752104412E-1
2.960010416E0,-1.367773613E-1
2.990007812E0,-9.332013712E-2
3.010010416E0,-4.511902276E-2
3.039998437E0,8.949931937E-3
3.060021353E0,6.790872405E-2
3.090000520E0,1.300695533E-1
3.119994270E0,1.927009302E-1
3.150021353E0,2.524132104E-1
3.179996353E0,3.103250484E-1
3.199998437E0,3.662277743E-1
3.220016666E0,4.184083247E-1
3.249984374E0,4.638565128E-1
3.269999999E0,4.999117709E-1
3.300006770E0,5.263039586E-1
3.320008853E0,5.416280226E-1
3.350000520E0,5.460689900E-1
3.379997916E0,5.403618622E-1
3.410004166E0,5.239871314E-1
3.430014062E0,4.974373502E-1
3.450018749E0,4.615601704E-1
3.480001562E0,4.177639833E-1
3.500214582E0,3.684557787E-1
3.530026562E0,3.144195150E-1
3.559984895E0,2.581527931E-1
3.580021874E0,2.005211734E-1
3.610009895E0,1.425309125E-1
3.640018749E0,8.575478445E-2
3.670012499E0,3.219933800E-2
3.699982291E0,-1.682594971E-2
3.720005207E0,-6.127777566E-2
3.750017707E0,-1.017278645E-1
3.780020312E0,-1.374249527E-1
3.810013541E0,-1.681267114E-1
3.840034374E0,-1.940308131E-1
3.869982812E0,-2.154144529E-1
3.890008853E0,-2.324479130E-1
3.920010416E0,-2.446797299E-1
3.950006249E0,-2.529920163E-1
3.970015103E0,-2.583845998E-1
4.000004166E0,-2.612854514E-1
4.030000520E0,-2.622009111E-1
4.050004166E0,-2.618034645E-1
4.079995312E0,-2.605644141E-1
4.100005207E0,-2.593687649E-1
4.120027082E0,-2.582648839E-1
4.150020312E0,-2.578567123E-1
4.179982812E0,-2.577907636E-1
4.200011978E0,-2.585935514E-1
4.230023957E0,-2.605410468E-1
4.260018749E0,-2.630914208E-1
4.290236978E0,-2.660377620E-1
4.319987499E0,-2.685884955E-1
4.340021353E0,-2.702588259E-1
4.370015103E0,-2.711321870E-1
4.400004687E0,-2.708286344E-1
4.430016666E0,-2.677117947E-1
4.460007812E0,-2.609995487E-1
4.480014582E0,-2.519037688E-1
4.510121874E0,-2.398269259E-1
4.540017707E0,-2.228626697E-1
4.570005207E0,-1.997303948E-1
4.590014061E0,-1.715361825E-1
4.620017186E0,-1.387258150E-1
4.650007291E0,-1.023531181E-1
4.680026041E0,-6.146169408E-2
4.710016666E0,-1.527943844E-2
4.740008332E0,3.509017137E-2
4.770022916E0,8.930365703E-2
4.799994270E0,1.440487014E-1
4.820030728E0,1.983937497E-1
4.850002082E0,2.520882883E-1
4.870003645E0,3.038852536E-1
4.900141666E0,3.534205072E-1
4.930015624E0,3.985845577E-1
4.959997395E0,4.380342930E-1
4.980017707E0,4.709755654E-1
