"Time (s)","Rotation x (rad/s)","Rotation y (rad/s)","Rotation z (rad/s)"
1.982099573E2,2.221106052E0,-1.233947799E-1,1.869247705E-1
1.982399635E2,2.019520521E0,-1.148426682E-1,1.905899495E-1
1.982699614E2,1.703092337E0,-1.038470939E-1,1.857030392E-1
1.982999583E2,1.370781660E0,-9.285151958E-2,1.673770845E-1
1.983299635E2,1.141096234E0,-8.552113175E-2,1.673770845E-1
1.983599463E2,9.260717034E-1,-8.918632567E-2,1.514945775E-1
1.983799588E2,7.929030657E-1,-7.208210230E-2,1.270599663E-1
1.983999630E2,6.462954283E-1,-7.086037099E-2,1.185078546E-1
1.984299588E2,4.813618064E-1,-5.009094998E-2,1.270599663E-1
1.984599593E2,4.129449129E-1,-3.787364438E-2,1.136209369E-1
1.984899599E2,3.518583775E-1,-5.131268129E-2,8.796459436E-2
1.985199724E2,2.895501256E-1,-3.787364438E-2,8.307767659E-2
1.985499687E2,2.101376504E-1,-3.665191308E-2,5.986479297E-2
1.985799646E2,1.478293836E-1,-2.443460934E-2,4.276056588E-2
1.986001083E2,1.612684280E-1,-5.009094998E-2,4.276056588E-2
1.986299619E2,1.857030392E-1,-4.276056588E-2,2.321287990E-2
1.986599682E2,1.490511149E-1,-3.909537569E-2,-1.588249579E-2
1.986899562E2,1.954768747E-1,-3.543018550E-2,-5.864306539E-2
1.987101125E2,2.284636050E-1,-4.642575979E-2,-7.696902007E-2
1.987400411E2,1.136209369E-1,-3.054326214E-2,-6.719517708E-2
1.987699630E2,1.832595654E-2,-2.565634064E-2,-1.319468915E-1
1.987999750E2,-3.909537569E-2,-1.343903504E-2,-1.502728462E-1
1.988301083E2,-2.687807009E-2,-7.330383174E-3,-1.331686229E-1
1.988599703E2,-1.221730467E-2,2.443460934E-2,-1.331686229E-1
1.988899651E2,-5.986479297E-2,3.543018550E-2,-1.392772794E-1
1.989199672E2,-9.040805697E-2,3.176499158E-2,-9.651670605E-2
1.989499682E2,-1.881465018E-1,4.398229718E-2,-1.075122803E-1
1.989700927E2,-1.722639948E-1,4.031710699E-2,-1.075122803E-1
1.989900963E2,-1.588249654E-1,5.009094998E-2,-9.407325089E-2
1.990199567E2,-1.295034289E-1,5.864306539E-2,-6.352998316E-2
1.990499521E2,-1.478293836E-1,7.208210230E-2,-5.742133409E-2
1.990799510E2,-3.359758854E-1,7.452555746E-2,-6.230825558E-2
1.990999547E2,-4.667010605E-1,7.574728876E-2,-5.497787148E-2
1.991199682E2,-6.743952036E-1,6.963863969E-2,-5.497787148E-2
1.991499349E2,-1.045801282E0,8.796459436E-2,-2.199114859E-2
1.991699646E2,-1.210734963E0,8.307767659E-2,-1.466076635E-2
1.991899771E2,-1.417207360E0,9.162978828E-2,9.773843922E-3
1.992199562E2,-1.644449234E0,9.651670605E-2,2.199114859E-2
1.992399562E2,-1.847256541E0,1.075122803E-1,2.443460934E-2
1.992599911E2,-2.012190104E0,1.038470939E-1,2.565634064E-2
1.992899526E2,-2.285857677E0,1.185078546E-1,3.420845419E-2
1.993099614E2,-2.466673851E0,1.331686229E-1,2.687807009E-2
1.993399739E2,-2.696359158E0,1.624901593E-1,1.466076635E-2
1.993699682E2,-2.665815830E0,1.783726513E-1,1.099557430E-2
1.993999672E2,-2.602285862E0,1.771509200E-1,-1.221730490E-3
1.994299734E2,-2.419026375E0,1.576032341E-1,-2.443460980E-3
1.994599416E2,-2.219884396E0,1.673770845E-1,-1.466076635E-2
1.994799698E2,-2.064724445E0,1.514945775E-1,-1.343903504E-2
1.995099619E2,-1.749518037E0,1.368338168E-1,-2.443460934E-2
1.995399588E2,-1.254717231E0,1.014036313E-1,-4.886921961E-3
1.995599682E2,-9.663888216E-1,7.941248268E-2,-2.443460980E-3
1.995799791E2,-4.129449129E-1,4.398229718E-2,1.832595654E-2
1.996099474E2,6.438519955E-1,-2.321287990E-2,6.352998316E-2
1.996299510E2,1.233947754E0,-7.330382615E-2,8.918632567E-2
1.996499672E2,1.677435994E0,-1.075122803E-1,8.307767659E-2
1.996799765E2,2.062281132E0,-1.343903542E-1,6.719517708E-2
1.997099744E2,2.340835571E0,-1.637118906E-1,6.352998316E-2
1.997399672E2,2.585181713E0,-1.795943826E-1,5.131268129E-2
