"Time (s)","Rotation x (rad/s)","Rotation y (rad/s)","Rotation z (rad/s)"
1.348600432E2,5.158145905E0,-8.515461683E-1,2.083050489E0
1.348900390E2,3.543018401E-1,-4.239404798E-1,1.949881911E0
1.349102469E2,-2.324953079E0,-4.092797041E-1,1.582141042E0
1.349404458E2,-6.129421711E0,-4.043927789E-1,1.104444385E0
1.349700896E2,8.792794228E0,-4.642575979E-1,7.269296646E-1
1.350000255E2,6.282138348E0,-2.565633953E-1,5.546656251E-1
1.350300281E2,4.417777538E0,4.886921961E-3,4.410447180E-1
1.350600271E2,3.090978146E0,4.764748737E-2,3.225368559E-1
1.350900047E2,2.106263399E0,-1.466076635E-2,2.174680233E-1
1.351100328E2,1.606575608E0,-1.001819000E-1,1.624901593E-1
1.351400245E2,1.010371089E0,6.108652335E-3,9.040805697E-2
1.351600307E2,7.171558142E-1,7.330382615E-2,5.742133409E-2
1.351900203E2,4.398229718E-1,9.040805697E-2,4.886921868E-2
1.352100224E2,2.626720667E-1,3.176499158E-2,9.529497474E-2
1.352300771E2,1.685988009E-1,-9.773843922E-3,1.197295859E-1
1.352600041E2,2.028072625E-1,-2.467895597E-1,1.221730486E-1
1.352800224E2,2.211332172E-1,-2.272418737E-1,1.295034289E-1
1.353000245E2,2.638937831E-1,-1.771509200E-1,1.441642046E-1
1.353300245E2,3.164281845E-1,-1.282816976E-1,1.539380401E-1
1.353600484E2,4.349360466E-1,-2.211332172E-1,1.795943826E-1
1.353900562E2,5.229006410E-1,-4.667010605E-1,2.064724565E-1
1.354200312E2,5.937610269E-1,-4.422664344E-1,1.527163088E-1
1.354500479E2,5.913175344E-1,-3.005456924E-1,1.001819000E-1
1.354802224E2,5.412266254E-1,-2.076941878E-1,3.543018550E-2
1.355100370E2,4.654793143E-1,-1.698205322E-1,2.443460934E-2
1.355400166E2,3.787364662E-1,-1.514945775E-1,-1.343903504E-2
1.355600307E2,3.176499307E-1,-1.429424733E-1,-3.909537569E-2
1.355900375E2,2.394591719E-1,-8.063421398E-2,-5.742133409E-2
1.356200578E2,1.038470939E-1,0.000000000E0,-4.276056588E-2
1.356501047E2,7.208210230E-2,1.380555481E-1,-7.819075137E-2
1.356800416E2,1.221730490E-3,1.343903542E-1,-1.111774743E-1
1.357100135E2,-8.796459436E-2,1.233947799E-1,-1.160643995E-1
1.357309953E2,-1.087340117E-1,1.563815027E-1,-1.111774743E-1
1.357600458E2,-9.651670605E-2,2.822197378E-1,-1.209513173E-1
1.357900416E2,-3.665191587E-3,3.078760803E-1,-9.651670605E-2
1.358200401E2,8.552113175E-2,2.125810981E-1,-8.918632567E-2
1.358405474E2,1.539380401E-1,1.685988009E-1,-9.162978828E-2
1.358700818E2,2.321287990E-1,1.075122803E-1,-8.674286306E-2
1.358901739E2,2.577851415E-1,9.285151958E-2,-6.352998316E-2
1.359200245E2,3.420845270E-1,9.773843735E-2,-4.398229718E-2
1.359405713E2,4.153883755E-1,1.062905490E-1,-3.054326214E-2
1.359700172E2,4.935791194E-1,4.398229718E-2,-1.832595654E-2
1.359900594E2,4.557054639E-1,3.298672289E-2,-1.343903504E-2
1.360102094E2,5.094616413E-1,-6.108652335E-3,4.886921961E-3
1.360400349E2,3.701843321E-1,-2.199114859E-2,5.986479297E-2
1.360700489E2,4.349360466E-1,-6.108652335E-3,1.588249579E-2
1.361000573E2,3.494149148E-1,-2.321287990E-2,1.221730467E-2
1.361300448E2,3.433062732E-1,-6.841690838E-2,2.321287990E-2
1.361600088E2,1.136209369E-1,-5.009094998E-2,5.497787148E-2
1.361800442E2,-2.504547536E-1,-3.543018550E-2,5.864306539E-2
1.362100422E2,-1.252273798E0,5.375614017E-2,6.108652428E-2
1.362300812E2,-2.368935347E0,1.221730486E-1,3.054326214E-2
1.362600213E2,-4.283387184E0,1.221730486E-1,-1.001819000E-1
1.362900396E2,-8.109847069E0,1.637118906E-1,-2.907718420E-1
1.363200328E2,8.465370178E0,2.602286041E-1,-3.543018401E-1
1.363400359E2,-7.516086102E0,3.481931984E-1,-2.797762752E-1
1.363700271E2,-4.152661800E0,3.689626157E-1,-1.649336219E-1
1.363900286E2,-2.659707308E0,2.993239760E-1,-8.063421398E-2
1.364100463E2,-6.633996367E-1,2.138028294E-1,5.131268129E-2
1.364404474E2,2.206445217E0,8.185594529E-2,2.480112910E-1
1.364700583E2,3.014009237E0,1.832595654E-2,2.895501256E-1
1.365000192E2,3.200933933E0,6.108652335E-3,2.907718420E-1
1.365200333E2,3.392745495E0,-4.886921961E-3,2.993239760E-1
1.365403885E2,3.619987488E0,-4.276056588E-2,3.152064681E-1
1.365700312E2,3.576005220E0,-1.014036313E-1,3.005456924E-1
1.366000323E2,3.279124737E0,-2.260201424E-1,2.492330223E-1
1.366300432E2,2.763554335E0,-2.089159191E-1,1.832595766E-1
1.366600479E2,2.444682598E0,-1.905899495E-1,9.773843735E-2
1.366900416E2,2.095267773E0,-2.101376504E-1,3.665191308E-2
1.367200354E2,1.756848454E0,-2.834414840E-1,2.809980139E-2
1.367500458E2,1.315803766E0,-2.846632004E-1,-1.832595654E-2
1.367700818E2,1.054353356E0,-2.370157093E-1,-6.475171447E-2
1.368000364E2,6.939429045E-1,-1.685988009E-1,-9.529497474E-2
1.368300364E2,3.885102868E-1,-1.136209369E-1,-9.651670605E-2
1.368500406E2,2.724458873E-1,-1.270599663E-1,-1.172861308E-1
1.368800234E2,4.886921961E-3,-1.404990107E-1,-1.295034289E-1
1.369100448E2,-1.710422635E-1,-1.185078546E-1,-1.295034289E-1
