"Time (s)","Illuminance (lx)"
0.000000000E0,8.660000000E2
1.310286460E-1,8.640000000E2
2.459760410E-1,8.560000000E2
3.660859370E-1,8.640000000E2
4.859463540E-1,8.660000000E2
6.059500000E-1,8.560000000E2
7.260848950E-1,8.640000000E2
8.460614580E-1,8.560000000E2
9.659432290E-1,8.640000000E2
1.085959375E0,8.680000000E2
1.205964583E0,8.560000000E2
1.326085416E0,8.620000000E2
1.445954687E0,8.700000000E2
1.566015624E0,8.620000000E2
1.685967187E0,8.700000000E2
1.806090624E0,8.580000000E2
1.925964583E0,8.600000000E2
2.045956770E0,8.680000000E2
2.165960416E0,8.580000000E2
2.285946874E0,8.700000000E2
2.405947395E0,8.600000000E2
2.525961979E0,8.600000000E2
2.645941145E0,8.700000000E2
2.765957291E0,8.620000000E2
2.886081249E0,8.600000000E2
3.005962499E0,8.660000000E2
3.125935937E0,8.600000000E2
3.246069270E0,8.700000000E2
3.365963020E0,8.660000000E2
3.485970833E0,8.600000000E2
3.605965103E0,8.700000000E2
3.726090103E0,8.580000000E2
3.846078124E0,8.680000000E2
3.965958853E0,8.680000000E2
4.085935416E0,8.580000000E2
4.205944791E0,8.660000000E2
4.326080207E0,8.700000000E2
4.445960416E0,8.660000000E2
4.565935937E0,8.720000000E2
4.685950520E0,8.600000000E2
4.806065624E0,8.660000000E2
4.926075520E0,8.720000000E2
5.045959374E0,8.600000000E2
5.165947916E0,8.640000000E2
5.285953124E0,8.620000000E2
5.405972395E0,8.640000000E2
5.525948436E0,8.720000000E2
5.645949999E0,8.620000000E2
5.765961978E0,8.620000000E2
5.885938020E0,8.720000000E2
6.005938020E0,8.600000000E2
6.125955207E0,8.700000000E2
6.245965103E0,8.620000000E2
6.365942707E0,8.580000000E2
6.485957290E0,8.700000000E2
6.605972395E0,8.620000000E2
6.725963020E0,8.680000000E2
6.845939061E0,8.640000000E2
6.965942186E0,8.580000000E2
7.086074999E0,8.680000000E2
7.205967707E0,8.660000000E2
7.325947915E0,8.580000000E2
7.445948957E0,8.680000000E2
7.566087499E0,8.580000000E2
7.686078124E0,8.660000000E2
7.805942186E0,8.680000000E2
7.925954165E0,8.580000000E2
8.046121874E0,8.640000000E2
8.165986978E0,8.580000000E2
8.285944790E0,8.620000000E2
8.405958332E0,8.700000000E2
8.525954165E0,8.580000000E2
8.646093228E0,8.600000000E2
8.765943748E0,8.700000000E2
8.886076040E0,8.580000000E2
9.006081248E0,8.680000000E2
9.126057811E0,8.600000000E2
9.246058332E0,8.580000000E2
9.366088019E0,8.680000000E2
9.485958852E0,8.620000000E2
9.605941144E0,8.580000000E2
9.725967707E0,8.640000000E2
9.845954686E0,8.580000000E2
9.965965102E0,8.680000000E2
1.008594375E1,8.660000000E2
1.020608958E1,8.580000000E2
1.032595885E1,8.680000000E2
1.044596094E1,8.580000000E2
1.056594062E1,8.680000000E2
1.068608750E1,8.680000000E2
1.080608437E1,8.580000000E2
1.092609114E1,8.660000000E2
1.104593750E1,8.700000000E2
1.116594844E1,8.660000000E2
1.128597864E1,8.720000000E2
1.140597135E1,8.600000000E2
1.152593802E1,8.640000000E2
1.164594583E1,8.720000000E2
1.176608281E1,8.600000000E2
1.188595781E1,8.720000000E2
1.200594375E1,8.600000000E2
1.212609323E1,8.620000000E2
1.224610156E1,8.720000000E2
1.236594166E1,8.620000000E2
1.248594635E1,8.600000000E2
1.260595989E1,8.620000000E2
1.272596041E1,8.580000000E2
1.284595677E1,8.700000000E2
1.296594323E1,8.640000000E2
1.308594583E1,8.580000000E2
1.320596250E1,8.680000000E2
1.332595468E1,8.580000000E2
1.344594896E1,8.680000000E2
1.356596250E1,8.660000000E2
1.368626094E1,8.580000000E2
1.380606354E1,8.660000000E2
1.392594271E1,8.680000000E2
1.404596198E1,8.660000000E2
1.416609218E1,8.680000000E2
1.428593802E1,8.580000000E2
1.440596875E1,8.640000000E2
1.452595521E1,8.700000000E2
1.464596718E1,8.580000000E2
1.476609635E1,8.620000000E2
1.488595364E1,8.580000000E2
1.500596041E1,8.600000000E2
1.512609687E1,8.700000000E2
1.524593958E1,8.580000000E2
1.536595156E1,8.600000000E2
1.548597083E1,8.700000000E2
1.560605677E1,8.580000000E2
1.572610208E1,8.680000000E2
1.584595573E1,8.600000000E2
1.596598229E1,8.580000000E2
1.608593281E1,8.680000000E2
1.620594218E1,8.620000000E2
1.632594896E1,8.680000000E2
1.644596614E1,8.640000000E2
1.656594323E1,8.560000000E2
1.668594948E1,8.680000000E2
1.680595833E1,8.660000000E2
1.692596875E1,8.560000000E2
