"Time (s)","Illuminance (lx)"
0.000000000E0,2.595000000E3
1.302817710E-1,2.589000000E3
2.452171870E-1,2.565000000E3
3.652364580E-1,2.587000000E3
4.853125000E-1,2.593000000E3
6.053572910E-1,2.568000000E3
7.252218750E-1,2.587000000E3
8.452291660E-1,2.574000000E3
9.653250000E-1,2.584000000E3
1.085213020E0,2.604000000E3
1.205219791E0,2.576000000E3
1.325232812E0,2.580000000E3
1.445214062E0,2.604000000E3
1.565206250E0,2.582000000E3
1.685221874E0,2.608000000E3
1.805234895E0,2.589000000E3
1.925349999E0,2.582000000E3
2.045359374E0,2.608000000E3
2.165227083E0,2.593000000E3
2.285232812E0,2.606000000E3
2.405215624E0,2.597000000E3
2.525222916E0,2.580000000E3
2.645222916E0,2.603000000E3
2.765228645E0,2.601000000E3
2.885213020E0,2.578000000E3
3.005279166E0,2.603000000E3
3.125223437E0,2.576000000E3
3.245231770E0,2.591000000E3
3.365215103E0,2.603000000E3
3.485239583E0,2.576000000E3
3.605360937E0,2.585000000E3
3.725208853E0,2.580000000E3
3.845211457E0,2.584000000E3
3.965361457E0,2.604000000E3
4.085227603E0,2.582000000E3
4.205202082E0,2.580000000E3
4.325213541E0,2.603000000E3
4.445224478E0,2.574000000E3
4.565232812E0,2.599000000E3
4.685202082E0,2.587000000E3
4.805222916E0,2.574000000E3
4.925349478E0,2.597000000E3
5.045370832E0,2.593000000E3
5.165202603E0,2.574000000E3
5.285214582E0,2.597000000E3
5.405236978E0,2.578000000E3
5.525233332E0,2.597000000E3
5.645341145E0,2.604000000E3
5.765214582E0,2.582000000E3
5.885464582E0,2.595000000E3
6.005237499E0,2.578000000E3
6.125212499E0,2.589000000E3
6.245214582E0,2.601000000E3
6.365222915E0,2.578000000E3
6.485243228E0,2.585000000E3
6.605235936E0,2.601000000E3
6.725212499E0,2.580000000E3
6.845229686E0,2.604000000E3
6.965321353E0,2.580000000E3
7.085214582E0,2.578000000E3
7.205225519E0,2.604000000E3
7.325233853E0,2.584000000E3
7.445203644E0,2.601000000E3
7.565213019E0,2.587000000E3
7.685341665E0,2.570000000E3
7.805353124E0,2.601000000E3
7.925236457E0,2.591000000E3
8.045210936E0,2.570000000E3
8.165245311E0,2.597000000E3
8.285240103E0,2.570000000E3
8.405214582E0,2.585000000E3
8.525219269E0,2.587000000E3
8.645372394E0,2.559000000E3
8.765225519E0,2.576000000E3
8.885212498E0,2.565000000E3
9.005219790E0,2.578000000E3
9.125376040E0,2.591000000E3
