"Time (s)","Illuminance (lx)"
0.000000000E0,1.388000000E3
1.300588540E-1,1.394000000E3
2.458619790E-1,1.407000000E3
3.658619790E-1,1.392000000E3
4.858859370E-1,1.394000000E3
6.058583330E-1,1.407000000E3
7.258557290E-1,1.392000000E3
8.458765620E-1,1.407000000E3
9.658760410E-1,1.392000000E3
1.085854687E0,1.394000000E3
1.205872396E0,1.407000000E3
1.325867708E0,1.394000000E3
1.445884896E0,1.392000000E3
1.565856250E0,1.392000000E3
1.685872916E0,1.388000000E3
1.805874479E0,1.404000000E3
1.925846875E0,1.388000000E3
2.045880729E0,1.383000000E3
2.165877604E0,1.402000000E3
2.285891666E0,1.387000000E3
2.405852083E0,1.402000000E3
2.525857291E0,1.396000000E3
2.645871354E0,1.387000000E3
2.765886458E0,1.402000000E3
2.885998958E0,1.398000000E3
3.005860416E0,1.398000000E3
3.125860937E0,1.396000000E3
3.245874999E0,1.385000000E3
3.365855729E0,1.396000000E3
3.485864062E0,1.398000000E3
3.605886458E0,1.385000000E3
3.725882812E0,1.398000000E3
3.845854166E0,1.385000000E3
3.965990104E0,1.396000000E3
4.085872916E0,1.400000000E3
4.205881249E0,1.387000000E3
4.325864583E0,1.398000000E3
4.445872916E0,1.404000000E3
4.565865103E0,1.396000000E3
4.685876562E0,1.404000000E3
4.805858333E0,1.388000000E3
4.925872395E0,1.396000000E3
5.045870312E0,1.406000000E3
5.165869791E0,1.390000000E3
5.285856249E0,1.406000000E3
5.405863541E0,1.390000000E3
5.525873957E0,1.392000000E3
5.645848957E0,1.404000000E3
5.765868749E0,1.390000000E3
5.886012499E0,1.390000000E3
6.006006770E0,1.388000000E3
6.125849478E0,1.388000000E3
6.245874999E0,1.402000000E3
6.365870312E0,1.388000000E3
6.485879686E0,1.387000000E3
6.605857291E0,1.402000000E3
6.725883332E0,1.387000000E3
6.845870832E0,1.402000000E3
6.965881770E0,1.392000000E3
7.085847916E0,1.385000000E3
7.205864582E0,1.400000000E3
7.325882811E0,1.392000000E3
7.445881249E0,1.400000000E3
7.565985936E0,1.396000000E3
7.685868749E0,1.385000000E3
7.805873436E0,1.400000000E3
7.925883853E0,1.398000000E3
8.045862499E0,1.385000000E3
8.165864061E0,1.398000000E3
8.285897915E0,1.387000000E3
8.405997395E0,1.400000000E3
8.526003124E0,1.398000000E3
8.645871874E0,1.385000000E3
8.765876040E0,1.398000000E3
8.885849999E0,1.398000000E3
9.005853124E0,1.398000000E3
9.125863540E0,1.402000000E3
9.245889582E0,1.387000000E3
9.365859374E0,1.398000000E3
9.485861457E0,1.402000000E3
9.605877603E0,1.387000000E3
9.725874998E0,1.402000000E3
9.845884373E0,1.387000000E3
9.965861457E0,1.396000000E3
1.008586614E1,1.402000000E3
1.020588646E1,1.387000000E3
1.032585000E1,1.394000000E3
1.044593750E1,1.387000000E3
1.056587864E1,1.394000000E3
1.068588698E1,1.402000000E3
1.080585416E1,1.388000000E3
1.092586510E1,1.394000000E3
1.104587031E1,1.404000000E3
1.116588073E1,1.392000000E3
1.128585833E1,1.402000000E3
1.140589635E1,1.388000000E3
1.152587552E1,1.390000000E3
1.164585677E1,1.404000000E3
1.176586510E1,1.388000000E3
1.188600885E1,1.400000000E3
1.200601927E1,1.388000000E3
1.212585208E1,1.387000000E3
1.224586354E1,1.400000000E3
1.236587656E1,1.388000000E3
1.248588125E1,1.385000000E3
1.260584948E1,1.388000000E3
1.272587448E1,1.385000000E3
1.284587187E1,1.402000000E3
1.296600885E1,1.390000000E3
1.308585312E1,1.385000000E3
1.320585625E1,1.400000000E3
1.332587760E1,1.390000000E3
1.344587187E1,1.400000000E3
1.356596250E1,1.392000000E3
1.368587708E1,1.387000000E3
1.380587031E1,1.400000000E3
1.392587708E1,1.396000000E3
1.404585521E1,1.387000000E3
1.416586198E1,1.400000000E3
1.428588073E1,1.388000000E3
1.440587864E1,1.402000000E3
1.452602500E1,1.400000000E3
1.464586979E1,1.388000000E3
1.476587031E1,1.404000000E3
1.488585521E1,1.387000000E3
1.500598594E1,1.398000000E3
1.512587031E1,1.400000000E3
1.524588281E1,1.385000000E3
1.536584583E1,1.398000000E3
1.548588073E1,1.398000000E3
1.560587135E1,1.398000000E3
1.572587968E1,1.400000000E3
1.584585885E1,1.385000000E3
1.596586666E1,1.398000000E3
1.608588125E1,1.406000000E3
1.620587708E1,1.390000000E3
1.632585573E1,1.406000000E3
1.644586614E1,1.390000000E3
1.656587344E1,1.396000000E3
1.668588021E1,1.406000000E3
1.680587604E1,1.390000000E3
1.692586041E1,1.392000000E3
1.704587396E1,1.394000000E3
1.716587812E1,1.394000000E3
1.728585625E1,1.406000000E3
1.740586614E1,1.394000000E3
1.752587708E1,1.392000000E3
1.764589479E1,1.406000000E3
1.776586198E1,1.394000000E3
1.788587500E1,1.406000000E3
1.800587708E1,1.396000000E3
1.812584948E1,1.390000000E3
1.824585989E1,1.406000000E3
1.836587031E1,1.398000000E3
1.848586927E1,1.390000000E3
1.860584948E1,1.398000000E3
1.872585937E1,1.390000000E3
1.884587031E1,1.404000000E3
1.896600208E1,1.400000000E3
1.908585000E1,1.388000000E3
1.920587812E1,1.402000000E3
1.932586875E1,1.388000000E3
1.944600260E1,1.400000000E3
1.956600156E1,1.402000000E3
1.968587291E1,1.388000000E3
1.980586927E1,1.400000000E3
1.992588385E1,1.402000000E3
2.004586562E1,1.396000000E3
2.016586406E1,1.406000000E3
2.028587708E1,1.388000000E3
2.040587708E1,1.394000000E3
2.052586041E1,1.404000000E3
2.064587343E1,1.388000000E3
2.076589948E1,1.407000000E3
2.088602760E1,1.390000000E3
2.100585677E1,1.396000000E3
2.112587031E1,1.407000000E3
2.124587291E1,1.392000000E3
2.136594270E1,1.394000000E3
2.148587343E1,1.390000000E3
2.160586979E1,1.390000000E3
2.172587968E1,1.404000000E3
2.184586562E1,1.390000000E3
