"Time (s)","Illuminance (lx)"
0.000000000E0,2.069000000E3
1.305125000E-1,2.071000000E3
2.465666660E-1,2.069000000E3
3.664322910E-1,2.071000000E3
4.864453120E-1,2.071000000E3
6.064536450E-1,2.069000000E3
7.264880200E-1,2.069000000E3
8.465572910E-1,2.067000000E3
9.664348950E-1,2.069000000E3
1.086448437E0,2.069000000E3
1.206448437E0,2.069000000E3
1.326563541E0,2.072000000E3
1.446441666E0,2.074000000E3
1.566455729E0,2.069000000E3
1.686534375E0,2.065000000E3
1.806438541E0,2.067000000E3
1.927583333E0,2.065000000E3
2.046459895E0,2.065000000E3
2.166490104E0,2.065000000E3
2.286434895E0,2.061000000E3
2.406569270E0,2.061000000E3
2.526464583E0,2.059000000E3
2.646436458E0,2.063000000E3
2.766595312E0,2.065000000E3
2.886596353E0,2.061000000E3
3.006606249E0,2.061000000E3
3.126430208E0,2.061000000E3
3.246581770E0,2.057000000E3
3.366451041E0,2.057000000E3
3.486464583E0,2.059000000E3
3.606432291E0,2.059000000E3
3.726434895E0,2.057000000E3
3.846452603E0,2.057000000E3
3.966431770E0,2.057000000E3
4.086433332E0,2.057000000E3
4.206591145E0,2.057000000E3
4.326460937E0,2.057000000E3
4.446558853E0,2.059000000E3
4.566436978E0,2.057000000E3
4.686440103E0,2.057000000E3
4.806449999E0,2.059000000E3
4.927686457E0,2.061000000E3
5.046433332E0,2.061000000E3
5.166457811E0,2.059000000E3
5.286603124E0,2.059000000E3
5.406576561E0,2.055000000E3
5.526432811E0,2.055000000E3
5.646453124E0,2.057000000E3
5.766455207E0,2.059000000E3
5.886446353E0,2.059000000E3
6.006442707E0,2.059000000E3
6.126451040E0,2.059000000E3
6.246460415E0,2.057000000E3
6.366576040E0,2.055000000E3
6.486516665E0,2.055000000E3
6.606445832E0,2.057000000E3
6.726467186E0,2.055000000E3
6.846439061E0,2.057000000E3
6.966586978E0,2.059000000E3
7.086596353E0,2.057000000E3
7.206428124E0,2.057000000E3
7.326439061E0,2.072000000E3
7.446607290E0,2.065000000E3
7.566596353E0,2.057000000E3
7.686423957E0,2.061000000E3
7.806441665E0,2.061000000E3
7.927717707E0,2.059000000E3
8.046455728E0,2.053000000E3
8.166431249E0,2.055000000E3
8.286436978E0,2.053000000E3
8.406586978E0,2.063000000E3
8.526606769E0,2.063000000E3
8.646424478E0,2.053000000E3
8.766438019E0,2.042000000E3
8.886592707E0,2.025000000E3
9.006606248E0,2.015000000E3
9.126541144E0,2.014000000E3
9.246593748E0,2.008000000E3
9.366574998E0,1.991000000E3
9.486606769E0,1.972000000E3
9.606430207E0,1.962000000E3
9.726558332E0,1.964000000E3
9.846448957E0,1.974000000E3
9.966603644E0,1.979000000E3
1.008648021E1,1.981000000E3
1.020658542E1,1.987000000E3
1.032657135E1,2.012000000E3
1.044643177E1,2.006000000E3
1.056645781E1,1.991000000E3
1.068656719E1,1.983000000E3
1.080658229E1,1.985000000E3
1.092755573E1,1.981000000E3
1.104642864E1,1.987000000E3
1.116645000E1,1.995000000E3
1.128657656E1,1.991000000E3
1.140643021E1,1.993000000E3
1.152644166E1,1.996000000E3
1.164659739E1,2.010000000E3
1.176645260E1,2.044000000E3
1.188655885E1,2.034000000E3
1.200656927E1,2.015000000E3
1.212646614E1,2.012000000E3
1.224658177E1,2.002000000E3
1.236656094E1,2.046000000E3
1.248643802E1,2.093000000E3
1.260645260E1,2.095000000E3
1.272659844E1,2.091000000E3
1.284643437E1,2.078000000E3
1.296645104E1,2.078000000E3
1.308644791E1,2.072000000E3
1.320646198E1,2.084000000E3
1.332644739E1,2.078000000E3
1.344643958E1,2.072000000E3
1.356645312E1,2.063000000E3
1.368645468E1,2.015000000E3
1.380655468E1,1.976000000E3
1.392757448E1,2.034000000E3
1.404644271E1,2.074000000E3
1.416642760E1,2.086000000E3
1.428644427E1,2.088000000E3
1.440658698E1,2.088000000E3
1.452645260E1,2.088000000E3
1.464643541E1,2.086000000E3
1.476658021E1,2.084000000E3
1.488645156E1,2.076000000E3
1.500646094E1,2.074000000E3
1.512644479E1,2.078000000E3
1.524645208E1,2.078000000E3
1.536645104E1,2.076000000E3
1.548645260E1,2.074000000E3
1.560643281E1,2.071000000E3
1.572647500E1,2.072000000E3
1.584645052E1,2.095000000E3
1.596645989E1,2.099000000E3
1.608643281E1,2.099000000E3
1.620645260E1,2.084000000E3
1.632645260E1,2.076000000E3
1.644646510E1,2.071000000E3
1.656643802E1,2.052000000E3
1.668644271E1,2.038000000E3
1.680658958E1,2.040000000E3
1.692755937E1,2.053000000E3
1.704643906E1,2.095000000E3
1.716644531E1,2.095000000E3
1.728660260E1,2.101000000E3
1.740642708E1,2.120000000E3
1.752643125E1,2.122000000E3
1.764644218E1,2.061000000E3
1.776661823E1,2.029000000E3
1.788656146E1,2.008000000E3
1.800656406E1,1.974000000E3
1.812644323E1,1.976000000E3
1.824644948E1,1.976000000E3
1.836645364E1,2.008000000E3
1.848658698E1,1.981000000E3
1.860651198E1,1.981000000E3
1.872645833E1,1.981000000E3
1.884655416E1,1.985000000E3
1.896656250E1,1.987000000E3
1.908645052E1,1.991000000E3
1.920645208E1,1.993000000E3
1.932657708E1,1.993000000E3
1.944644427E1,1.991000000E3
1.956644896E1,1.991000000E3
1.968646146E1,1.991000000E3
1.980657604E1,2.025000000E3
1.992769479E1,2.052000000E3
2.004659843E1,2.055000000E3
2.016642291E1,2.053000000E3
2.028643229E1,2.057000000E3
2.040657031E1,2.063000000E3
2.052660885E1,2.091000000E3
2.064642552E1,2.086000000E3
2.076655729E1,2.074000000E3
2.088644479E1,2.052000000E3
2.100658333E1,2.050000000E3
2.112657187E1,2.048000000E3
2.124644739E1,2.048000000E3
