"Time (s)","Illuminance (lx)"
0.000000000E0,3.190000000E2
1.309234370E-1,3.190000000E2
2.458500000E-1,3.190000000E2
3.658619790E-1,3.190000000E2
4.858640620E-1,3.190000000E2
6.059875000E-1,3.190000000E2
7.258546870E-1,3.190000000E2
8.458651040E-1,3.210000000E2
9.658614580E-1,3.190000000E2
1.085854166E0,3.190000000E2
1.205997395E0,3.190000000E2
1.325828645E0,3.190000000E2
1.445837499E0,3.190000000E2
1.565854687E0,3.190000000E2
1.686001562E0,3.190000000E2
1.805981770E0,3.190000000E2
1.925838020E0,3.190000000E2
2.045863020E0,3.170000000E2
2.165854166E0,3.190000000E2
2.285834374E0,3.170000000E2
2.406003124E0,3.170000000E2
2.525864583E0,3.150000000E2
2.645862499E0,3.130000000E2
2.765835416E0,3.150000000E2
2.885842187E0,3.150000000E2
3.005858853E0,3.190000000E2
3.125861978E0,3.190000000E2
3.245984895E0,3.190000000E2
3.365980207E0,3.170000000E2
3.485849999E0,3.170000000E2
3.605866145E0,3.130000000E2
3.725841145E0,3.150000000E2
3.845989582E0,3.150000000E2
3.965865103E0,3.130000000E2
4.085870311E0,3.190000000E2
4.205852603E0,3.210000000E2
4.325842186E0,3.210000000E2
4.445997395E0,3.210000000E2
4.565839061E0,3.210000000E2
4.685973957E0,3.190000000E2
4.805996874E0,3.150000000E2
4.925870832E0,3.130000000E2
5.045840103E0,3.130000000E2
5.166082811E0,3.150000000E2
5.285992707E0,3.130000000E2
5.405986457E0,3.170000000E2
5.525839582E0,3.210000000E2
5.645839582E0,3.210000000E2
5.765993749E0,3.210000000E2
5.885999999E0,3.150000000E2
6.005840624E0,3.130000000E2
6.125853124E0,3.150000000E2
6.245974999E0,3.190000000E2
6.365857811E0,3.170000000E2
6.485833332E0,3.190000000E2
6.605854165E0,3.190000000E2
6.725868749E0,3.170000000E2
6.845991144E0,3.170000000E2
6.965972915E0,3.170000000E2
7.085844269E0,3.190000000E2
7.205980207E0,3.190000000E2
7.325870832E0,3.190000000E2
7.445849998E0,3.170000000E2
7.565847915E0,3.150000000E2
7.686003123E0,3.150000000E2
7.805948957E0,3.190000000E2
7.925844269E0,3.190000000E2
8.045851040E0,3.170000000E2
8.165859373E0,3.150000000E2
8.285853123E0,3.170000000E2
8.405841144E0,3.190000000E2
8.525848436E0,3.190000000E2
8.645897915E0,3.190000000E2
8.765979686E0,3.190000000E2
8.885989582E0,3.150000000E2
9.005998436E0,3.130000000E2
9.125867707E0,3.150000000E2
9.245840102E0,3.170000000E2
9.365847394E0,3.190000000E2
9.485854165E0,3.190000000E2
9.606002081E0,3.170000000E2
9.725843748E0,3.150000000E2
9.845866144E0,3.150000000E2
9.965868748E0,3.190000000E2
1.008586510E1,3.190000000E2
1.020584114E1,3.190000000E2
1.032584739E1,3.170000000E2
1.044585989E1,3.170000000E2
1.056590312E1,3.150000000E2
1.068598281E1,3.150000000E2
1.080585260E1,3.150000000E2
1.092585312E1,3.170000000E2
1.104584531E1,3.190000000E2
1.116584792E1,3.190000000E2
1.128585364E1,3.190000000E2
1.140587031E1,3.170000000E2
1.152584114E1,3.170000000E2
1.164584010E1,3.170000000E2
1.176599375E1,3.170000000E2
1.188585260E1,3.190000000E2
1.200583385E1,3.190000000E2
1.212584948E1,3.190000000E2
1.224596979E1,3.150000000E2
1.236598229E1,3.130000000E2
1.248584010E1,3.130000000E2
1.260591666E1,3.170000000E2
1.272585104E1,3.170000000E2
1.284585416E1,3.150000000E2
1.296585156E1,3.130000000E2
1.308596718E1,3.170000000E2
1.320585156E1,3.190000000E2
1.332586250E1,3.170000000E2
1.344583698E1,3.130000000E2
1.356584427E1,3.110000000E2
1.368600521E1,3.130000000E2
1.380586458E1,3.130000000E2
1.392584375E1,3.170000000E2
1.404585781E1,3.110000000E2
1.416585625E1,3.130000000E2
1.428583021E1,3.130000000E2
1.440584166E1,3.170000000E2
1.452587708E1,3.170000000E2
1.464585468E1,3.150000000E2
1.476583541E1,3.130000000E2
1.488584218E1,3.130000000E2
1.500599739E1,3.170000000E2
1.512596354E1,3.190000000E2
1.524583958E1,3.190000000E2
1.536585156E1,3.190000000E2
1.548586979E1,3.190000000E2
1.560586666E1,3.190000000E2
1.572583854E1,3.190000000E2
1.584584635E1,3.190000000E2
1.596584844E1,3.190000000E2
1.608587760E1,3.190000000E2
1.620584323E1,3.130000000E2
1.632584687E1,3.130000000E2
1.644599479E1,3.130000000E2
1.656586770E1,3.130000000E2
1.668598020E1,3.150000000E2
1.680599948E1,3.150000000E2
1.692592448E1,3.150000000E2
1.704587396E1,3.150000000E2
1.716605260E1,3.130000000E2
1.728584270E1,3.110000000E2
1.740585625E1,3.130000000E2
1.752583437E1,3.150000000E2
1.764586927E1,3.110000000E2
1.776599010E1,3.130000000E2
1.788596614E1,3.170000000E2
1.800583229E1,3.170000000E2
1.812585625E1,3.170000000E2
1.824599427E1,3.170000000E2
1.836586875E1,3.150000000E2
1.848598020E1,3.110000000E2
1.860585000E1,3.130000000E2
1.872584479E1,3.150000000E2
1.884585677E1,3.110000000E2
1.896584062E1,3.110000000E2
1.908585208E1,3.130000000E2
1.920601302E1,3.170000000E2
1.932586406E1,3.170000000E2
1.944597760E1,3.130000000E2
1.956599791E1,3.110000000E2
1.968584948E1,3.110000000E2
1.980599010E1,3.170000000E2
1.992583646E1,3.130000000E2
2.004585156E1,3.150000000E2
2.016585677E1,3.170000000E2
2.028603437E1,3.170000000E2
2.040583854E1,3.170000000E2
2.052585468E1,3.170000000E2
2.064586093E1,3.150000000E2
2.076597708E1,3.150000000E2
2.088598750E1,3.150000000E2
2.100585573E1,3.150000000E2
2.112586875E1,3.150000000E2
2.124584323E1,3.150000000E2
2.136597864E1,3.110000000E2
2.148596510E1,3.090000000E2
2.160585781E1,3.110000000E2
2.172584896E1,3.150000000E2
2.184584583E1,3.130000000E2
2.196585520E1,3.090000000E2
2.208586406E1,3.130000000E2
2.220584322E1,3.090000000E2
2.232586822E1,3.110000000E2
2.244599948E1,3.150000000E2
2.256601041E1,3.150000000E2
2.268584322E1,3.150000000E2
2.280599114E1,3.150000000E2
2.292596822E1,3.150000000E2
2.304586770E1,3.130000000E2
2.316596822E1,3.130000000E2
2.328585156E1,3.110000000E2
2.340585312E1,3.110000000E2
