"Time (s)","Illuminance (lx)"
0.000000000E0,1.189000000E3
1.308692710E-1,1.200000000E3
2.458067710E-1,1.191000000E3
3.669520830E-1,1.189000000E3
4.858333330E-1,1.200000000E3
6.058052080E-1,1.191000000E3
7.259411460E-1,1.187000000E3
8.458239580E-1,1.191000000E3
9.658322920E-1,1.187000000E3
1.085804166E0,1.198000000E3
1.205816666E0,1.191000000E3
1.325923437E0,1.185000000E3
1.445795833E0,1.198000000E3
1.565803646E0,1.185000000E3
1.685818750E0,1.198000000E3
1.805824479E0,1.193000000E3
1.925931771E0,1.185000000E3
2.045823958E0,1.198000000E3
2.165939062E0,1.195000000E3
2.285820833E0,1.198000000E3
2.405796354E0,1.195000000E3
2.525805729E0,1.185000000E3
2.645813541E0,1.198000000E3
2.765971875E0,1.197000000E3
2.885805729E0,1.183000000E3
3.005805729E0,1.195000000E3
3.125816666E0,1.185000000E3
3.245827604E0,1.197000000E3
3.367063541E0,1.197000000E3
3.485938541E0,1.185000000E3
3.605840624E0,1.195000000E3
3.725826041E0,1.183000000E3
3.845912499E0,1.193000000E3
3.965806770E0,1.197000000E3
4.085814583E0,1.185000000E3
4.205829166E0,1.193000000E3
4.325803124E0,1.198000000E3
4.445806770E0,1.193000000E3
4.565822395E0,1.198000000E3
4.685797395E0,1.185000000E3
4.805963541E0,1.193000000E3
4.925818749E0,1.198000000E3
5.045818749E0,1.185000000E3
5.165817187E0,1.193000000E3
5.285963541E0,1.189000000E3
5.405951562E0,1.195000000E3
5.525828124E0,1.202000000E3
5.645816666E0,1.189000000E3
5.765966145E0,1.193000000E3
5.885844270E0,1.202000000E3
6.005825520E0,1.193000000E3
6.125801041E0,1.202000000E3
6.245806770E0,1.191000000E3
6.366949478E0,1.193000000E3
6.485820312E0,1.204000000E3
6.605798957E0,1.193000000E3
6.725831770E0,1.202000000E3
6.845818749E0,1.191000000E3
6.965952603E0,1.191000000E3
7.085932291E0,1.202000000E3
7.205809374E0,1.191000000E3
7.325963020E0,1.189000000E3
7.445953124E0,1.189000000E3
7.565799999E0,1.189000000E3
7.685817707E0,1.200000000E3
7.805819270E0,1.189000000E3
7.925807811E0,1.187000000E3
8.045802603E0,1.198000000E3
8.165811457E0,1.183000000E3
8.285958853E0,1.197000000E3
8.405920311E0,1.189000000E3
8.525811978E0,1.185000000E3
8.645815103E0,1.197000000E3
8.765820832E0,1.189000000E3
8.885795832E0,1.195000000E3
9.005803644E0,1.189000000E3
9.125813019E0,1.183000000E3
9.245821353E0,1.197000000E3
9.366948436E0,1.191000000E3
9.485934374E0,1.183000000E3
9.605813019E0,1.197000000E3
9.725825519E0,1.181000000E3
9.845963019E0,1.197000000E3
9.965959894E0,1.193000000E3
1.008597500E1,1.183000000E3
1.020590885E1,1.197000000E3
1.032593073E1,1.195000000E3
1.044594323E1,1.197000000E3
1.056581614E1,1.195000000E3
1.068582760E1,1.183000000E3
1.080592292E1,1.195000000E3
1.092581458E1,1.195000000E3
1.104583906E1,1.181000000E3
1.116580104E1,1.195000000E3
1.128581198E1,1.183000000E3
1.140583958E1,1.193000000E3
1.152582135E1,1.195000000E3
1.164579635E1,1.183000000E3
1.176581719E1,1.191000000E3
1.188596719E1,1.183000000E3
1.200582292E1,1.191000000E3
1.212579687E1,1.197000000E3
1.224580469E1,1.183000000E3
1.236695312E1,1.191000000E3
1.248595416E1,1.197000000E3
1.260591927E1,1.189000000E3
1.272581719E1,1.197000000E3
1.284582187E1,1.183000000E3
1.296583958E1,1.189000000E3
1.308580833E1,1.197000000E3
1.320580989E1,1.183000000E3
1.332581927E1,1.195000000E3
1.344595260E1,1.181000000E3
1.356580468E1,1.185000000E3
1.368580781E1,1.195000000E3
1.380581406E1,1.183000000E3
1.392582239E1,1.185000000E3
1.404580312E1,1.197000000E3
1.416581042E1,1.187000000E3
1.428584271E1,1.198000000E3
1.440591979E1,1.187000000E3
1.452595468E1,1.185000000E3
1.464581094E1,1.198000000E3
1.476583073E1,1.187000000E3
1.488592604E1,1.197000000E3
1.500595468E1,1.187000000E3
1.512581458E1,1.183000000E3
1.524582187E1,1.197000000E3
1.536693177E1,1.187000000E3
1.548580885E1,1.183000000E3
1.560581979E1,1.189000000E3
1.572585468E1,1.183000000E3
1.584594948E1,1.197000000E3
1.596593802E1,1.191000000E3
1.608584010E1,1.183000000E3
1.620583437E1,1.195000000E3
1.632580052E1,1.183000000E3
1.644595625E1,1.195000000E3
1.656594323E1,1.191000000E3
1.668583698E1,1.181000000E3
1.680580104E1,1.195000000E3
1.692582552E1,1.195000000E3
1.704582135E1,1.193000000E3
1.716582552E1,1.195000000E3
1.728580416E1,1.183000000E3
1.740593802E1,1.195000000E3
1.752581875E1,1.197000000E3
1.764581823E1,1.185000000E3
1.776580156E1,1.198000000E3
1.788593646E1,1.185000000E3
1.800594635E1,1.193000000E3
1.812582500E1,1.198000000E3
1.824581094E1,1.185000000E3
1.836696198E1,1.193000000E3
1.848582552E1,1.198000000E3
1.860580260E1,1.191000000E3
1.872580416E1,1.198000000E3
1.884581562E1,1.185000000E3
1.896595156E1,1.189000000E3
1.908580781E1,1.198000000E3
1.920582812E1,1.185000000E3
1.932582187E1,1.200000000E3
1.944599427E1,1.187000000E3
1.956579948E1,1.189000000E3
1.968593437E1,1.200000000E3
1.980581770E1,1.187000000E3
1.992582552E1,1.187000000E3
2.004592708E1,1.189000000E3
2.016592500E1,1.187000000E3
2.028581302E1,1.200000000E3
2.040583020E1,1.189000000E3
2.052596562E1,1.185000000E3
2.064592343E1,1.198000000E3
2.076582500E1,1.183000000E3
2.088579843E1,1.197000000E3
2.100580989E1,1.189000000E3
2.112595364E1,1.183000000E3
2.124595104E1,1.197000000E3
2.136692916E1,1.193000000E3
2.148580364E1,1.197000000E3
2.160581041E1,1.191000000E3
2.172582135E1,1.183000000E3
2.184581927E1,1.195000000E3
2.196582031E1,1.193000000E3
2.208594166E1,1.183000000E3
