"Time (s)","Illuminance (lx)"
0.000000000E0,7.463000000E3
1.304041660E-1,7.476000000E3
2.454703120E-1,7.484000000E3
3.653515620E-1,7.550000000E3
4.853635410E-1,7.480000000E3
6.054833330E-1,7.484000000E3
7.253494790E-1,7.552000000E3
8.453494790E-1,7.470000000E3
9.653661450E-1,7.533000000E3
1.085503124E0,7.482000000E3
1.205454166E0,7.448000000E3
1.325352604E0,7.522000000E3
1.445411979E0,7.486000000E3
1.565332291E0,7.516000000E3
1.685352083E0,7.493000000E3
1.805355728E0,7.432000000E3
1.925359895E0,7.491000000E3
2.045341145E0,7.470000000E3
2.165494270E0,7.436000000E3
2.285473437E0,7.516000000E3
2.405357291E0,7.449000000E3
2.525588541E0,7.508000000E3
2.645508332E0,7.516000000E3
2.765360416E0,7.446000000E3
2.885367187E0,7.501000000E3
3.005483332E0,7.449000000E3
3.125478645E0,7.493000000E3
3.245366666E0,7.524000000E3
3.365370832E0,7.444000000E3
3.485594270E0,7.480000000E3
3.605356770E0,7.527000000E3
3.725360936E0,7.482000000E3
3.845365624E0,7.535000000E3
3.965348957E0,7.459000000E3
4.085494270E0,7.463000000E3
4.205360936E0,7.522000000E3
4.325380728E0,7.459000000E3
4.445576041E0,7.531000000E3
4.565514582E0,7.476000000E3
4.685368228E0,7.459000000E3
4.805333332E0,7.533000000E3
4.925387499E0,7.487000000E3
5.045360936E0,7.463000000E3
5.165364582E0,7.537000000E3
5.285342707E0,7.449000000E3
5.405496874E0,7.522000000E3
5.525359374E0,7.493000000E3
5.645507811E0,7.453000000E3
5.765340103E0,7.527000000E3
5.885353124E0,7.501000000E3
6.005479165E0,7.518000000E3
6.125530728E0,7.505000000E3
6.245345832E0,7.444000000E3
6.365358853E0,7.506000000E3
6.485358853E0,7.503000000E3
6.605500519E0,7.442000000E3
6.725354165E0,7.518000000E3
6.845499999E0,7.448000000E3
6.965363019E0,7.497000000E3
7.085373436E0,7.516000000E3
7.205349998E0,7.436000000E3
7.325503123E0,7.474000000E3
7.445357290E0,7.415000000E3
7.565521353E0,7.434000000E3
7.685369269E0,7.476000000E3
7.805360415E0,7.404000000E3
7.925367186E0,7.429000000E3
8.045451561E0,7.489000000E3
8.165490102E0,7.461000000E3
8.285359894E0,7.520000000E3
8.405367707E0,7.448000000E3
8.525344269E0,7.446000000E3
8.645496873E0,7.512000000E3
8.765364061E0,7.449000000E3
8.885367707E0,7.510000000E3
9.005509373E0,7.463000000E3
9.125359894E0,7.451000000E3
9.245375519E0,7.525000000E3
9.365426040E0,7.476000000E3
9.485343227E0,7.444000000E3
9.605354686E0,7.514000000E3
9.725367186E0,7.438000000E3
9.845516665E0,7.514000000E3
9.965347915E0,7.482000000E3
1.008535000E1,7.436000000E3
1.020550416E1,7.508000000E3
1.032537396E1,7.491000000E3
1.044534427E1,7.514000000E3
1.056535416E1,7.508000000E3
1.068535833E1,7.446000000E3
1.080538489E1,7.510000000E3
1.092534010E1,7.516000000E3
1.104536094E1,7.444000000E3
1.116549323E1,7.522000000E3
1.128533489E1,7.451000000E3
1.140534531E1,7.495000000E3
1.152534844E1,7.512000000E3
1.164536406E1,7.434000000E3
1.176534479E1,7.472000000E3
1.188550833E1,7.444000000E3
1.200535937E1,7.472000000E3
1.212535781E1,7.525000000E3
1.224533437E1,7.453000000E3
1.236537291E1,7.470000000E3
1.248548594E1,7.527000000E3
1.260536458E1,7.467000000E3
1.272549062E1,7.527000000E3
1.284535781E1,7.465000000E3
1.296535677E1,7.463000000E3
1.308536458E1,7.529000000E3
1.320547500E1,7.470000000E3
1.332547552E1,7.531000000E3
1.344535781E1,7.474000000E3
1.356536927E1,7.459000000E3
1.368537239E1,7.537000000E3
1.380548229E1,7.487000000E3
1.392537812E1,7.455000000E3
1.404537083E1,7.533000000E3
1.416535000E1,7.461000000E3
1.428548281E1,7.531000000E3
1.440536146E1,7.501000000E3
1.452533541E1,7.457000000E3
1.464535052E1,7.529000000E3
1.476536146E1,7.510000000E3
1.488554114E1,7.524000000E3
1.500546823E1,7.518000000E3
1.512534583E1,7.457000000E3
1.524554323E1,7.522000000E3
1.536551146E1,7.529000000E3
1.548535833E1,7.461000000E3
1.560534948E1,7.533000000E3
1.572550468E1,7.463000000E3
1.584536927E1,7.508000000E3
1.596549114E1,7.539000000E3
1.608535781E1,7.463000000E3
1.620536875E1,7.503000000E3
1.632537187E1,7.465000000E3
1.644534218E1,7.495000000E3
1.656535677E1,7.544000000E3
1.668539114E1,7.474000000E3
1.680537031E1,7.506000000E3
1.692535104E1,7.556000000E3
1.704537396E1,7.501000000E3
1.716542812E1,7.554000000E3
1.728537448E1,7.476000000E3
1.740550260E1,7.495000000E3
1.752535833E1,7.554000000E3
1.764536875E1,7.482000000E3
1.776534270E1,7.556000000E3
1.788549114E1,7.487000000E3
1.800535677E1,7.495000000E3
