"Time (s)","Illuminance (lx)"
0.000000000E0,9.400000000E2
1.299223960E-1,9.440000000E2
2.459588550E-1,9.500000000E2
3.659854170E-1,9.400000000E2
4.858489590E-1,9.460000000E2
6.058572920E-1,9.500000000E2
7.258380210E-1,9.400000000E2
8.459697920E-1,9.510000000E2
9.658505210E-1,9.400000000E2
1.085975521E0,9.460000000E2
1.205841667E0,9.510000000E2
1.325849479E0,9.400000000E2
1.446025521E0,9.460000000E2
1.565976563E0,9.420000000E2
1.685848438E0,9.440000000E2
1.805996875E0,9.510000000E2
1.926015625E0,9.420000000E2
2.045955209E0,9.440000000E2
2.165838542E0,9.530000000E2
2.285858854E0,9.440000000E2
2.405985417E0,9.510000000E2
2.525828646E0,9.420000000E2
2.645845313E0,9.440000000E2
2.765841667E0,9.510000000E2
2.885858333E0,9.420000000E2
3.005973438E0,9.500000000E2
3.125972396E0,9.420000000E2
3.245847396E0,9.400000000E2
3.365860417E0,9.510000000E2
3.485980729E0,9.420000000E2
3.605848437E0,9.420000000E2
3.725869271E0,9.420000000E2
3.845861458E0,9.420000000E2
3.965984896E0,9.510000000E2
4.085902083E0,9.420000000E2
4.205860937E0,9.400000000E2
4.325832291E0,9.510000000E2
4.445960416E0,9.420000000E2
4.565863021E0,9.510000000E2
4.685854687E0,9.460000000E2
4.805835937E0,9.420000000E2
4.925966146E0,9.530000000E2
5.045846875E0,9.480000000E2
5.165983333E0,9.440000000E2
5.285981250E0,9.480000000E2
5.405844270E0,9.420000000E2
5.525961979E0,9.510000000E2
5.646004166E0,9.460000000E2
5.765857291E0,9.420000000E2
5.885990104E0,9.510000000E2
6.005848437E0,9.400000000E2
6.126001562E0,9.510000000E2
6.245844791E0,9.480000000E2
6.365839583E0,9.400000000E2
6.486105729E0,9.500000000E2
6.605864583E0,9.480000000E2
6.725833333E0,9.510000000E2
6.845964583E0,9.500000000E2
6.965847916E0,9.440000000E2
7.085863541E0,9.510000000E2
7.205844270E0,9.500000000E2
7.325848437E0,9.400000000E2
7.445857291E0,9.480000000E2
7.565827083E0,9.400000000E2
7.685853124E0,9.480000000E2
7.805966145E0,9.500000000E2
7.925856770E0,9.400000000E2
8.045828645E0,9.480000000E2
8.165836978E0,9.400000000E2
8.285928645E0,9.480000000E2
8.406006249E0,9.480000000E2
8.525833333E0,9.380000000E2
8.645841145E0,9.460000000E2
8.765844791E0,9.500000000E2
8.885864582E0,9.460000000E2
9.005978124E0,9.500000000E2
9.125967707E0,9.400000000E2
9.245873957E0,9.460000000E2
9.365864582E0,9.500000000E2
9.485982291E0,9.400000000E2
9.605846353E0,9.460000000E2
9.725977603E0,9.400000000E2
9.845854166E0,9.460000000E2
9.965831770E0,9.510000000E2
1.008597135E1,9.400000000E2
1.020597292E1,9.440000000E2
1.032585677E1,9.510000000E2
1.044586406E1,9.440000000E2
1.056597135E1,9.510000000E2
1.068585573E1,9.420000000E2
1.080585052E1,9.440000000E2
1.092585208E1,9.530000000E2
1.104596354E1,9.420000000E2
1.116596302E1,9.530000000E2
1.128583437E1,9.420000000E2
1.140584427E1,9.440000000E2
1.152585781E1,9.530000000E2
1.164585052E1,9.440000000E2
1.176606666E1,9.440000000E2
1.188583750E1,9.440000000E2
1.200598542E1,9.440000000E2
1.212585208E1,9.530000000E2
1.224583437E1,9.440000000E2
1.236586510E1,9.420000000E2
1.248585156E1,9.510000000E2
1.260585885E1,9.420000000E2
1.272583125E1,9.530000000E2
1.284583802E1,9.460000000E2
1.296585000E1,9.420000000E2
1.308586250E1,9.530000000E2
1.320584010E1,9.460000000E2
1.332584792E1,9.530000000E2
1.344585156E1,9.480000000E2
1.356586666E1,9.440000000E2
