"Time (s)","Illuminance (lx)"
0.000000000E0,2.036000000E3
1.327286450E-1,2.053000000E3
2.474281250E-1,2.036000000E3
3.673104160E-1,2.053000000E3
4.873213540E-1,2.055000000E3
6.072979160E-1,2.036000000E3
7.273083330E-1,2.053000000E3
8.473182290E-1,2.034000000E3
9.672890620E-1,2.050000000E3
1.087305729E0,2.057000000E3
1.207341666E0,2.036000000E3
1.327317708E0,2.052000000E3
1.447299479E0,2.057000000E3
1.567299479E0,2.050000000E3
1.687326041E0,2.061000000E3
1.807319270E0,2.036000000E3
1.927289062E0,2.046000000E3
2.047307291E0,2.057000000E3
2.167315104E0,2.034000000E3
2.287322916E0,2.059000000E3
2.407306249E0,2.034000000E3
2.527307812E0,2.042000000E3
2.647316666E0,2.059000000E3
2.767318749E0,2.034000000E3
2.887296353E0,2.042000000E3
3.007329687E0,2.038000000E3
3.128576562E0,2.040000000E3
3.247332812E0,2.061000000E3
3.367297395E0,2.040000000E3
3.487316666E0,2.044000000E3
3.607323437E0,2.063000000E3
3.727338020E0,2.042000000E3
3.847298957E0,2.061000000E3
3.967304166E0,2.042000000E3
4.087322395E0,2.038000000E3
4.207290103E0,2.057000000E3
4.327300520E0,2.038000000E3
4.447306770E0,2.057000000E3
4.567318228E0,2.042000000E3
4.687296353E0,2.034000000E3
4.807323436E0,2.055000000E3
4.927315103E0,2.042000000E3
5.047326041E0,2.034000000E3
5.167296874E0,2.055000000E3
5.287306770E0,2.031000000E3
5.407314061E0,2.055000000E3
5.527446874E0,2.046000000E3
5.647293749E0,2.033000000E3
5.767305207E0,2.055000000E3
5.887312499E0,2.048000000E3
6.007326561E0,2.053000000E3
6.128435415E0,2.050000000E3
6.247308332E0,2.033000000E3
6.367336457E0,2.053000000E3
6.487331249E0,2.053000000E3
6.607298957E0,2.033000000E3
6.727305728E0,2.052000000E3
6.847313019E0,2.031000000E3
6.967321353E0,2.048000000E3
7.087314061E0,2.053000000E3
7.207307811E0,2.031000000E3
7.327315103E0,2.048000000E3
7.447293749E0,2.033000000E3
7.567306249E0,2.048000000E3
7.687307290E0,2.057000000E3
7.807316665E0,2.036000000E3
7.927319790E0,2.046000000E3
8.047306248E0,2.057000000E3
8.167316144E0,2.042000000E3
8.287321353E0,2.057000000E3
8.407293748E0,2.034000000E3
8.527301561E0,2.042000000E3
8.647324998E0,2.057000000E3
8.767448436E0,2.034000000E3
8.887297394E0,2.059000000E3
9.007320311E0,2.036000000E3
9.128451561E0,2.038000000E3
9.247329686E0,2.057000000E3
9.367298436E0,2.036000000E3
9.487325519E0,2.038000000E3
9.607317186E0,2.057000000E3
9.727321352E0,2.036000000E3
9.847295832E0,2.057000000E3
9.967306769E0,2.038000000E3
1.008732135E1,2.033000000E3
1.020732239E1,2.052000000E3
1.032729739E1,2.034000000E3
1.044730677E1,2.046000000E3
1.056731979E1,2.034000000E3
1.068729635E1,2.027000000E3
1.080730885E1,2.046000000E3
1.092730989E1,2.034000000E3
1.104733229E1,2.025000000E3
1.116729166E1,2.042000000E3
1.128730208E1,2.027000000E3
1.140730625E1,2.048000000E3
1.152732604E1,2.044000000E3
1.164729479E1,2.027000000E3
1.176729896E1,2.050000000E3
1.188730885E1,2.031000000E3
1.200732448E1,2.048000000E3
1.212844062E1,2.050000000E3
1.224731146E1,2.031000000E3
1.236731094E1,2.046000000E3
1.248732760E1,2.050000000E3
1.260731771E1,2.044000000E3
1.272730625E1,2.052000000E3
1.284731823E1,2.029000000E3
1.296732396E1,2.042000000E3
1.308730260E1,2.052000000E3
1.320731041E1,2.029000000E3
1.332731666E1,2.053000000E3
1.344732656E1,2.033000000E3
1.356729896E1,2.038000000E3
1.368730885E1,2.057000000E3
1.380731146E1,2.034000000E3
1.392728958E1,2.038000000E3
1.404730156E1,2.055000000E3
1.416732656E1,2.036000000E3
1.428732135E1,2.055000000E3
1.440729427E1,2.036000000E3
1.452730468E1,2.034000000E3
1.464731250E1,2.057000000E3
1.476732083E1,2.038000000E3
1.488729635E1,2.059000000E3
1.500730729E1,2.042000000E3
1.512845260E1,2.036000000E3
1.524732083E1,2.059000000E3
1.536729791E1,2.044000000E3
1.548730104E1,2.036000000E3
1.560731146E1,2.046000000E3
1.572733021E1,2.038000000E3
1.584731458E1,2.061000000E3
1.596730573E1,2.050000000E3
1.608731146E1,2.036000000E3
1.620746927E1,2.057000000E3
1.632730156E1,2.029000000E3
1.644731094E1,2.048000000E3
1.656732031E1,2.042000000E3
1.668732448E1,2.029000000E3
1.680730833E1,2.048000000E3
1.692730937E1,2.046000000E3
1.704731666E1,2.052000000E3
1.716729635E1,2.048000000E3
1.728732656E1,2.029000000E3
1.740731198E1,2.046000000E3
1.752731979E1,2.044000000E3
1.764729323E1,2.027000000E3
1.776729896E1,2.053000000E3
1.788730625E1,2.031000000E3
1.800732604E1,2.044000000E3
1.812858229E1,2.053000000E3
1.824730625E1,2.031000000E3
1.836731406E1,2.042000000E3
1.848733177E1,2.052000000E3
1.860729896E1,2.040000000E3
1.872743177E1,2.053000000E3
1.884746510E1,2.029000000E3
1.896732291E1,2.034000000E3
1.908729843E1,2.052000000E3
1.920730885E1,2.031000000E3
1.932731718E1,2.053000000E3
1.944732656E1,2.031000000E3
1.956730208E1,2.034000000E3
1.968730677E1,2.053000000E3
1.980731406E1,2.033000000E3
1.992732187E1,2.033000000E3
2.004734531E1,2.034000000E3
2.016743437E1,2.033000000E3
2.028743646E1,2.055000000E3
2.040731510E1,2.036000000E3
2.052730625E1,2.033000000E3
2.064731614E1,2.055000000E3
2.076801770E1,2.034000000E3
2.088730052E1,2.055000000E3
