"Time (s)","Illuminance (lx)"
0.000000000E0,1.900000000E3
1.311520830E-1,1.886000000E3
2.470703120E-1,1.881000000E3
3.670786460E-1,1.901000000E3
4.870859370E-1,1.888000000E3
6.071098960E-1,1.882000000E3
7.270760410E-1,1.900000000E3
8.470776040E-1,1.879000000E3
9.671083330E-1,1.898000000E3
1.087113541E0,1.886000000E3
1.207079687E0,1.879000000E3
1.327095312E0,1.898000000E3
1.447092187E0,1.890000000E3
1.567067708E0,1.892000000E3
1.687076562E0,1.886000000E3
1.807088541E0,1.877000000E3
1.927089583E0,1.892000000E3
2.047073958E0,1.886000000E3
2.167081770E0,1.875000000E3
2.287089062E0,1.888000000E3
2.407097395E0,1.875000000E3
2.527095833E0,1.890000000E3
2.647077604E0,1.888000000E3
2.767095312E0,1.873000000E3
2.887102604E0,1.890000000E3
3.007081249E0,1.877000000E3
3.127077083E0,1.890000000E3
3.247085416E0,1.894000000E3
3.367102083E0,1.881000000E3
3.487085937E0,1.894000000E3
3.607072395E0,1.901000000E3
3.727093229E0,1.898000000E3
3.847098437E0,1.903000000E3
3.967094270E0,1.884000000E3
4.087114062E0,1.896000000E3
4.207110416E0,1.905000000E3
4.327094791E0,1.884000000E3
4.447078645E0,1.901000000E3
4.567084895E0,1.882000000E3
4.687089062E0,1.890000000E3
4.807076562E0,1.901000000E3
4.927080728E0,1.884000000E3
5.047117707E0,1.890000000E3
5.167107812E0,1.905000000E3
5.287074478E0,1.886000000E3
5.407075520E0,1.901000000E3
5.527084374E0,1.890000000E3
5.647112499E0,1.888000000E3
5.767073437E0,1.907000000E3
5.887083853E0,1.890000000E3
6.007086978E0,1.901000000E3
6.127097916E0,1.892000000E3
6.247219270E0,1.888000000E3
6.367083853E0,1.905000000E3
6.487086457E0,1.894000000E3
6.607101561E0,1.886000000E3
6.727065624E0,1.898000000E3
6.847079166E0,1.888000000E3
6.967089061E0,1.907000000E3
7.087135416E0,1.901000000E3
7.207091145E0,1.888000000E3
7.327080728E0,1.907000000E3
7.447096874E0,1.888000000E3
7.567111978E0,1.905000000E3
7.687081770E0,1.903000000E3
7.807089582E0,1.888000000E3
7.927092186E0,1.903000000E3
8.047072915E0,1.905000000E3
8.167069790E0,1.901000000E3
8.287087499E0,1.905000000E3
8.407095832E0,1.888000000E3
8.527071353E0,1.900000000E3
8.647086457E0,1.903000000E3
8.767108332E0,1.886000000E3
8.887098436E0,1.903000000E3
9.007228644E0,1.884000000E3
9.127093228E0,1.896000000E3
9.247091144E0,1.903000000E3
9.367088019E0,1.886000000E3
9.487070832E0,1.892000000E3
9.607077603E0,1.905000000E3
9.727083332E0,1.888000000E3
9.847091144E0,1.903000000E3
9.967081769E0,1.884000000E3
1.008708854E1,1.888000000E3
1.020709062E1,1.903000000E3
1.032712187E1,1.886000000E3
1.044707448E1,1.903000000E3
1.056708750E1,1.886000000E3
1.068709479E1,1.890000000E3
1.080709531E1,1.903000000E3
1.092707500E1,1.886000000E3
1.104708073E1,1.888000000E3
1.116709687E1,1.884000000E3
1.128706719E1,1.884000000E3
1.140708385E1,1.900000000E3
1.152708698E1,1.886000000E3
1.164711562E1,1.882000000E3
1.176706927E1,1.900000000E3
1.188710052E1,1.879000000E3
1.200708906E1,1.896000000E3
1.212710312E1,1.882000000E3
1.224708385E1,1.875000000E3
1.236708750E1,1.892000000E3
1.248709531E1,1.881000000E3
1.260709323E1,1.892000000E3
1.272707500E1,1.884000000E3
1.284708177E1,1.873000000E3
1.296708333E1,1.892000000E3
1.308709323E1,1.882000000E3
1.320707344E1,1.875000000E3
1.332708594E1,1.896000000E3
1.344711875E1,1.888000000E3
1.356710573E1,1.907000000E3
1.368707968E1,1.901000000E3
1.380707812E1,1.890000000E3
1.392709739E1,1.909000000E3
1.404710312E1,1.903000000E3
1.416707760E1,1.907000000E3
1.428709323E1,1.901000000E3
1.440708854E1,1.888000000E3
1.452706666E1,1.905000000E3
1.464707500E1,1.901000000E3
1.476708489E1,1.886000000E3
1.488710052E1,1.900000000E3
1.500708958E1,1.884000000E3
1.512707344E1,1.900000000E3
1.524709948E1,1.900000000E3
1.536709218E1,1.884000000E3
1.548707500E1,1.900000000E3
1.560708229E1,1.886000000E3
1.572710052E1,1.900000000E3
1.584709114E1,1.903000000E3
1.596707344E1,1.886000000E3
1.608708177E1,1.900000000E3
1.620708854E1,1.905000000E3
1.632710573E1,1.898000000E3
1.644708073E1,1.905000000E3
1.656710729E1,1.884000000E3
1.668709375E1,1.898000000E3
1.680710052E1,1.907000000E3
1.692707864E1,1.888000000E3
1.704708489E1,1.911000000E3
1.716709583E1,1.894000000E3
1.728709687E1,1.901000000E3
1.740706771E1,1.913000000E3
1.752707760E1,1.896000000E3
1.764708906E1,1.901000000E3
1.776707708E1,1.913000000E3
1.788707552E1,1.898000000E3
1.800708958E1,1.915000000E3
1.812712031E1,1.898000000E3
1.824707552E1,1.896000000E3
1.836708489E1,1.915000000E3
1.848709114E1,1.894000000E3
1.860710156E1,1.913000000E3
1.872707448E1,1.896000000E3
1.884708750E1,1.896000000E3
1.896708489E1,1.909000000E3
1.908709323E1,1.892000000E3
1.920707135E1,1.888000000E3
1.932747448E1,1.896000000E3
1.944709166E1,1.890000000E3
1.956709896E1,1.909000000E3
1.968709010E1,1.896000000E3
1.980708281E1,1.892000000E3
1.992708750E1,1.911000000E3
2.004709739E1,1.896000000E3
2.016708073E1,1.915000000E3
2.028712656E1,1.901000000E3
2.040709427E1,1.894000000E3
2.052710260E1,1.917000000E3
2.064707968E1,1.903000000E3
2.076709323E1,1.917000000E3
2.088710312E1,1.905000000E3
2.100707083E1,1.898000000E3
2.112707656E1,1.917000000E3
2.124711354E1,1.909000000E3
2.136709843E1,1.898000000E3
2.148707864E1,1.909000000E3
2.160707864E1,1.896000000E3
2.172708906E1,1.913000000E3
2.184710520E1,1.909000000E3
2.196713750E1,1.894000000E3
2.208707812E1,1.909000000E3
2.220709791E1,1.911000000E3
2.232710104E1,1.909000000E3
