"Time (s)","Illuminance (lx)"
0.000000000E0,2.086000000E3
1.301500000E-1,2.086000000E3
2.460656250E-1,2.082000000E3
3.660854160E-1,2.071000000E3
4.861109370E-1,2.059000000E3
6.061062490E-1,2.055000000E3
7.260682290E-1,2.052000000E3
8.460833330E-1,2.059000000E3
9.660994790E-1,2.067000000E3
1.086102604E0,2.059000000E3
1.206080208E0,2.057000000E3
1.326220312E0,2.057000000E3
1.446088541E0,2.059000000E3
1.566100520E0,2.052000000E3
1.686080728E0,2.059000000E3
1.806082291E0,2.067000000E3
1.926092708E0,2.065000000E3
2.046073437E0,2.063000000E3
2.166095312E0,2.063000000E3
2.286079166E0,2.055000000E3
2.406090624E0,2.050000000E3
2.526071874E0,2.055000000E3
2.646078124E0,2.063000000E3
2.766081249E0,2.063000000E3
2.886095832E0,2.053000000E3
3.006069270E0,2.057000000E3
3.126080728E0,2.057000000E3
3.246089062E0,2.055000000E3
3.366105207E0,2.057000000E3
3.486069270E0,2.059000000E3
3.606074999E0,2.052000000E3
3.726102603E0,2.055000000E3
3.846086978E0,2.048000000E3
3.966074478E0,2.050000000E3
4.086093228E0,2.053000000E3
4.206082291E0,2.055000000E3
4.326095832E0,2.057000000E3
4.446072395E0,2.071000000E3
4.566102082E0,2.063000000E3
4.686085415E0,2.067000000E3
4.806101561E0,2.074000000E3
4.926072915E0,2.074000000E3
5.046090624E0,2.071000000E3
5.166084895E0,2.046000000E3
5.286083853E0,2.044000000E3
5.406081770E0,2.040000000E3
5.526091665E0,2.036000000E3
5.646087499E0,2.052000000E3
5.766067707E0,2.053000000E3
5.886080728E0,2.038000000E3
6.006090103E0,2.034000000E3
6.126283853E0,2.044000000E3
6.246077082E0,2.048000000E3
6.366072394E0,2.040000000E3
6.486094269E0,2.052000000E3
6.606107811E0,2.052000000E3
6.726071353E0,2.052000000E3
6.846094790E0,2.036000000E3
6.966269269E0,2.044000000E3
7.086094269E0,2.029000000E3
7.206078644E0,2.042000000E3
7.326082290E0,2.040000000E3
7.446092707E0,2.031000000E3
7.566111978E0,2.029000000E3
7.686095832E0,2.033000000E3
7.806080728E0,2.042000000E3
7.926090103E0,2.055000000E3
8.046097915E0,2.059000000E3
8.166074477E0,2.057000000E3
8.286084894E0,2.055000000E3
8.406104686E0,2.055000000E3
8.526067186E0,2.055000000E3
8.646084373E0,2.059000000E3
8.766085936E0,2.063000000E3
8.886093748E0,2.067000000E3
9.006067186E0,2.061000000E3
9.126077081E0,2.061000000E3
9.246081248E0,2.063000000E3
9.366098436E0,2.067000000E3
9.486069790E0,2.069000000E3
