"Time shift (s)","Autocorrelation of sum"
3.106970973E0,1.361332551E-1
3.126984536E0,1.431451388E-1
3.146997932E0,1.493036809E-1
3.167014995E0,1.546032705E-1
3.187028290E0,1.590375725E-1
3.207041752E0,1.626131533E-1
3.227050147E0,1.653198846E-1
3.247063610E0,1.671382175E-1
3.267077039E0,1.679808684E-1
3.287090035E0,1.677896222E-1
3.307103498E0,1.665588263E-1
3.327116961E0,1.643264553E-1
3.347130423E0,1.611848242E-1
3.367143786E0,1.571959983E-1
3.387157182E0,1.523218233E-1
3.407170544E0,1.465131903E-1
3.427183907E0,1.397501589E-1
3.447198536E0,1.320760438E-1
3.467211932E0,1.235538118E-1
3.487225495E0,1.142873767E-1
3.507237591E0,1.043297458E-1
3.527250921E0,9.376523711E-2
3.547265083E0,8.262534113E-2
3.567278614E0,7.096263564E-2
3.587292144E0,5.881451663E-2
3.607304807E0,4.622175024E-2
3.627317936E0,3.329101243E-2
3.647331299E0,2.017608927E-2
3.667344695E0,7.017068396E-3
3.687358357E0,-6.133626420E-3
3.707371886E0,-1.926777481E-2
3.727385283E0,-3.233790051E-2
3.747398813E0,-4.528104447E-2
3.767412342E0,-5.794852265E-2
3.787425771E0,-7.018397489E-2
3.807439034E0,-8.192152216E-2
3.827452963E0,-9.308790001E-2
3.847466459E0,-1.036718387E-1
3.867480022E0,-1.136802263E-1
3.887492852E0,-1.230441689E-1
3.907506247E0,-1.316852376E-1
3.927521344E0,-1.395117587E-1
3.947534640E0,-1.464269964E-1
3.967549103E0,-1.523585479E-1
3.987565200E0,-1.572993093E-1
4.007585596E0,-1.613113707E-1
4.027601859E0,-1.644304542E-1
4.047617521E0,-1.666439377E-1
4.067623183E0,-1.678727168E-1
4.087638379E0,-1.680522521E-1
4.107651475E0,-1.671550636E-1
4.127666071E0,-1.652314262E-1
4.147673534E0,-1.623596578E-1
4.167682432E0,-1.586146952E-1
4.187699895E0,-1.540016795E-1
4.207713325E0,-1.485228378E-1
4.227725054E0,-1.421911149E-1
4.247740783E0,-1.350227558E-1
4.267761714E0,-1.270867224E-1
4.287780909E0,-1.184386801E-1
4.307792505E0,-1.091527531E-1
4.327798801E0,-9.929229719E-2
4.347812863E0,-8.891531998E-2
4.367835526E0,-7.802883288E-2
4.387854489E0,-6.664935222E-2
4.407861485E0,-5.482521949E-2
4.429862214E0,-4.263936723E-2
4.449874176E0,-3.022815330E-2
4.469887572E0,-1.771134170E-2
4.489907368E0,-5.145458377E-3
4.509917230E0,7.485530373E-3
4.529935827E0,2.016872181E-2
4.549942823E0,3.282071382E-2
4.569955619E0,4.535212088E-2
4.589963882E0,5.763627961E-2
4.609977379E0,6.956586384E-2
4.629990708E0,8.109091704E-2
4.650009971E0,9.214368984E-2
4.670023200E0,1.026901613E-1
4.690036963E0,1.127106646E-1
4.710051058E0,1.221669869E-1
4.730064588E0,1.309432914E-1
4.750077617E0,1.389571282E-1
4.770090346E0,1.460953803E-1
4.790103842E0,1.523059183E-1
4.810117439E0,1.576041671E-1
4.830124935E0,1.620073739E-1
4.850139031E0,1.654816133E-1
4.870152494E0,1.679761335E-1
4.890165990E0,1.693974030E-1
4.910178787E0,1.697043220E-1
4.930200616E0,1.689222706E-1
4.950218246E0,1.671188605E-1
4.970234308E0,1.643332778E-1
4.990241471E0,1.605482134E-1
