"Time (s)","Rotation x (rad/s)","Rotation y (rad/s)","Rotation z (rad/s)"
2.480800698E2,5.803219676E-1,-6.719517708E-2,4.520402849E-2
2.481099343E2,5.155702829E-1,-5.619960278E-2,3.909537569E-2
2.481399427E2,3.885102868E-1,-4.153883830E-2,3.176499158E-2
2.481699369E2,3.274237812E-1,-4.520402849E-2,2.443460934E-2
2.481899494E2,2.785545588E-1,-3.665191308E-2,2.076941915E-2
2.482099625E2,2.162462920E-1,-2.809980139E-2,3.543018550E-2
2.482399213E2,2.174680233E-1,-2.565634064E-2,3.054326214E-2
2.482599552E2,2.186897546E-1,-2.443460934E-2,2.687807009E-2
2.482899427E2,1.722639948E-1,-1.832595654E-2,2.321287990E-2
2.483099463E2,1.099557430E-1,-1.099557430E-2,1.832595654E-2
2.483399343E2,0.000000000E0,0.000000000E0,0.000000000E0
2.483699474E2,0.000000000E0,0.000000000E0,0.000000000E0
2.483999468E2,-1.356120855E-1,1.466076635E-2,1.221730490E-3
2.484299468E2,-1.356120855E-1,1.343903504E-2,-1.221730490E-3
2.484500203E2,-1.111774743E-1,1.221730467E-2,-1.221730490E-3
2.484799484E2,-1.343903542E-1,1.832595654E-2,-1.221730490E-3
2.485100942E2,-1.734857261E-1,2.321287990E-2,-2.443460980E-3
2.485304921E2,-1.893682331E-1,2.565634064E-2,-1.221730490E-3
2.485599338E2,-2.186897546E-1,2.932153270E-2,-4.886921961E-3
2.485799427E2,-2.443460971E-1,3.298672289E-2,-6.108652335E-3
2.485999838E2,-2.663372457E-1,4.642575979E-2,-6.108652335E-3
2.486299494E2,-2.883284092E-1,5.009094998E-2,-6.108652335E-3
2.486500843E2,-2.419026345E-1,4.276056588E-2,-1.710422710E-2
2.486799458E2,-3.078760803E-1,4.642575979E-2,-1.588249579E-2
2.487099640E2,-5.045747161E-1,6.597344577E-2,-1.832595654E-2
2.487399500E2,-5.888741016E-1,9.651670605E-2,-3.176499158E-2
2.487699427E2,-6.010913849E-1,9.040805697E-2,-2.809980139E-2
2.487899942E2,-6.096435189E-1,8.674286306E-2,-2.565634064E-2
2.488199359E2,-6.536257863E-1,8.796459436E-2,-2.199114859E-2
2.488399442E2,-7.208209634E-1,1.050688252E-1,-2.199114859E-2
2.488399442E2,-6.719517708E-2,2.809980139E-2,2.809980139E-2
2.488699406E2,-2.076941915E-2,5.375614017E-2,5.253441259E-2
2.488999833E2,-1.612684280E-1,6.597344577E-2,1.221730467E-2
2.489298974E2,-2.748893499E-1,1.014036313E-1,0.000000000E0
2.489499177E2,-3.714060783E-1,1.233947799E-1,0.000000000E0
2.489799192E2,-4.190535545E-1,1.429424733E-1,-1.221730490E-3
2.490000354E2,-4.703662395E-1,1.551597714E-1,-4.886921961E-3
2.490299380E2,-5.167919993E-1,1.429424733E-1,-1.221730467E-2
2.490599791E2,-4.899139404E-1,1.392772794E-1,-1.710422710E-2
2.490899276E2,-6.817256212E-1,1.673770845E-1,-2.443460934E-2
2.491199203E2,-1.006705880E0,2.199114859E-1,-1.099557430E-2
2.491499224E2,-1.339016676E0,2.638937831E-1,-2.687807009E-2
2.491799338E2,-1.656666517E0,2.932153046E-1,-4.276056588E-2
2.491999635E2,-1.891238809E0,2.919935882E-1,-4.276056588E-2
2.492299166E2,-2.258979559E0,2.968805134E-1,-6.230825558E-2
2.492599296E2,-2.773328304E0,3.371976018E-1,-8.429940045E-2
2.492899453E2,-3.528357744E0,4.117231667E-1,-1.075122803E-1
2.493199307E2,-4.296826363E0,4.752531648E-1,-1.404990107E-1
2.493499302E2,-4.946786880E0,5.363397002E-1,-1.502728462E-1
2.493799203E2,-5.400048733E0,5.803219676E-1,-1.795943826E-1
2.493999213E2,-5.595525742E0,6.047565937E-1,-1.905899495E-1
2.494199307E2,-5.560095310E0,6.035348773E-1,-1.918116808E-1
2.494499151E2,-5.374392509E0,5.888741016E-1,-1.918116808E-1
2.494799239E2,-4.911356449E0,5.485569835E-1,-1.576032341E-1
2.494999432E2,-4.537507057E0,5.131267905E-1,-1.368338168E-1
2.495299161E2,-4.037819386E0,4.263839424E-1,-1.148426682E-1
2.495499218E2,-3.499036074E0,3.628539443E-1,-9.529497474E-2
2.495799109E2,-2.877175331E0,2.968805134E-1,-6.719517708E-2
2.495999171E2,-2.538755894E0,2.651155293E-1,-6.352998316E-2
2.496299453E2,-1.804495931E0,1.893682331E-1,-4.520402849E-2
2.496599291E2,-1.203404546E0,1.392772794E-1,-3.420845419E-2
2.496799385E2,-5.057964325E-1,5.864306539E-2,-8.552113548E-3
2.497099432E2,1.331686229E-1,-1.832595654E-2,2.076941915E-2
2.497399333E2,9.578366876E-1,-7.941248268E-2,3.787364438E-2
2.497699375E2,2.003638029E0,-1.747074574E-1,7.696902007E-2
2.497999921E2,3.191159964E0,-2.797762752E-1,1.380555481E-1
2.498299369E2,3.921754837E0,-3.872885704E-1,1.722639948E-1
2.498599130E2,4.491081238E0,-4.715879560E-1,1.954768747E-1
2.498799244E2,4.857600212E0,-4.948008358E-1,2.186897546E-1
2.499099234E2,5.002986431E0,-4.886921942E-1,2.382374406E-1
2.499401078E2,4.904026031E0,-4.838052690E-1,2.455678284E-1
2.499699390E2,4.693888664E0,-4.679227769E-1,2.174680233E-1
2.499999296E2,4.372573376E0,-4.410447180E-1,1.991420686E-1
2.500299026E2,4.002388954E0,-4.263839424E-1,1.747074574E-1
2.500499260E2,3.690847874E0,-3.860668242E-1,1.429424733E-1
2.500699354E2,3.351206779E0,-3.457497358E-1,1.258382350E-1
2.500999796E2,2.864958048E0,-2.968805134E-1,9.773843735E-2
2.501299203E2,2.546086311E0,-2.993239760E-1,8.185594529E-2
2.501499270E2,2.360383272E0,-3.176499307E-1,8.063421398E-2
2.501799177E2,2.139250040E0,-3.005456924E-1,6.108652428E-2
2.501999312E2,1.936442852E0,-2.846632004E-1,5.009094998E-2
2.502299151E2,1.640784025E0,-2.577851415E-1,4.398229718E-2
2.502499791E2,1.462411404E0,-2.443460971E-1,4.764748737E-2
2.502799239E2,1.242499948E0,-2.553416789E-1,4.886921868E-2
2.503099333E2,1.114218235E0,-2.638937831E-1,4.886921868E-2
2.503299401E2,1.058018565E0,-2.516764700E-1,5.131268129E-2
2.503599354E2,9.065240026E-1,-2.309070677E-1,5.253441259E-2
2.503899250E2,7.574729323E-1,-2.162462920E-1,4.398229718E-2
2.504099286E2,6.743952036E-1,-2.101376504E-1,3.909537569E-2
2.504399192E2,5.937610269E-1,-2.003637999E-1,3.176499158E-2
2.504599359E2,5.106833577E-1,-1.930334121E-1,4.031710699E-2
2.504899177E2,3.958406746E-1,-1.404990107E-1,3.176499158E-2
2.505199333E2,3.005456924E-1,-1.062905490E-1,5.253441259E-2
2.505499218E2,2.541199327E-1,-7.819075137E-2,5.009094998E-2
2.505800599E2,1.918116808E-1,-5.986479297E-2,5.253441259E-2
2.506099281E2,6.230825558E-2,-2.565634064E-2,4.031710699E-2
2.506399333E2,-6.230825558E-2,4.642575979E-2,7.941248268E-2
2.506600906E2,-1.062905490E-1,5.742133409E-2,6.108652428E-2
2.506899244E2,-1.734857261E-1,9.896016866E-2,5.497787148E-2
2.507199468E2,-2.406809032E-1,1.185078546E-1,3.787364438E-2
2.507499239E2,-4.141666293E-1,1.490511149E-1,5.131268129E-2
2.507799276E2,-6.120869517E-1,1.795943826E-1,3.420845419E-2
2.508099239E2,-8.087855577E-1,2.186897546E-1,3.298672289E-2
2.508401744E2,-8.405506015E-1,2.064724565E-1,9.773843922E-3
2.508699354E2,-9.028588533E-1,1.942551434E-1,6.108652335E-3
