"Time shift (s)","Autocorrelation of sum"
0.000000000E0,2.111342546E0
2.011093800E-2,2.091375507E0
4.997552100E-2,2.030545046E0
7.998385400E-2,1.932931333E0
1.099781250E-1,1.802397712E0
1.299906250E-1,1.643625682E0
1.500036460E-1,1.461284373E0
1.799625000E-1,1.260915391E0
1.999963540E-1,1.048107268E0
2.299838540E-1,8.275485399E-1
2.499875000E-1,6.049363420E-1
2.799755210E-1,3.844510903E-1
3.099885420E-1,1.704350853E-1
3.399880210E-1,-3.305432935E-2
3.699880210E-1,-2.221725953E-1
3.900614580E-1,-3.937719068E-1
4.199895830E-1,-5.451716562E-1
4.501354170E-1,-6.746358347E-1
4.705333330E-1,-7.809693545E-1
4.999750000E-1,-8.642715794E-1
5.199838540E-1,-9.259175465E-1
5.400250000E-1,-9.676321116E-1
5.699906250E-1,-9.922068355E-1
5.901255210E-1,-1.002342239E0
6.199869790E-1,-1.001439380E0
6.500052080E-1,-9.923212607E-1
6.799911460E-1,-9.774849986E-1
7.099838540E-1,-9.594421123E-1
7.300354170E-1,-9.399833633E-1
7.599770830E-1,-9.202154845E-1
7.799854170E-1,-9.023416319E-1
7.799854170E-1,-8.871278428E-1
8.099817710E-1,-8.759218575E-1
8.400244790E-1,-8.680988703E-1
8.699385420E-1,-8.634317089E-1
8.899588540E-1,-8.624236285E-1
9.199604170E-1,-8.647303898E-1
9.400765630E-1,-8.687842866E-1
9.699791670E-1,-8.735935389E-1
1.000020313E0,-8.776801790E-1
1.029968750E0,-8.795240448E-1
1.059961458E0,-8.764017627E-1
1.089963542E0,-8.659618502E-1
1.119975000E0,-8.464616501E-1
1.140004688E0,-8.162357461E-1
1.169957813E0,-7.733261339E-1
1.199970833E0,-7.152694432E-1
1.229986458E0,-6.404444293E-1
1.259971875E0,-5.474660440E-1
1.289971354E0,-4.361675394E-1
1.319961458E0,-3.074302803E-1
1.339962500E0,-1.625047988E-1
1.359971875E0,-3.125786361E-3
1.389956250E0,1.673981754E-1
1.419965104E0,3.464301104E-1
1.439984375E0,5.297650381E-1
1.469957292E0,7.139253852E-1
1.489963021E0,8.956015366E-1
1.519952083E0,1.070644514E0
1.539958333E0,1.234532125E0
1.569986458E0,1.383583822E0
1.599970312E0,1.512677093E0
1.619979687E0,1.617846819E0
1.649984375E0,1.695745601E0
