"Time (s)","Rotation x (rad/s)","Rotation y (rad/s)","Rotation z (rad/s)"
2.353899505E2,9.822713137E-1,-8.063421398E-2,4.520402849E-2
2.354199390E2,1.365894675E0,-1.270599663E-1,7.330382615E-2
2.354499338E2,1.825265408E0,-1.893682331E-1,8.918632567E-2
2.354699343E2,2.311514139E0,-2.504547536E-1,1.221730486E-1
2.354999406E2,3.088534594E0,-3.359758854E-1,1.514945775E-1
2.355299406E2,3.555235624E0,-3.909537494E-1,1.808161139E-1
2.355599546E2,4.030488968E0,-4.386012554E-1,1.966986060E-1
2.355899250E2,4.234518051E0,-4.630358517E-1,2.076941878E-1
2.356099390E2,4.053701878E0,-4.495968223E-1,1.942551434E-1
2.356399422E2,3.742160559E0,-4.300491214E-1,1.722639948E-1
2.356699500E2,3.386636972E0,-3.787364662E-1,1.539380401E-1
2.356999489E2,2.888170958E0,-3.310889602E-1,1.392772794E-1
2.357299260E2,2.445904493E0,-2.858849466E-1,1.185078546E-1
2.357499411E2,2.161241293E0,-2.614503205E-1,1.087340117E-1
2.357699427E2,1.923003793E0,-2.260201424E-1,8.552113175E-2
2.358001395E2,1.580919266E0,-1.918116808E-1,6.108652428E-2
2.358299427E2,1.309695125E0,-1.637118906E-1,5.742133409E-2
2.358500796E2,1.194852471E0,-1.563815027E-1,4.276056588E-2
2.358700932E2,1.066570759E0,-1.466076523E-1,4.276056588E-2
2.358999218E2,8.491026759E-1,-1.221730486E-1,2.687807009E-2
2.359199406E2,7.220427394E-1,-1.136209369E-1,2.809980139E-2
2.359499515E2,5.546656251E-1,-9.651670605E-2,2.809980139E-2
2.359699583E2,4.996877611E-1,-9.651670605E-2,2.809980139E-2
2.359999401E2,4.667010605E-1,-9.162978828E-2,2.932153270E-2
2.360199427E2,4.190535545E-1,-9.162978828E-2,2.809980139E-2
2.360499296E2,3.909537494E-1,-1.160643995E-1,1.099557430E-2
2.360799442E2,2.919935882E-1,-8.429940045E-2,1.099557430E-2
2.360999442E2,2.614503205E-1,-7.208210230E-2,-2.443460980E-3
2.361199593E2,2.101376504E-1,-6.841690838E-2,-1.221730490E-3
2.361499458E2,2.052507252E-1,-8.307767659E-2,1.221730490E-3
2.361699474E2,1.453859210E-1,-5.619960278E-2,-1.221730490E-3
2.361999406E2,1.832595766E-1,-5.375614017E-2,-4.886921961E-3
2.362199968E2,2.003637999E-1,-5.131268129E-2,-7.330383174E-3
