"Time shift (s)","Autocorrelation of sum"
0.000000000E0,1.150152461E0
2.992500000E-2,1.139239475E0
4.993645900E-2,1.107097613E0
7.992500000E-2,1.055329255E0
1.099197920E-1,9.861358332E-1
1.299203130E-1,9.022458867E-1
1.599265630E-1,8.063768607E-1
1.899265630E-1,7.022015533E-1
2.199406250E-1,5.928128098E-1
2.499109380E-1,4.813762898E-1
2.699250000E-1,3.710826851E-1
2.999281250E-1,2.641457605E-1
3.299359380E-1,1.621632724E-1
3.599348960E-1,6.639926569E-2
3.899119800E-1,-2.195511900E-2
4.099270840E-1,-1.021607598E-1
4.299286460E-1,-1.739216045E-1
4.601255210E-1,-2.370315198E-1
4.899286460E-1,-2.917048264E-1
5.100656250E-1,-3.381770623E-1
5.300791670E-1,-3.771659809E-1
5.599078130E-1,-4.095031283E-1
5.799265630E-1,-4.360983403E-1
6.099375000E-1,-4.574334294E-1
6.299442710E-1,-4.743885104E-1
6.599260420E-1,-4.878670517E-1
6.799286460E-1,-4.989720578E-1
7.099156250E-1,-5.081221563E-1
7.399302090E-1,-5.161003967E-1
7.599302090E-1,-5.233894187E-1
7.799453130E-1,-5.302339073E-1
8.099317710E-1,-5.369484073E-1
8.299333340E-1,-5.440818212E-1
8.599265630E-1,-5.517208396E-1
8.799828130E-1,-5.596853645E-1
9.099171880E-1,-5.674471646E-1
9.299208340E-1,-5.743659214E-1
9.499406250E-1,-5.799574880E-1
9.799432290E-1,-5.836293742E-1
1.009908854E0,-5.846977851E-1
1.029932813E0,-5.820034937E-1
1.059936979E0,-5.749587289E-1
1.089934375E0,-5.624692139E-1
1.109944271E0,-5.436556804E-1
1.139926563E0,-5.171465447E-1
1.169927604E0,-4.820334206E-1
1.199938021E0,-4.378954860E-1
1.229935938E0,-3.837801270E-1
1.259932292E0,-3.189121546E-1
1.280011459E0,-2.434118015E-1
1.309929688E0,-1.581460013E-1
1.339939063E0,-6.378359587E-2
1.369932292E0,3.868737423E-2
1.399948438E0,1.472324282E-1
1.429941146E0,2.592923896E-1
1.449974479E0,3.726256933E-1
1.479928125E0,4.844713186E-1
1.500076563E0,5.914098461E-1
1.529925000E0,6.908879926E-1
1.559926042E0,7.800752177E-1
1.589941667E0,8.567392785E-1
1.619932813E0,9.188618756E-1
1.649920313E0,9.640249543E-1
1.669925521E0,9.924452301E-1
1.699917188E0,1.003134608E0
1.729929167E0,9.965333866E-1
1.750058854E0,9.732049036E-1
1.779933333E0,9.339623548E-1
1.809915625E0,8.801297767E-1
1.839928125E0,8.137915454E-1
1.869919271E0,7.373828658E-1
1.890426563E0,6.528831421E-1
1.919918229E0,5.628749297E-1
1.949915104E0,4.696100120E-1
1.979919271E0,3.750422297E-1
2.009931250E0,2.814699323E-1
2.039921875E0,1.904218426E-1
2.059942708E0,1.034528782E-1
2.090347917E0,2.109462469E-2
2.119933854E0,-5.514643002E-2
2.149927083E0,-1.248371478E-1
2.179925000E0,-1.881538604E-1
2.209936458E0,-2.449527759E-1
2.239946875E0,-2.954165562E-1
2.269929688E0,-3.395142337E-1
2.289930729E0,-3.775325070E-1
2.319941667E0,-4.100657910E-1
2.350061458E0,-4.373533102E-1
2.379961979E0,-4.601673809E-1
2.409932813E0,-4.792021972E-1
2.439946354E0,-4.950073330E-1
2.469933854E0,-5.080153422E-1
2.489979167E0,-5.188561680E-1
2.519925521E0,-5.279407452E-1
2.550079688E0,-5.359543220E-1
2.579954688E0,-5.431841361E-1
2.609940625E0,-5.496567213E-1
2.639933333E0,-5.554861913E-1
2.669935417E0,-5.604261754E-1
2.690413021E0,-5.647147280E-1
2.719928125E0,-5.678840140E-1
2.749927083E0,-5.696535898E-1
2.770080729E0,-5.699964860E-1
2.790121354E0,-5.681950678E-1
2.819927604E0,-5.631646117E-1
2.839963542E0,-5.539110144E-1
2.869920312E0,-5.396223061E-1
2.890251562E0,-5.193543733E-1
2.919945833E0,-4.918524489E-1
2.949933854E0,-4.562253231E-1
2.969961979E0,-4.120796408E-1
2.999931771E0,-3.589135868E-1
3.029940625E0,-2.964277440E-1
3.059928125E0,-2.245266822E-1
3.079931250E0,-1.441508700E-1
3.109928125E0,-5.609941553E-2
3.130087500E0,3.826266466E-2
3.159914583E0,1.377823763E-1
3.179917187E0,2.401763828E-1
3.199927604E0,3.436017341E-1
3.229959375E0,4.452236632E-1
3.259933333E0,5.425968611E-1
3.279933333E0,6.333294766E-1
3.309929167E0,7.152029392E-1
3.329962500E0,7.860487818E-1
3.359944271E0,8.440306570E-1
3.389928646E0,8.874736909E-1
3.419922396E0,9.150785101E-1
3.449931771E0,9.268650240E-1
3.470056250E0,9.232633466E-1
3.499919792E0,9.048714863E-1
3.529933333E0,8.724537666E-1
3.559924479E0,8.269803968E-1
3.590177083E0,7.706418910E-1
3.619946354E0,7.047956258E-1
3.649934896E0,6.313583105E-1
3.679945312E0,5.524507602E-1
3.709932292E0,4.698853369E-1
3.739935937E0,3.857690997E-1
3.769942187E0,3.012773945E-1
3.790406250E0,2.180832403E-1
3.819931771E0,1.372098835E-1
3.839932292E0,6.003637818E-2
3.869929167E0,-1.267214675E-2
3.899930729E0,-8.010334669E-2
3.929945312E0,-1.418404729E-1
3.959938021E0,-1.977871902E-1
3.990573958E0,-2.484912418E-1
4.019989583E0,-2.939106083E-1
4.049928646E0,-3.339725740E-1
4.069979166E0,-3.690207207E-1
4.099927604E0,-3.998112359E-1
4.129923958E0,-4.266775526E-1
4.149932812E0,-4.498302635E-1
4.179922916E0,-4.697438470E-1
4.209920312E0,-4.872597838E-1
4.239921354E0,-5.022663005E-1
4.270094271E0,-5.148967601E-1
4.300050521E0,-5.254769146E-1
4.329927604E0,-5.343161320E-1
4.350045833E0,-5.418522955E-1
4.379924479E0,-5.480360296E-1
4.399939062E0,-5.529718524E-1
4.429929687E0,-5.564504016E-1
4.459921354E0,-5.581688832E-1
4.490343750E0,-5.579750691E-1
4.519922916E0,-5.553843863E-1
4.549912500E0,-5.500340931E-1
4.579919791E0,-5.414107242E-1
4.599968750E0,-5.291256492E-1
